year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large,A_total_kg
2025,408094214.5874736,2240221227.0777745,269673743.35364825,66521056.13099928,234655162.4678546,656523421.3099929,259338425.49656594,791453369.9678407,477838300.80944633,56081081.48517033,540945534.54613,80363641.53773476,78897455.83959979,6160606634.610231
2026,422934004.2088362,2321683817.15333,279480061.2937809,68940003.62667198,243188077.46668568,680397000.2667199,268768913.69644105,820233492.5121257,495214239.02069896,58120393.539176516,560616281.2568984,83285955.77547058,81766454.23376705,6384628694.050603
2027,437773793.8301989,2403146407.2288857,289286379.23391354,71358951.12234469,251720992.46551678,704270579.2234468,278199401.8963162,849013615.0564108,512590177.2319516,60159705.59318271,580287027.9676666,86208270.01320639,84635452.62793432,6608650753.490975
2028,452613583.45156157,2484608997.3044405,299092697.1740462,73777898.61801739,260253907.46434784,728144158.1801739,287629890.0961913,877793737.6006958,529966115.44320416,62199017.64718891,599957774.6784351,89130584.2509422,87504451.02210158,6832672812.931347
2029,467453373.07292426,2566071587.3799963,308899015.1141789,76196846.1136901,268786822.46317893,752017737.1369009,297060378.2960664,906573860.144981,547342053.6544567,64238329.7011951,619628521.3892034,92052898.48867801,90373449.41626884,7056694872.371718
2030,482293162.6942869,2647534177.4555516,318705333.0543115,78615793.6093628,277319737.46200997,775891316.0936279,306490866.4959416,935353982.6892662,564717991.8657093,66277641.755201295,639299268.0999718,94975212.72641382,93242447.8104361,7280716931.812091
2031,508262794.53167164,2790093710.0877733,335866389.4495437,82848951.72679001,292252338.7099644,817670079.2679002,322994220.84572303,985719197.1417651,595125883.7354014,69846437.84971213,673723074.8438165,100089262.6424515,98263195.00022882,7672755535.832742
2032,534232426.3690563,2932653242.7199955,353027445.8447759,87082109.84421724,307184939.95791876,859448842.4421725,339497575.19550455,1036084411.5942641,625533775.6050935,73415233.94422297,708146881.587661,105203312.55848914,103283942.19002153,8064794139.853393
2033,560202058.2064409,3075212775.3522177,370188502.24000806,91315267.96164449,322117541.20587313,901227605.6164448,356000929.545286,1086449626.046763,655941667.4747854,76984030.03873381,742570688.3315057,110317362.47452681,108304689.37981425,8456832743.874043
2034,586171690.0438256,3217772307.9844394,387349558.6352402,95548426.0790717,337050142.4538275,943006368.790717,372504283.89506745,1136814840.4992619,686349559.3444775,80552826.13324465,776994495.0753504,115431412.39056449,113325436.56960696,8848871347.894693
