year,A_total_kg,A_total_Mt
2025,8593376627.236828,8.593376627236827
2026,8905863050.04544,8.90586305004544
2027,9218349472.854055,9.218349472854056
2028,9530835895.662664,9.530835895662664
2029,9843322318.471277,9.843322318471277
2030,10155808741.27989,10.15580874127989
2031,10702659981.194958,10.702659981194957
2032,11249511221.110033,11.249511221110033
2033,11796362461.025103,11.796362461025103
2034,12343213700.940172,12.343213700940172
2035,12890064940.855244,12.890064940855243
2036,13436916180.770317,13.436916180770318
2037,13983767420.685385,13.983767420685385
2038,14530618660.600456,14.530618660600457
2039,15077469900.51553,15.07746990051553
2040,15624321140.4306,15.624321140430599
2041,16405537197.45213,16.40553719745213
2042,17186753254.473656,17.186753254473654
2043,17967969311.49519,17.96796931149519
2044,18749185368.51672,18.74918536851672
2045,19530401425.53825,19.53040142553825
2046,20311617482.55978,20.31161748255978
2047,21092833539.58131,21.09283353958131
2048,21874049596.602837,21.874049596602838
2049,22655265653.624367,22.655265653624365
2050,23436481710.645897,23.436481710645896
2051,24217697767.667423,24.217697767667424
2052,24998913824.68896,24.998913824688962
2053,25780129881.710487,25.780129881710486
2054,26561345938.732018,26.561345938732018
2055,27342561995.753548,27.34256199575355
2056,28123778052.775078,28.123778052775076
2057,28904994109.796604,28.904994109796604
2058,29686210166.818134,29.686210166818135
2059,30467426223.83967,30.46742622383967
2060,31248642280.8612,31.248642280861198
2061,31639250309.37196,31.63925030937196
2062,32029858337.882732,32.02985833788273
2063,32420466366.39349,32.42046636639349
2064,32811074394.90426,32.81107439490426
2065,33201682423.415024,33.20168242341502
2066,33592290451.925785,33.592290451925784
2067,33982898480.436554,33.98289848043655
2068,34373506508.94731,34.37350650894731
2069,34764114537.458084,34.764114537458084
2070,35154722565.96885,35.15472256596885
2071,35428148185.926384,35.42814818592638
2072,35701573805.88391,35.70157380588391
2073,35974999425.84145,35.97499942584145
2074,36248425045.79899,36.24842504579899
2075,36521850665.75652,36.521850665756524
2076,36795276285.714066,36.79527628571407
2077,37068701905.67159,37.068701905671595
2078,37342127525.62914,37.342127525629145
2079,37615553145.58667,37.61555314558667
2080,37888978765.5442,37.888978765544195
2081,38084282779.79958,38.08428277979959
2082,38279586794.05497,38.27958679405497
2083,38474890808.31035,38.47489080831035
2084,38670194822.565735,38.67019482256573
2085,38865498836.82111,38.86549883682111
2086,39060802851.0765,39.0608028510765
2087,39256106865.33188,39.25610686533188
2088,39451410879.58726,39.45141087958726
2089,39646714893.84265,39.64671489384265
2090,39842018908.09802,39.84201890809802
2091,39959201316.65125,39.95920131665125
2092,40076383725.20449,40.076383725204494
2093,40193566133.75772,40.19356613375772
2094,40310748542.31094,40.31074854231095
2095,40427930950.86417,40.427930950864166
2096,40545113359.417404,40.54511335941741
2097,40662295767.97064,40.66229576797064
2098,40779478176.52386,40.77947817652386
2099,40896660585.07709,40.896660585077086
2100,41013842993.630325,41.01384299363033
