year,co2_sum
2025,780559864618.9227
2026,807354837332.6804
2027,834759389872.9596
2028,862101362964.3286
2029,888612107618.912
2030,915804698051.7383
2031,963414990570.9874
2032,97499894359907.55
2033,102237560649119.45
2034,106975049349421.14
2035,111712361119408.03
2036,116449495599120.23
2037,241128548694511.38
2038,250555757129001.75
2039,259982784567049.9
2040,269409631810905.53
2041,423589446787981.2
2042,443758058945071.94
2043,463925108438695.5
2044,644907693100669.6
2045,671774717836893.6
2046,872858495903091.1
2047,906427037085595.4
2048,939993750238372.0
2049,973561797970680.2
2050,1208147387041548.5
2051,1248413902054696.0
2052,1288680093306941.0
2053,1550065372496798.8
2054,1597029957564711.8
2055,1643999181303918.8
2056,1932185695325507.8
2057,1985851394461701.5
2058,2039518871639288.5
2059,2354506579416831.0
2060,2414874066982472.0
2061,2445053983173224.0
2062,2475233750129957.5
2063,2227339499505589.2
2064,2254168726542547.5
2065,2281000156207945.0
2066,2307829118490229.5
2067,2334657933593584.5
2068,2361489032398726.0
2069,2388317584694676.0
2070,2415148473803042.0
2071,2433922860292015.5
2072,2146483933573711.8
2073,2162915500924198.0
2074,2179344372343820.2
2075,2195775693266232.2
2076,2212206893958072.8
2077,2228637984328965.5
2078,2245068957137680.0
2079,2261497145040398.5
2080,2277927869568175.0
2081,2289665072611609.5
2082,2629725886078841.5
2083,2643138031953577.0
2084,2656550131454716.5
2085,2669959455120538.0
2086,3018398060316146.0
2087,3033485051535331.0
2088,3048569258150391.0
2089,3063656138414750.5
2090,3420469814755709.0
2091,3430521978262306.0
2092,3784311140593888.5
2093,3795371033808776.0
2094,4152175379261356.5
2095,4164237569346810.0
2096,4524057119972871.0
2097,4537124316389223.0
2098,4899961739188248.0
2099,4914033956203963.0
2100,5279883894391478.0
