year,co2_sum
2025,812134809326.9084
2026,839173506850.8551
2027,866814503112.5657
2028,894332251159.1698
2029,920900958990.4694
2030,948149327781.7452
2031,995993433192.8765
2032,1071373989250.7672
2033,1119830483614.9846
2034,1167950610591.9539
2035,1215735385220.12
2036,1259769888023.3462
2037,1338289230247.9692
2038,1382272024445.949
2039,1425626996605.8787
2040,1468353200561.9016
2041,1568955962269.549
2042,1632500795074.2358
2043,1693593889364.3481
2044,1798728632817.8674
2045,1859160239255.265
2046,1967948112834.5742
2047,2030537919390.5107
2048,2090459466430.7036
2049,2151049554786.4968
2050,2263377161228.1313
2051,2321977255075.493
2052,2379498603278.236
2053,2492959096012.26
2054,2548123156341.333
2055,2607433466915.9487
2056,2726605854428.9287
2057,2785076759470.64
2058,2844813337011.377
2059,2966857004884.7036
2060,3026246140313.3936
2061,3047193495640.428
2062,3067730920386.1396
2063,3019461572232.8423
2064,3038630345068.9805
2065,3059825602271.0254
2066,3078214473775.99
2067,3096200085973.68
2068,3116287170790.156
2069,3133492113597.528
2070,3152850516309.0435
2071,3163263804692.881
2072,3103387978643.996
2073,3115687835053.297
2074,3125153955894.555
2075,3137087727443.744
2076,3148844761479.6016
2077,3160427463904.9326
2078,3171838232763.0063
2079,3180327445216.5376
2080,3191372187105.54
2081,3203870738079.4775
2082,3289333391412.1333
2083,3302043993138.604
2084,3314713303983.878
2085,3324538584157.775
2086,3414139511003.6816
2087,3426971289858.1973
2088,3436950615917.0703
2089,3449683612354.7456
2090,3540628066335.298
2091,3543539279768.726
2092,3625171418503.512
2093,3631045451631.773
2094,3713335974914.8486
2095,3716596676031.821
2096,3799568940067.0625
2097,3803001475500.57
2098,3889397507545.283
2099,3893009817597.641
2100,3977328313409.925
