year,co2_pos,co2_bio,co2_sum
2025,1703518888184.2878,-1044385884429.2275,659133003755.0603
2026,1759031454476.137,-1082363552953.9272,676667901522.2097
2027,1814094327234.9607,-1120341221478.6265,693753105756.3342
2028,1868702282902.2441,-1158318890003.3252,710383392898.919
2029,1922861414369.6926,-1196296558528.025,726564855841.6677
2030,1976570110689.8179,-1234274227052.7236,742295883637.0942
2031,2071149060594.151,-1300735146970.9468,770413913623.2041
2032,2164516882928.4844,-1367196066889.171,797320816039.3135
2033,2256674845698.66,-1433656986807.3945,823017858891.2656
2034,2347620536434.945,-1500117906725.6182,847502629709.3267
2035,2437357613347.8833,-1566578826643.8418,870778786704.0415
2036,2513578666338.1313,-1633039746562.0652,880538919776.0662
2037,2587591381188.161,-1699500666480.289,888090714707.8721
2038,2659387594365.8467,-1765961586398.5127,893426007967.334
2039,2728974356941.187,-1832422506316.736,896551850624.4509
2040,2796348339138.251,-1898883426234.9602,897464912903.2908
2041,2899496416558.6406,-1993827597546.7078,905668819011.9329
2042,2999152070495.511,-2088771768858.455,910380301637.0562
2043,3095315554156.9297,-2183715940170.2036,911599613986.7261
2044,3187982902949.6455,-2278660111481.951,909322791467.6943
2045,3277161428457.595,-2373604282793.699,903557145663.896
2046,3366719948019.033,-2468548454105.4473,898171493913.5859
2047,3453086121248.3765,-2563492625417.196,889593495831.1807
2048,3536255781663.783,-2658436796728.944,877818984934.8394
2049,3616228712063.124,-2753380968040.6914,862847744022.4326
2050,3693007088843.977,-2848325139352.4404,844681949491.5366
2051,3767785357371.3154,-2943269310664.187,824516046707.1284
2052,3839450688349.925,-3038213481975.9355,801237206373.9893
2053,3907994026493.7173,-3133157653287.6836,774836373206.0337
2054,3973422154849.854,-3228101824599.4316,745320330250.4224
2055,4035730029318.79,-3323045995911.1797,712684033407.6104
2056,4105493416312.318,-3417990167222.9287,687503249089.3892
2057,4172732564754.858,-3512934338534.676,659798226220.1821
2058,4237438423969.839,-3607878509846.4243,629559914123.4146
2059,4299611510730.605,-3702822681158.172,596788829572.4331
2060,4359260549106.558,-3797766852469.9204,561493696636.6377
2061,4369543049082.6426,-3845238938125.795,524304110956.84766
2062,4378737324994.967,-3892711023781.6675,486026301213.2993
2063,4386836594679.1763,-3940183109437.542,446653485241.6343
2064,4393845564863.679,-3987655195093.4155,406190369770.2637
2065,4399758731386.492,-4035127280749.2896,364631450637.20264
2066,4404590112843.7705,-4082599366405.1636,321990746438.60693
2067,4408330268003.378,-4130071452061.0366,278258815942.3413
2068,4410968419983.479,-4177543537716.91,233424882266.56836
2069,4412525740869.141,-4225015623372.787,187510117496.35352
2070,4412984284261.938,-4272487709028.659,140496575233.2793
2071,4411565248649.202,-4305718168987.771,105847079661.43115
2072,4409587473448.533,-4338948628946.883,70638844501.65039
2073,4407064806317.802,-4372179088905.995,34885717411.80664
2074,4403983468990.957,-4405409548865.108,-1426079874.1513672
2075,4400357941813.394,-4438640008824.219,-38282067010.825195
2076,4396172950304.0596,-4471870468783.33,-75697518479.27051
2077,4391436110371.855,-4505100928742.442,-113664818370.5874
2078,4386155013046.2876,-4538331388701.553,-152176375655.26514
2079,4380314748593.137,-4571561848660.666,-191247100067.5288
2080,4373930168095.1123,-4604792308619.778,-230862140524.66602
2081,4383964058786.272,-4628528351447.714,-244564292661.4419
2082,4393880764672.0664,-4652264394275.651,-258383629603.58496
2083,4403669254628.453,-4676000437103.588,-272331182475.13477
2084,4413329672237.738,-4699736479931.526,-286406807693.7881
2085,4422850127798.426,-4723472522759.465,-300622394961.03906
2086,4432254201660.944,-4747208565587.398,-314954363926.4541
2087,4441529970596.029,-4770944608415.336,-329414637819.30664
2088,4450669734915.572,-4794680651243.271,-344010916327.6992
2089,4459684922113.882,-4818416694071.208,-358731771957.3262
2090,4468576083618.431,-4842152736899.149,-373576653280.71875
2091,4476112187747.766,-4856394362595.909,-380282174848.14355
2092,4483616132223.172,-4870635988292.674,-387019856069.50195
2093,4491078621132.859,-4884877613989.432,-393798992856.57227
2094,4498516427522.583,-4899119239686.196,-400602812163.6133
2095,4505921158488.425,-4913360865382.96,-407439706894.53516
2096,4513289368003.372,-4927602491079.721,-414313123076.34863
2097,4520628880023.612,-4941844116776.481,-421215236752.86914
2098,4527934845510.605,-4956085742473.244,-428150896962.6387
2099,4535208695508.485,-4970327368170.006,-435118672661.5205
2100,4542448895571.149,-4984568993866.768,-442120098295.61816
