year,"A[switchgrass_row, switchgrass_col, t]","s[switchgrass_col, t]",A*s,"f[Use & Collection, t]",difference (A*s - f),ratio (A*s)/f
2025,1000.0,351797579.9086092,351797579908.6092,220000000000.0,131797579908.60919,1.5990799086754963
2026,1000.0,361389251.82089674,361389251820.8967,228000000000.0,133389251820.89673,1.5850405781618278
2027,1000.0,374069576.446192,374069576446.192,236000000000.0,138069576446.19202,1.5850405781618306
2028,1000.0,386749901.07151264,386749901071.51263,244000000000.0,142749901071.51263,1.585040578161937
2029,1000.0,395892314.407364,395892314407.364,252000000000.0,143892314407.364,1.57100124764827
2030,1000.0,408460324.3885507,408460324388.5507,260000000000.0,148460324388.55072,1.571001247648272
2031,1000.0,430454341.85559756,430454341855.59753,274000000000.0,156454341855.59753,1.5710012476481663
2032,1000.0,452448359.3227027,452448359322.7027,288000000000.0,164448359322.7027,1.5710012476482733
2033,1000.0,474442376.78974694,474442376789.74695,302000000000.0,172442376789.74695,1.5710012476481687
2034,1000.0,496436394.2568204,496436394256.8204,316000000000.0,180436394256.82037,1.5710012476481658
2035,1000.0,518430411.7239307,518430411723.9307,330000000000.0,188430411723.93073,1.5710012476482749
2036,1000.0,540424429.1910058,540424429191.0058,344000000000.0,196424429191.0058,1.5710012476482726
2037,1000.0,567444526.9819365,567444526981.9364,358000000000.0,209444526981.9364,1.5850405781618335
2038,1000.0,589635095.0761998,589635095076.1998,372000000000.0,217635095076.19983,1.5850405781618275
2039,1000.0,611825663.1704668,611825663170.4668,386000000000.0,225825663170.4668,1.585040578161831
2040,1000.0,634016231.2647749,634016231264.7749,400000000000.0,234016231264.7749,1.5850405781619372
2041,1000.0,659820524.0122751,659820524012.2751,420000000000.0,239820524012.27515,1.5710012476482742
2042,1000.0,691240548.9651942,691240548965.1942,440000000000.0,251240548965.1942,1.5710012476481687
2043,1000.0,716202481.8818709,716202481881.8708,460000000000.0,256202481881.87085,1.556961917134502
2044,1000.0,747341720.2246116,747341720224.6117,480000000000.0,267341720224.6117,1.5569619171346076
2045,1000.0,771461293.3104204,771461293310.4204,500000000000.0,271461293310.4204,1.542922586620841
2046,1000.0,802319745.0428883,802319745042.8883,520000000000.0,282319745042.8883,1.542922586620939
2047,1000.0,833178196.7752537,833178196775.2537,540000000000.0,293178196775.25366,1.54292258662084
2048,1000.0,856174623.4200785,856174623420.0785,560000000000.0,296174623420.0785,1.528883256107283
2049,1000.0,886752288.5421622,886752288542.1622,580000000000.0,306752288542.16223,1.5288832561071763
2050,1000.0,917329953.6643057,917329953664.3057,600000000000.0,317329953664.30566,1.5288832561071761
2051,1000.0,939203233.8680415,939203233868.0415,620000000000.0,319203233868.0415,1.5148439255936152
2052,1000.0,960514940.8511671,960514940851.1671,640000000000.0,320514940851.1671,1.5008045950799487
2053,1000.0,981265074.6136775,981265074613.6775,660000000000.0,321265074613.6775,1.486765264566178
2054,1000.0,1001450861.2394208,1001450861239.4208,680000000000.0,321450861239.4208,1.472721854763854
2055,1000.0,1030908153.8368366,1030908153836.8365,700000000000.0,330908153836.83655,1.4727259340526235
2056,1000.0,1050254354.5480506,1050254354548.0507,720000000000.0,330254354548.05066,1.4586866035389592
2057,1000.0,1069038982.0387179,1069038982038.7179,740000000000.0,329038982038.7179,1.4446472730252944
2058,1000.0,1097931927.4991453,1097931927499.1453,760000000000.0,337931927499.14526,1.4446472730251911
2059,1000.0,1115874195.1589925,1115874195158.9924,780000000000.0,335874195158.99243,1.4306079425115288
2060,1000.0,1144486354.0093043,1144486354009.3042,800000000000.0,344486354009.3042,1.4306079425116303
2061,1000.0,1147420575.7183487,1147420575718.3486,810000000000.0,337420575718.34863,1.4165686119979612
2062,1000.0,1150074010.8171256,1150074010817.1255,820000000000.0,330074010817.1255,1.4025292814842993
2063,1000.0,1152446659.3055391,1152446659305.539,830000000000.0,322446659305.53906,1.388489950970529
2064,1000.0,1154538521.1838567,1154538521183.8567,840000000000.0,314538521183.8567,1.3744506204569722
2065,1000.0,1168283027.3883374,1168283027388.3374,850000000000.0,318283027388.3374,1.3744506204568676
2066,1000.0,1169953709.3511581,1169953709351.1582,860000000000.0,309953709351.1582,1.3604112899432073
2067,1000.0,1171343604.70379,1171343604703.79,870000000000.0,301343604703.79004,1.3463719594296437
2068,1000.0,1184807324.2980926,1184807324298.0925,880000000000.0,304807324298.0925,1.3463719594296506
2069,1000.0,1185776039.7351303,1185776039735.1304,890000000000.0,295776039735.1304,1.3323326289158768
2070,1000.0,1199099366.0243793,1199099366024.3792,900000000000.0,299099366024.37915,1.332332628915977
2071,1000.0,1195692021.6508994,1195692021650.8994,907000000000.0,288692021650.8994,1.3182932984023146
2072,1000.0,1204920074.7397194,1204920074739.7195,914000000000.0,290920074739.7195,1.318293298402319
2073,1000.0,1214148127.8285344,1214148127828.5344,921000000000.0,293148127828.5344,1.3182932984023175
2074,1000.0,1210347682.2005715,1210347682200.5715,928000000000.0,282347682200.57153,1.304253967888547
2075,1000.0,1219477459.9758894,1219477459975.8894,935000000000.0,284477459975.8894,1.3042539678886518
2076,1000.0,1228607237.75111,1228607237751.11,942000000000.0,286607237751.1101,1.304253967888652
2077,1000.0,1237737015.5263307,1237737015526.3308,949000000000.0,288737015526.3308,1.304253967888652
2078,1000.0,1246866793.301452,1246866793301.452,956000000000.0,290866793301.4519,1.304253967888548
2079,1000.0,1242476695.7920117,1242476695792.0117,963000000000.0,279476695792.0117,1.2902146373748824
2080,1000.0,1251508198.2537405,1251508198253.7405,970000000000.0,281508198253.7405,1.29021463737499
2081,1000.0,1257959271.440511,1257959271440.511,975000000000.0,282959271440.511,1.290214637374883
2082,1000.0,1250651800.7239938,1250651800723.994,980000000000.0,270651800723.9939,1.2761753068612183
2083,1000.0,1257032677.2584064,1257032677258.4065,985000000000.0,272032677258.4065,1.2761753068613264
2084,1000.0,1263413553.792709,1263413553792.7092,990000000000.0,273413553792.70923,1.2761753068613224
2085,1000.0,1255825296.4659212,1255825296465.9211,995000000000.0,260825296465.92114,1.2621359763476594
2086,1000.0,1262135976.3476562,1262135976347.6562,1000000000000.0,262135976347.65625,1.2621359763476563
2087,1000.0,1268446656.2293987,1268446656229.3987,1005000000000.0,263446656229.39868,1.2621359763476603
2088,1000.0,1260577612.2923355,1260577612292.3354,1010000000000.0,250577612292.33545,1.2480966458339955
2089,1000.0,1266818095.5215077,1266818095521.5078,1015000000000.0,251818095521.5078,1.248096645833998
2090,1000.0,1273058578.7505705,1273058578750.5706,1020000000000.0,253058578750.57056,1.2480966458338927
2091,1000.0,1248078398.4572203,1248078398457.2202,1023000000000.0,225078398457.2202,1.2200179848066668
2092,1000.0,1222929746.1976035,1222929746197.6035,1026000000000.0,196929746197.60352,1.1919393237793408
2093,1000.0,1212059093.0703764,1212059093070.3765,1029000000000.0,183059093070.37646,1.177899993265672
2094,1000.0,1186615614.869972,1186615614869.972,1032000000000.0,154615614869.97192,1.1498213322383448
2095,1000.0,1161003664.7034004,1161003664703.4004,1035000000000.0,126003664703.40039,1.1217426712110148
2096,1000.0,1135223242.570666,1135223242570.666,1038000000000.0,97223242570.66602,1.0936640101836859
2097,1000.0,1109274348.4716587,1109274348471.6587,1041000000000.0,68274348471.65869,1.0655853491562524
2098,1000.0,1097814043.4629736,1097814043462.9736,1044000000000.0,53814043462.97363,1.051546018642695
2099,1000.0,1071570323.423286,1071570323423.286,1047000000000.0,24570323423.28601,1.023467357615364
2100,1000.0,1045158131.4174374,1045158131417.4374,1050000000000.0,-4841868582.562622,0.9953886965880356
