Open Burning EOL,Fossil Electricity,Fossil Heat
"Open Burning, multi-material food packaging film","Electricity, oil (life cycle)","Natural gas, combusted in industrial boiler"
"Open Burning, multi-material non-food packaging film","Electricity, natural gas (life cycle)","LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
"Open Burning, PET","Electricity, coal (life cycle)","Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene"
"Open Burning, PP",,"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas"
"Open Burning, HDPE",,"Diesel, combusted in industrial boiler"
"Open Burning, PS",,"Bituminous coal, combusted in industrial boiler"
"Open Burning, PVC",,"Residual fuel oil, combusted in industrial boiler"
"Open Burning, LDPE",,"Lignite coal, combusted in industrial boiler"
"Open Burning, multi-material food bottles",,"Wood waste, unspecified, combusted in industrial boiler"
,,"Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene"
,,"Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"Liquefied petroleum gas, combusted in industrial boiler"
,,"TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
,,"Anthracite coal, combusted in industrial boiler"
,,"Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE"
,,"Wood fuel, hardwood, purchased, combusted in industrial boiler, SE"
