Technology,TRL_2025,k_per_year
Glucose from corn stover residues,6.312,0.034055
Glucose from forest residues woody,6.312,0.034055
Glucose from sugarcane,9.0,0.0
Glucose from switchgrass,6.312,0.034055
"Cyclohexa-2,5-diene-1,4-dicarboxylate Diels-Alder",3.213,0.027465
Ethanol corn stover biochemical,7.311,0.043944
Ethanol forest residues thermochemical,6.312,0.034055
Ethanol switchgrass biochemical,7.311,0.043944
Ethanol wheat straw biochemical,7.311,0.043944
Ethylene glycol from bio-ethanol hydration,9.0,0.0
Ethylene oxide from bio-ethanol dehydration,9.0,0.0
Muconic acid fermentation of glucose,5.596,0.06
PTA production from cyclohexa,3.213,0.027465
Styrene production from corn stover,4.243,0.025541
High-tech sorting HDPE bottles,9.0,0.0
Delamination multi-material food bottles,6.312,0.034055
STRAP multi-material food bottles,5.596,0.06
Chemical depolymerization metal oxide PS,5.596,0.06
Enzymatic depolymerization PET bottles,6.312,0.034055
Pyrolysis feedstock recycling HDPE mixed plastics,8.59,0.194591
Disposal HDPE microplastics filtered,9.0,0.0
Plastic incineration CO2 capture,7.311,0.043944
Steam cracker CO2 capture,6.312,0.034055
