index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type
7,34156f3c-28ef-33db-9ad0-6293a2aa0d52,"Transport, combination truck, diesel powered",48-49: Transportation and Warehousing/4841: General Freight Trucking,US,628c07ec-0802-39c1-ab88-1c62848ef436,"Transport, combination truck, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
8,7de9c230-fd0f-3478-be87-f80181132faa,"Transport, train, diesel powered",48-49: Transportation and Warehousing/4821: Rail Transportation,US,73c7494d-4e93-3769-896b-8bb82f0dfccc,"Transport, train, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4821: Rail Transportation,t*km,product
9,57cdac3b-a289-330e-8e55-6b7e2c6885fb,"Transport, pipeline, natural gas",48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,RNA,057a281a-908b-3adf-8f51-ed79fe5c5a9b,"Transport, pipeline, natural gas",Technosphere flows/48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,t*km,product
22,eaff3c91-b8ce-38a1-a3ba-1fe0c9d4041c,"Transport, barge, residual fuel oil powered",48-49: Transportation and Warehousing/4832: Inland Water Transportation,US,c2cc68fe-1754-3468-a973-51c2f5c82fcd,"Transport, barge, residual fuel oil powered",Technosphere flows/48-49: Transportation and Warehousing/4832: Inland Water Transportation,t*km,product
27,0855376f-1ec5-3f3e-bead-959c932539b7,"Transport, pipeline, unspecified petroleum products",48-49: Transportation and Warehousing/4869: Other Pipeline Transportation,RNA,acbe5bc4-6afd-31aa-bf3f-4a3fdc491945,"Transport, pipeline, unspecified petroleum products",Technosphere flows/48-49: Transportation and Warehousing/4869: Other Pipeline Transportation,t*km,product
29,c2300fc3-5496-3d12-9135-67dc0ef740c9,"Transport, barge, diesel powered",48-49: Transportation and Warehousing/4832: Inland Water Transportation,US,a1242640-8306-366c-9c55-6dfd23e77bd7,"Transport, barge, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4832: Inland Water Transportation,t*km,product
53,099c3d09-08a3-3cac-9ffd-0558c12033b9,"Transport, barge, average fuel mix",48-49: Transportation and Warehousing/4832: Inland Water Transportation,US,4069483a-8d94-3b6b-81be-5f0a249b74f4,"Transport, barge, average fuel mix",Technosphere flows/48-49: Transportation and Warehousing/4832: Inland Water Transportation,t*km,product
60,dce702f1-03a1-3fe9-bb48-94a5217fd8cb,"Transport, combination truck, average fuel mix",48-49: Transportation and Warehousing/4841: General Freight Trucking,RNA,2afb4e2f-b224-3900-956f-03e3f27b276b,"Transport, combination truck, average fuel mix",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
84,1e2429d8-8d91-328f-85c3-18d39bdebfa7,"Transport, ocean freighter, average fuel mix","48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",GLO,0e63d1db-e383-3c9a-b02a-b5eebafe87d1,"Transport, ocean freighter, average fuel mix","Technosphere flows/48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",t*km,product
126,45b70b50-20a0-341b-8e2f-c196974d1541,"Transport, single unit truck, diesel powered",48-49: Transportation and Warehousing/4841: General Freight Trucking,US,bbcd8095-e1d5-3762-aa08-3efc8d1d2ec4,"Transport, single unit truck, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
141,711ab26a-94a2-33f9-89da-560c55808297,"Transport, single unit truck, short-haul, diesel powered",48-49: Transportation and Warehousing/4841: General Freight Trucking,US,20567d69-c8ee-325c-a98c-43c35b8eb9f4,"Transport, single unit truck, short-haul, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
177,da0f5501-f4ab-32d1-80b7-b70d143608f6,"Transport, ocean freighter, diesel powered","48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",GLO,6c65fc34-c25e-3eb4-bc92-15bbfc457725,"Transport, ocean freighter, diesel powered","Technosphere flows/48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",t*km,product
232,f85fcdde-6c6b-3bbb-8efc-de6cb34c9ac7,"Transport, ocean freighter, residual fuel oil powered","48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",GLO,735f1d86-f99a-3ffa-adae-176c545744ab,"Transport, ocean freighter, residual fuel oil powered","Technosphere flows/48-49: Transportation and Warehousing/4831: Deep Sea, Coastal, and Great Lakes Water Transportation",t*km,product
456,d397dd56-dc53-37a1-956b-5da3aaa81a6f,"Transport, single unit truck, gasoline powered",48-49: Transportation and Warehousing/4841: General Freight Trucking,US,30c89ffc-e08a-3d2b-8c96-33b2397b9bd8,"Transport, single unit truck, gasoline powered",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
