provider name,Linear Economy,Low-tech,High-tech
"High-tech Sorting, Collected HDPE Drinking Bottles",0,0,0.87
"High-tech Sorting, Collected HDPE Food Bottles",0,0,0.87
"High-tech Sorting, Collected HDPE Non-food Bottles",0,0,0.87
"High-tech Sorting, Collected HDPE Other Food Rigid",0,0,0.87
"High-tech Sorting, Collected HDPE Other Non-food Rigid",0,0,0.87
"High-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",0,0,0.73
"High-tech Sorting, Collected LDPE Food Packaging Film (small format)",0,0,0.72
"High-tech Sorting, Collected LDPE Non-food Packaging Film",0,0,0.73
"High-tech Sorting, Collected Multi-material Food Bottles",0,0,0.70
"High-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",0,0,0.70
"High-tech Sorting, Collected Multi-material Food Packaging Film (small format)",0,0,0.70
"High-tech Sorting, Collected Multi-material Non-food Packaging Film",0,0,0.70
"High-tech Sorting, Collected PET Drinking Bottles",0,0,0.87
"High-tech Sorting, Collected PET Food Bottles",0,0,0.87
"High-tech Sorting, Collected PET Non-food Bottles",0,0,0.87
"High-tech Sorting, Collected PET Other Food Rigid",0,0,0.87
"High-tech Sorting, Collected PET Other Non-Food Rigid",0,0,0.87
"High-tech Sorting, Collected PP Food Bottles",0,0,0.87
"High-tech Sorting, Collected PP Food Packaging Film (med-large format)",0,0,0.73
"High-tech Sorting, Collected PP Food Packaging Film (small format)",0,0,0.72
"High-tech Sorting, Collected PP Non-food Bottles",0,0,0.87
"High-tech Sorting, Collected PP Non-food Packaging Film",0,0,0.73
"High-tech Sorting, Collected PP Other Food Rigid",0,0,0.87
"High-tech Sorting, Collected PP Other Non-food Rigid",0,0,0.87
"High-tech Sorting, Collected PS Other Food Rigid",0,0,0.87
"High-tech Sorting, Collected PVC Other Food Rigid",0,0,0.87
"High-tech Sorting, Collected PVC Other Non-food Rigid",0,0,0.87
"Low-tech Sorting, Collected HDPE Drinking Bottles",0,0.90,0
"Low-tech Sorting, Collected HDPE Food Bottles",0,0.90,0
"Low-tech Sorting, Collected HDPE Non-food Bottles",0,0.90,0
"Low-tech Sorting, Collected HDPE Other Food Rigid",0,0.10,0
"Low-tech Sorting, Collected HDPE Other Non-food Rigid",0,0.10,0
"Low-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",0,0.10,0
"Low-tech Sorting, Collected LDPE Food Packaging Film (small format)",0,0.10,0
"Low-tech Sorting, Collected LDPE Non-food Packaging Film",0,0.10,0
"Low-tech Sorting, Collected Multi-material Food Bottles",0,0.10,0
"Low-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",0,0.10,0
"Low-tech Sorting, Collected Multi-material Food Packaging Film (small format)",0,0.10,0
"Low-tech Sorting, Collected Multi-material Non-food Packaging Film",0,0.10,0
"Low-tech Sorting, Collected PET Drinking Bottles",0,0.90,0
"Low-tech Sorting, Collected PET Food Bottles",0,0.90,0
"Low-tech Sorting, Collected PET Non-food Bottles",0,0.90,0
"Low-tech Sorting, Collected PET Other Food Rigid",0,0.10,0
"Low-tech Sorting, Collected PET Other Non-Food Rigid",0,0.10,0
"Low-tech Sorting, Collected PP Food Bottles",0,0.10,0
"Low-tech Sorting, Collected PP Food Packaging Film (med-large format)",0,0.10,0
"Low-tech Sorting, Collected PP Food Packaging Film (small format)",0,0.10,0
"Low-tech Sorting, Collected PP Non-food Bottles",0,0.10,0
"Low-tech Sorting, Collected PP Non-food Packaging Film",0,0.10,0
"Low-tech Sorting, Collected PP Other Food Rigid",0,0.10,0
"Low-tech Sorting, Collected PP Other Non-food Rigid",0,0.10,0
"Low-tech Sorting, Collected PS Other Food Rigid",0,0.10,0
"Low-tech Sorting, Collected PVC Other Food Rigid",0,0.10,0
"Low-tech Sorting, Collected PVC Other Non-food Rigid",0,0.10,0
