Year,Biomass,Coal,Gas,Geothermal,Hydro,Nuclear,Oil,Solar,Wind
2025,1.4355,40.4325,25.1808,1.5566,10.5703,12.3256,1.5662,1.7384,5.1942
2026,1.4748,40.2576,25.1677,1.5964,10.361,12.4213,1.5446,1.8175,5.3591
2027,1.514,40.0827,25.1546,1.6363,10.1517,12.5171,1.523,1.8965,5.5239
2028,1.5533,39.9078,25.1415,1.6762,9.9424,12.6129,1.5014,1.9756,5.6888
2029,1.5925,39.7329,25.1284,1.7161,9.7331,12.7087,1.4799,2.0546,5.8537
2030,1.6318,39.558,25.1153,1.756,9.5238,12.8045,1.4583,2.1337,6.0186
2031,1.6715,39.282,25.0691,1.7571,9.4161,12.979,1.4363,2.2612,6.1277
2032,1.7113,39.006,25.0228,1.7582,9.3083,13.1536,1.4143,2.3886,6.2369
2033,1.751,38.73,24.9766,1.7593,9.2006,13.3281,1.3923,2.5161,6.346
2034,1.7907,38.454,24.9303,1.7604,9.0928,13.5026,1.3703,2.6436,6.4552
2035,1.8305,38.178,24.8841,1.7615,8.9851,13.6771,1.3483,2.7711,6.5643
2036,1.8702,37.902,24.8379,1.7626,8.8773,13.8516,1.3263,2.8986,6.6735
2037,1.9099,37.626,24.7916,1.7637,8.7696,14.0262,1.3043,3.0261,6.7826
2038,1.9497,37.35,24.7454,1.7648,8.6618,14.2007,1.2823,3.1535,6.8918
2039,1.9894,37.074,24.6991,1.7659,8.5541,14.3752,1.2603,3.281,7.0009
2040,2.0292,36.798,24.6529,1.767,8.4464,14.5497,1.2383,3.4085,7.1101
2041,2.0663,36.5793,24.5961,1.7555,8.3895,14.7038,1.2273,3.5649,7.1173
2042,2.1034,36.3605,24.5393,1.7441,8.3326,14.858,1.2164,3.7212,7.1246
2043,2.1405,36.1418,24.4825,1.7326,8.2758,15.0121,1.2054,3.8776,7.1318
2044,2.1776,35.9231,24.4257,1.7212,8.2189,15.1662,1.1944,4.0339,7.139
2045,2.2147,35.7044,24.369,1.7097,8.162,15.3203,1.1834,4.1903,7.1462
2046,2.2518,35.4856,24.3122,1.6982,8.1051,15.4745,1.1724,4.3466,7.1535
2047,2.2889,35.2669,24.2554,1.6868,8.0483,15.6286,1.1615,4.503,7.1607
2048,2.326,35.0482,24.1986,1.6753,7.9914,15.7827,1.1505,4.6594,7.1679
2049,2.3631,34.8295,24.1418,1.6639,7.9345,15.9368,1.1395,4.8157,7.1751
2050,2.4002,34.6107,24.0851,1.6524,7.8777,16.091,1.1285,4.9721,7.1824
2051,2.4363,34.4881,23.789,1.6411,7.8531,16.2381,1.1505,5.1902,7.2136
2052,2.4724,34.3656,23.4929,1.6298,7.8286,16.3852,1.1725,5.4084,7.2448
2053,2.5085,34.243,23.1969,1.6184,7.804,16.5323,1.1944,5.6265,7.276
2054,2.5445,34.1204,22.9008,1.6071,7.7795,16.6794,1.2164,5.8447,7.3072
2055,2.5806,33.9978,22.6048,1.5958,7.755,16.8265,1.2383,6.0629,7.3384
2056,2.6167,33.8752,22.3087,1.5845,7.7304,16.9736,1.2603,6.281,7.3696
2057,2.6528,33.7526,22.0126,1.5731,7.7059,17.1207,1.2823,6.4992,7.4008
2058,2.6889,33.6301,21.7166,1.5618,7.6813,17.2678,1.3042,6.7173,7.432
2059,2.7249,33.5075,21.4205,1.5505,7.6568,17.4149,1.3262,6.9355,7.4632
2060,2.761,33.3849,21.1245,1.5392,7.6323,17.562,1.3481,7.1537,7.4944
2061,2.8023,33.3046,20.8478,1.5284,7.6146,17.6979,1.3559,7.3543,7.4942
2062,2.8437,33.2243,20.571,1.5177,7.5969,17.8339,1.3636,7.555,7.4939
2063,2.885,33.144,20.2943,1.507,7.5792,17.9698,1.3713,7.7556,7.4937
2064,2.9263,33.0637,20.0176,1.4962,7.5615,18.1058,1.3791,7.9563,7.4935
2065,2.9676,32.9834,19.7409,1.4855,7.5439,18.2418,1.3868,8.157,7.4932
2066,3.0089,32.9031,19.4642,1.4747,7.5262,18.3777,1.3946,8.3576,7.493
2067,3.0502,32.8228,19.1875,1.464,7.5085,18.5137,1.4023,8.5583,7.4928
2068,3.0916,32.7425,18.9107,1.4533,7.4908,18.6496,1.41,8.7589,7.4925
2069,3.1329,32.6622,18.634,1.4425,7.4731,18.7856,1.4178,8.9596,7.4923
2070,3.1742,32.5819,18.3573,1.4318,7.4555,18.9215,1.4255,9.1603,7.4921
2071,3.2126,32.2424,18.2494,1.4262,7.4486,19.0968,1.4477,9.3129,7.5635
2072,3.2509,31.903,18.1415,1.4206,7.4417,19.2721,1.4699,9.4655,7.6348
2073,3.2893,31.5635,18.0336,1.4149,7.4349,19.4474,1.4921,9.6181,7.7062
2074,3.3277,31.2241,17.9257,1.4093,7.428,19.6227,1.5143,9.7707,7.7776
2075,3.366,30.8847,17.8178,1.4037,7.4212,19.798,1.5365,9.9233,7.8489
2076,3.4044,30.5452,17.7098,1.3981,7.4143,19.9733,1.5586,10.0759,7.9203
2077,3.4428,30.2058,17.6019,1.3925,7.4074,20.1486,1.5808,10.2285,7.9917
2078,3.4811,29.8663,17.494,1.3869,7.4006,20.3239,1.603,10.381,8.0631
2079,3.5195,29.5269,17.3861,1.3813,7.3937,20.4992,1.6252,10.5336,8.1344
2080,3.5579,29.1874,17.2782,1.3756,7.3869,20.6745,1.6474,10.6862,8.2058
2081,3.5911,28.9972,17.1841,1.3696,7.394,20.7495,1.6674,10.7982,8.2488
2082,3.6244,28.807,17.09,1.3636,7.4012,20.8246,1.6874,10.9101,8.2918
2083,3.6576,28.6167,16.9959,1.3575,7.4083,20.8996,1.7074,11.022,8.3348
2084,3.6909,28.4265,16.9018,1.3515,7.4155,20.9746,1.7274,11.134,8.3778
2085,3.7241,28.2362,16.8077,1.3454,7.4226,21.0497,1.7474,11.2459,8.4208
2086,3.7574,28.046,16.7136,1.3394,7.4298,21.1247,1.7674,11.3578,8.4639
2087,3.7906,27.8558,16.6195,1.3334,7.437,21.1997,1.7874,11.4698,8.5069
2088,3.8239,27.6655,16.5254,1.3273,7.4441,21.2748,1.8074,11.5817,8.5499
2089,3.8571,27.4753,16.4314,1.3213,7.4513,21.3498,1.8274,11.6936,8.5929
2090,3.8904,27.2851,16.3373,1.3153,7.4584,21.4248,1.8474,11.8055,8.6359
2091,3.9148,27.1666,16.3303,1.3098,7.4534,21.4209,1.862,11.8787,8.6636
2092,3.9392,27.0482,16.3233,1.3044,7.4484,21.4169,1.8765,11.9518,8.6913
2093,3.9636,26.9298,16.3163,1.299,7.4434,21.4129,1.8911,12.0249,8.719
2094,3.988,26.8113,16.3094,1.2935,7.4384,21.409,1.9057,12.0981,8.7467
2095,4.0124,26.6929,16.3024,1.2881,7.4334,21.405,1.9203,12.1712,8.7744
2096,4.0368,26.5745,16.2954,1.2827,7.4284,21.401,1.9348,12.2444,8.8021
2097,4.0612,26.456,16.2884,1.2772,7.4234,21.3971,1.9494,12.3175,8.8298
2098,4.0856,26.3376,16.2814,1.2718,7.4184,21.3931,1.964,12.3906,8.8575
2099,4.11,26.2192,16.2745,1.2664,7.4133,21.3891,1.9786,12.4638,8.8852
2100,4.1344,26.1007,16.2675,1.261,7.4083,21.3852,1.9931,12.5369,8.9129
