Year,Biomass,Coal,Gas,Geothermal,Hydro,Nuclear,Oil,Solar,Wind
2025,1.9266,35.7915,22.4675,1.01,18.2861,6.1469,1.2011,6.5008,6.6695
2026,1.9027,35.6544,22.2259,1.0025,17.933,5.7937,1.0362,7.5173,6.9343
2027,1.8788,35.5174,21.9843,0.995,17.5799,5.4406,0.8713,8.5337,7.1991
2028,1.8548,35.3803,21.7427,0.9875,17.2267,5.0874,0.7063,9.5502,7.4639
2029,1.8309,35.2432,21.5012,0.98,16.8736,4.7343,0.5414,10.5667,7.7287
2030,1.807,35.1062,21.2596,0.9725,16.5204,4.3812,0.3765,11.5832,7.9935
2031,1.7809,34.7199,20.9673,0.9568,16.2366,4.1392,0.3063,12.5483,8.3447
2032,1.7548,34.3336,20.675,0.9411,15.9528,3.8972,0.2361,13.5134,8.6959
2033,1.7287,33.9473,20.3828,0.9254,15.669,3.6552,0.1659,14.4786,9.0471
2034,1.7026,33.561,20.0905,0.9097,15.3852,3.4133,0.0957,15.4437,9.3984
2035,1.6765,33.1748,19.7982,0.894,15.1014,3.1713,0.0255,16.4088,9.7496
2036,1.6755,32.3117,19.4136,0.8834,14.9698,3.0272,0.0204,17.3905,10.3079
2037,1.6744,31.4487,19.0291,0.8728,14.8383,2.8831,0.0153,18.3722,10.8662
2038,1.6733,30.5856,18.6445,0.8622,14.7068,2.739,0.0102,19.3539,11.4245
2039,1.6723,29.7226,18.2599,0.8516,14.5752,2.5949,0.0051,20.3356,11.9828
2040,1.6712,28.8595,17.8753,0.841,14.4437,2.4508,0.0001,21.3173,12.5411
2041,1.6929,27.9409,17.3848,0.8287,14.3223,2.3267,0.0001,22.1285,13.3751
2042,1.7146,27.0223,16.8943,0.8164,14.2009,2.2026,0.0001,22.9396,14.2092
2043,1.7363,26.1037,16.4038,0.8041,14.0795,2.0785,0.0001,23.7508,15.0433
2044,1.758,25.185,15.9133,0.7919,13.9581,1.9544,0.0001,24.5619,15.8773
2045,1.7797,24.2664,15.4228,0.7796,13.8367,1.8303,0.0001,25.373,16.7114
2046,1.8304,23.4288,14.9758,0.7626,13.7149,1.7203,0.0001,25.9929,17.5743
2047,1.8811,22.5913,14.5287,0.7456,13.593,1.6102,0.0001,26.6129,18.4371
2048,1.9319,21.7537,14.0817,0.7285,13.4712,1.5002,0.0001,27.2328,19.3
2049,1.9826,20.9161,13.6346,0.7115,13.3494,1.3901,0.0001,27.8527,20.1629
2050,2.0333,20.0785,13.1875,0.6945,13.2276,1.2801,0.0001,28.4726,21.0258
2051,2.1146,19.3117,12.6505,0.6809,13.1336,1.1825,0.0001,28.9994,21.9267
2052,2.1959,18.545,12.1135,0.6672,13.0395,1.085,0.0001,29.5261,22.8277
2053,2.2772,17.7782,11.5765,0.6536,12.9454,0.9875,0.0001,30.0529,23.7287
2054,2.3584,17.0115,11.0394,0.64,12.8514,0.89,0.0001,30.5796,24.6296
2055,2.4397,16.2447,10.5024,0.6263,12.7573,0.7925,0.0001,31.1063,25.5306
2056,2.5192,15.5906,10.1344,0.6152,12.6455,0.7215,0.0001,31.4955,26.2779
2057,2.5986,14.9366,9.7664,0.6042,12.5338,0.6505,0.0001,31.8847,27.0252
2058,2.678,14.2825,9.3985,0.5931,12.422,0.5794,0.0001,32.2739,27.7725
2059,2.7575,13.6284,9.0305,0.582,12.3102,0.5084,0.0001,32.6631,28.5198
2060,2.8369,12.9744,8.6625,0.5709,12.1984,0.4374,0.0001,33.0523,29.2672
2061,2.9142,12.4108,8.3446,0.564,12.1228,0.4012,0.0001,33.3551,29.8873
2062,2.9916,11.8473,8.0266,0.557,12.0471,0.365,0.0001,33.658,30.5074
2063,3.0689,11.2837,7.7087,0.5501,11.9714,0.3288,0.0001,33.9608,31.1275
2064,3.1463,10.7202,7.3908,0.5431,11.8957,0.2926,0.0,34.2637,31.7476
2065,3.2236,10.1566,7.0728,0.5362,11.82,0.2564,0.0,34.5666,32.3677
2066,3.301,9.5931,6.7549,0.5292,11.7444,0.2202,0.0,34.8694,32.9878
2067,3.3783,9.0296,6.437,0.5223,11.6687,0.184,0.0,35.1723,33.6079
2068,3.4557,8.466,6.119,0.5153,11.593,0.1478,0.0,35.4751,34.228
2069,3.533,7.9025,5.8011,0.5084,11.5173,0.1117,0.0,35.778,34.8481
2070,3.6103,7.3389,5.4832,0.5014,11.4416,0.0755,0.0,36.0809,35.4682
2071,3.6499,6.892,5.3286,0.4958,11.4055,0.0683,0.0,36.4146,35.7453
2072,3.6895,6.445,5.174,0.4902,11.3694,0.0611,0.0,36.7483,36.0225
2073,3.729,5.9981,5.0194,0.4845,11.3333,0.0539,0.0,37.0821,36.2996
2074,3.7686,5.5511,4.8648,0.4789,11.2972,0.0467,0.0,37.4158,36.5768
2075,3.8082,5.1042,4.7102,0.4733,11.2611,0.0395,0.0,37.7496,36.854
2076,3.8478,4.6572,4.5556,0.4677,11.225,0.0323,0.0,38.0833,37.1311
2077,3.8873,4.2102,4.401,0.4621,11.1889,0.0252,0.0,38.417,37.4083
2078,3.9269,3.7633,4.2464,0.4564,11.1528,0.018,0.0,38.7508,37.6854
2079,3.9665,3.3163,4.0918,0.4508,11.1167,0.0108,0.0,39.0845,37.9626
2080,4.006,2.8694,3.9372,0.4452,11.0805,0.0036,0.0,39.4183,38.2398
2081,3.9838,2.7533,3.8251,0.4393,11.0905,0.0032,0.0,39.5659,38.3388
2082,3.9616,2.6373,3.7131,0.4333,11.1005,0.0029,0.0,39.7135,38.4377
2083,3.9394,2.5213,3.6011,0.4273,11.1105,0.0025,0.0,39.8611,38.5367
2084,3.9171,2.4053,3.4891,0.4214,11.1205,0.0022,0.0,40.0087,38.6357
2085,3.8949,2.2892,3.377,0.4154,11.1305,0.0018,0.0,40.1563,38.7347
2086,3.8727,2.1732,3.265,0.4095,11.1405,0.0014,0.0,40.3039,38.8337
2087,3.8504,2.0572,3.153,0.4035,11.1505,0.0011,0.0,40.4516,38.9327
2088,3.8282,1.9411,3.041,0.3976,11.1605,0.0007,0.0,40.5992,39.0317
2089,3.806,1.8251,2.9289,0.3916,11.1705,0.0004,0.0,40.7468,39.1306
2090,3.7838,1.7091,2.8169,0.3857,11.1805,0.0,0.0,40.8944,39.2296
2091,3.7641,1.6538,2.7811,0.3871,11.1979,0.0,0.0,40.951,39.2649
2092,3.7444,1.5985,2.7453,0.3886,11.2154,0.0,0.0,41.0077,39.3001
2093,3.7247,1.5431,2.7095,0.39,11.2329,0.0,0.0,41.0643,39.3354
2094,3.705,1.4878,2.6737,0.3915,11.2504,0.0,0.0,41.1209,39.3706
2095,3.6853,1.4325,2.6379,0.3929,11.2679,0.0,0.0,41.1775,39.4059
2096,3.6656,1.3772,2.602,0.3944,11.2853,0.0,0.0,41.2342,39.4411
2097,3.646,1.3219,2.5662,0.3959,11.3028,0.0,0.0,41.2908,39.4764
2098,3.6263,1.2666,2.5304,0.3973,11.3203,0.0,0.0,41.3474,39.5116
2099,3.6066,1.2113,2.4946,0.3988,11.3378,0.0,0.0,41.4041,39.5469
2100,3.5869,1.156,2.4588,0.4002,11.3553,0.0,0.0,41.4607,39.5821
