Process,f_VOC_of_total_cost,TRL,k values,lambda values,L_r,L_TRL_normal
"Reclaiming, sorted mixed plastics, PVC Other Food Rigid",0.7,10,0,0,0,0
"Polypropylene, PP, virgin resin, non-food bottle grade",0.75,10,0,0,0,0
Plastic Incineration CO2 Capture,0.5,6,0.15,0.05,0.3,0.444444444
Plastic Incineration CO2 to the atmosphere,1,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PET Other Non-food Rigid",0.7,10,0,0,0,0
"Microplastics, PP, Marine Environment",1,10,0,0,0,0
"Polyvinyl chloride resin, suspension grade PVC; non-food grade",0.75,10,0,0,0,0
"Microplastics, PP, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Incineration, multi-material food packaging film",1,10,0,0,0,0
"Landfill, Sanitary (Controlled) - mixed plastic waste",1,10,0,0,0,0
"Open Burning, multi-material food packaging film",1,10,0,0,0,0
"Disposal, HDPE Other Food Rigid",1,10,0,0,0,0
"Reclaiming, Sorted HDPE Other Food Rigid",0.7,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PVC Other Non-food Rigid",0.7,10,0,0,0,0
Fermentation CO2 Capture,0.5,7,0.15,0.05,0.3,0.333333333
Fermentation CO2 to the atmosphere,1,10,0,0,0,0
"Disposal, HDPE Other Non-food Rigid",1,10,0,0,0,0
"Reclaiming, Sorted HDPE Other Non-food Rigid",0.7,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, HDPE, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
Hydrocarbon feedstock production for use in steam cracker,0.75,10,0,0,0,0
"Polypropylene, PP, virgin resin, non-food non-bottle grade",0.75,10,0,0,0,0
"Disposal, HDPE Drinking Bottles",1,10,0,0,0,0
"Reclaiming, Sorted PS Other Food Rigid",0.7,10,0,0,0,0
"Disposal, multilayer food bottles Microplastics Filtered",0.5,4,0.15,0.05,0.3,0.666666667
"Disposal, PS Other Food Rigid",1,10,0,0,0,0
"Disposal, PVC Other Food Rigid",1,10,0,0,0,0
"Disposal, multimaterial food packaging film Microplastics Filtered",0.5,4,0.15,0.05,0.05,0.666666667
"Disposal, HDPE Food Bottles",1,10,0,0,0,0
"Reclaiming, Sorted PVC Other Food Rigid",0.7,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Food Bottles",0.7,10,0,0,0,0
"Reclaiming, Sorted LDPE Food Packaging Film (med-large format)",0.7,10,0,0,0,0
"Disposal, LDPE Food Packaging Film (med-large format)",1,10,0,0,0,0
"Ethylene production, from bio-ethanol dehydration",0.55,6,0.15,0.05,0.25,0.444444444
"Polyethylene terephthalate, PET, virgin resin, food non-bottle grade",0.75,10,0,0,0,0
"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; from fossil ethylene",0.75,10,0,0,0,0
"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; from bio-ethylene",0.6,7,0.15,0.05,0.2,0.333333333
"Microplastics, HDPE, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Microplastics, HDPE, Marine Environment",1,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Food Packaging Film (med-large format)",0.7,10,0,0,0,0
"Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",0.75,10,0,0,0,0
"Mechanical Recycling, HDPE Food Bottles (Flakes)",0.6,10,0,0,0,0
"Incineration, multi-material non-food packaging film",1,10,0,0,0,0
"Open Burning, multi-material non-food packaging film",1,10,0,0,0,0
"Disposal, HDPE Non-food Bottles",1,10,0,0,0,0
"Polyethylene terephthalate, PET, virgin resin, non-food non-bottle grade",0.75,10,0,0,0,0
"Disposal, LDPE Food Packaging Film (small format)",1,10,0,0,0,0
"Reclaiming, Sorted LDPE Food Packaging Film (small format)",0.7,10,0,0,0,0
"Microplastics, PS, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Microplastics, PS, Marine Environment",1,10,0,0,0,0
"Disposal, multimaterial non-food packaging film Microplastics Filtered",0.5,10,0,0,0,0
"Disposal, PVC Other Non-food Rigid",0.85,10,0,0,0,0
"Reclaiming, Sorted PVC Other Non-food Rigid",0.7,10,0,0,0,0
Ethylene glycol,0.75,10,0,0,0,0
PTA,0.75,10,0,0,0,0
"Disposal, LDPE Non-food Packaging Films",1,10,0,0,0,0
"Reclaiming, Sorted LDPE Non-food Packaging Films",0.7,10,0,0,0,0
"Disposal, Multi-material Food Packaging Film (med-large format)",1,10,0,0,0,0
"Reclaiming, Sorted Multi-material Food Packaging Film (med-large format)",0.7,10,0,0,0,0
"Microplastics, PVC, Filtration",0.5,10,0,0,0,0
"Microplastics, PVC, Marine Environment",1,10,0,0,0,0
"Polypropylene, PP, virgin resin, food non-bottle grade",0.75,10,0,0,0,0
"Mechanical Recycling, HDPE Non-food Bottles (Flakes)",0.6,10,0,0,0,0
"Open Burning, PET",1,10,0,0,0,0
"Incineration, PET",1,10,0,0,0,0
"Disposal, Multi-material Food Bottles",1,10,0,0,0,0
"Reclaiming, Sorted Multi-material Food Bottles",0.7,10,0,0,0,0
"Ethanol, denatured, mixed feedstocks, at conversion facility, 2022",0.55,10,0,0,0,0
"Corn grain, harvested and stored",0.6,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Food Packaging Film (small format)",0.7,10,0,0,0,0
"Pyrolysis, HDPE Food Bottles",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, sorted mixed plastics, HDPE Drinking Bottles",0.7,10,0,0,0,0
"Disposal, Multi-material Food Packaging Film (small format)",1,10,0,0,0,0
"Reclaiming, Sorted Multi-material Food Packaging Film (small format)",0.5,5,0.15,0.05,0.3,0.555555556
"Polyvinyl chloride resin, suspension grade PVC; food grade",0.75,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Non-food Bottles",0.7,10,0,0,0,0
Ethanol (bio-mix),1,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, LDPE, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Mechanical Recycling, HDPE Other Food Rigid (Flakes)",0.6,10,0,0,0,0
Propylene,0.75,10,0,0,0,0
"Disposal, Multi-material Non-food Packaging Film",1,10,0,0,0,0
"Reclaiming, Sorted Multi-material Non-food Packaging Film",0.7,10,0,0,0,0
"Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)",0.6,10,0,0,0,0
"Disposal, PET Drinking Bottles",1,10,0,0,0,0
"Reclaiming, Sorted PET Drinking Bottles",0.7,10,0,0,0,0
"Microplastics, LDPE, Marine Environment",1,10,0,0,0,0
"Microplastics, LDPE, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Pyrolysis, HDPE Non-food Bottles",0.6,6,0.15,0.05,0.2,0.444444444
"Reclaiming, sorted mixed plastics, HDPE Food Bottles",0.7,10,0,0,0,0
"Polystyrene, general purpose, GPPS, resin; food grade",0.75,10,0,0,0,0
"Mechanical Recycling, LDPE Food Packaging Film (med-large format) (Flakes)",0.6,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Non-food Packaging Films",0.7,10,0,0,0,0
"Reclaiming, Sorted PET Food Bottles",0.7,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Other Food Rigid",0.7,10,0,0,0,0
"Disposal, PET Food Bottles",1,10,0,0,0,0
"Reclaiming, sorted mixed plastics, HDPE Non-food Bottles",0.7,10,0,0,0,0
"Polypropylene, PP, virgin resin, food bottle grade",0.75,10,0,0,0,0
"Polyethylene, linear low-density, LLDPE, virgin resin, at plant",0.75,10,0,0,0,0
Ethylene,0.75,10,0,0,0,0
"Pyrolysis, HDPE Other Food Rigid",0.6,6,0.15,0.05,0.2,0.444444444
"Pyrolysis, Feedstock Recycling, Multimaterial Food Bottles, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Mechanical Recycling, LDPE Food Packaging Film (small format) (Flakes)",0.6,10,0,0,0,0
"Disposal, PET Non-food Bottles",1,10,0,0,0,0
"Reclaiming, Sorted PET Non-food Bottles",0.7,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, Multimaterial Food Packaging Film, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Pyrolysis, HDPE Other Non-food Rigid",0.6,6,0.15,0.05,0.2,0.444444444
"Mechanical Recycling, LDPE Non-food Packaging Films (Flakes)",0.6,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, Multimaterial Non-food Packaging Film, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Ethanol, denatured, switchgrass, biochemical",0.6,10,0,0,0,0
"Ethanol, denatured, forest residues, thermochem",0.6,10,0,0,0,0
"Ethanol, denatured, corn stover, biochemical",0.6,10,0,0,0,0
"Ethanol, denatured, wheat straw, biochemical",0.6,10,0,0,0,0
"Ethanol, denatured, corn dry mill",0.6,10,0,0,0,0
"Delamination, Multi-material Food Packaging Film (med-large format) (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Propylene oxide, at plant",0.75,10,0,0,0,0
"Disposal, PET Other Food Rigid",1,10,0,0,0,0
"Reclaiming, Sorted PET Other Food Rigid",0.7,10,0,0,0,0
"Ethylene production, fossil, steam cracker",0.75,10,0,0,0,0
"Pyrolysis gasoline, at plant",0.6,6,0.15,0.05,0.2,0.444444444
"Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",0.75,10,0,0,0,0
"Reclaiming, sorted mixed plastics, PP Other Non-food Rigid",0.7,10,0,0,0,0
Steam Cracker CO2 to the atmosphere,1,10,0,0,0,0
Steam Cracker CO2 Capture,0.5,6,0.15,0.05,0.3,0.444444444
"Pyrolysis, LDPE Food Packaging Film (med-large format)",0.6,6,0.15,0.05,0.2,0.444444444
"Microplastics, multimaterial food bottles, Marine Environment",1,10,0,0,0,0
"Microplastics, multimaterial food bottles, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Reclaiming, sorted mixed plastics, HDPE Other Food Rigid",0.7,10,0,0,0,0
"Delamination, Multi-material Food Bottles (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Reclaiming, sorted mixed plastics, PS Other Food Rigid",0.7,10,0,0,0,0
"Pyrolysis, Feedstock Recycling, PET, Mixed Plastic (Flakes)",0.6,6,0.15,0.05,0.2,0.444444444
"Delamination, Multi-material Food Packaging Film (small format) (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Incineration, PP",1,10,0,0,0,0
"Open Burning, PP",1,10,0,0,0,0
"Disposal, PET Other Non-food Rigid",1,10,0,0,0,0
"Polyethylene, high density, HDPE, virgin resin, food bottle grade",0.75,10,0,0,0,0
"Reclaiming, Sorted PET Other Non-food Rigid",0.7,10,0,0,0,0
"Microplastics, multimaterial food packaging film, Filtration",0.5,4,0.15,0.05,0.3,0.666666667
"Microplastics, multimaterial food packaging film, Marine Environment",1,10,0,0,0,0
"Methylene diphenyl diisocyanate, MDI; at plant, mass alloc",0.75,10,0,0,0,0
"Pyrolysis, LDPE Food Packaging Film (small format)",0.6,6,0.15,0.05,0.2,0.444444444
"Delamination, Multi-material Non-food Packaging Film (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Reclaiming, sorted mixed plastics, HDPE Other Non-food Rigid",0.7,10,0,0,0,0
"Disposal, PP Food Bottles",1,10,0,0,0,0
"Reclaiming, Sorted PP Food Bottles",0.7,10,0,0,0,0
"Pyrolysis, LDPE Non-food Packaging Films",0.6,6,0.15,0.05,0.2,0.444444444
"Glucose, from corn",0.6,10,0,0,0,0
"Depolymerization, Enzymatic Hydrolysis, PET Drinking Bottles (Flakes)",0.5,5,0.15,0.05,0.3,0.555555556
"Disposal, PP Food Packaging Film (med-large format)",1,10,0,0,0,0
"Reclaiming, Sorted PP Food Packaging Film (med-large format)",0.7,10,0,0,0,0
