Flow,fragmentation constant
Marine Macro HDPE-flexible-large,0.029864592
Marine Macro HDPE-rigid-large,0.029864592
Marine Macro HDPE-rigid-small,0.029864592
Marine Macro LDPE-flexible-large,0.029864592
Marine Macro LDPE-flexible-small,0.029864592
Marine Macro LDPE-rigid-large,0.029864592
Marine Macro LDPE-rigid-small,0.029864592
Marine Macro Multilayer-flexible-large (food bottles),0.0279997632
Marine Macro Multilayer-flexible-large (food packaging film),0.0279997632
Marine Macro Multilayer-flexible-large (non-food packaging film),0.0279997632
Marine Macro Multilayer-flexible-small (food packaging film),0.0279997632
Marine Macro Multilayer-rigid-large,0.0279997632
Marine Macro PET-flexible-large,0.05140368
Marine Macro PET-rigid-large,0.05140368
Marine Macro PET-rigid-small,0.05140368
Marine Macro PP-flexible-large,0.0027310176
Marine Macro PP-flexible-small,0.0027310176
Marine Macro PP-rigid-large,0.0027310176
Marine Macro PP-rigid-small,0.0027310176
Marine Macro PS-flexible-large,0.0279997632
Marine Macro PS-rigid-large,0.0279997632
Marine Macro PS-rigid-small,0.0279997632
Marine Macro PVC-flexible-large,0.0279997632
Marine Macro PVC-rigid-large,0.0279997632
Marine Macro PVC-rigid-small,0.0279997632
