Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Gas,EJ/yr,25.6154,28.0324,29.3799,28.2814,25.8811,23.4501,19.5417,16.9204,11.4156,8.4323,6.0131,5.1718
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Solar,EJ/yr,7.4116,15.2733,24.3501,33.7273,42.5785,50.63,57.8793,64.5607,75.1181,84.4228,87.295,87.2075
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Biomass,EJ/yr,2.1965,2.3827,2.4879,2.6441,2.9865,3.6156,4.5396,5.5413,7.5165,8.5798,8.077,7.5446
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Coal,EJ/yr,40.8062,46.2902,49.2302,45.6602,40.7215,35.7036,30.2264,25.3427,15.2792,6.1454,3.6483,2.4314
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Geothermal,EJ/yr,1.1515,1.2823,1.3266,1.3306,1.3082,1.235,1.1654,1.1152,1.0439,0.9535,0.8233,0.8418
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Hydro,EJ/yr,20.8482,21.7835,22.4099,22.8521,23.2193,23.5214,23.7374,23.8271,23.8208,23.7314,23.8663,23.8844
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Wind,EJ/yr,7.604,10.5401,14.468,19.8419,28.0434,37.388,47.5046,57.1673,73.8425,81.8988,83.7413,83.2562
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Nuclear,EJ/yr,7.0081,5.7769,4.7061,3.8776,3.0715,2.2762,1.4746,0.8544,0.1571,0.0077,0,0
REMIND 2.1,R2p1_SSP1-Base,World,Secondary Energy|Electricity|Oil,EJ/yr,1.3694,0.4964,0.0378,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6,,,,,,,,,,,,,,,,
