"Model","Scenario","Region","Variable","Unit","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Biomass","EJ/yr",0.794803584,1.21502864,1.677416298,3.837088752,10.13547002,11.42033495,15.87917979,20.79041941,24.98796117,25.70671245,26.73115899
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Coal","EJ/yr",26.09402534,30.95522317,33.70319458,23.46992331,5.757426169,5.579969774,5.547740915,8.25704461,9.216598518,7.835112675,5.687650785
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Gas","EJ/yr",13.17461868,17.00019833,22.49676992,19.26960637,21.96482802,13.36752336,11.46285848,17.48171159,22.90793536,21.1315928,16.4674273
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Hydro","EJ/yr",10.55403008,12.38731981,16.47221965,17.93846067,21.3395497,22.54980915,22.4724992,22.77209907,23.63300045,24.97896038,25.10288077
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",11.1561265,13.984733,23.40275042,28.30827798,40.61568314,65.53580826,88.25590426,102.7788093,115.9311662,136.5897912,160.6291318
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Nuclear","EJ/yr",9.964626944,9.9226368,12.34768998,19.0818304,26.54027981,36.12048998,47.10826803,59.15543962,69.4398976,77.94550374,81.44696934
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Oil","EJ/yr",4.208673216,3.494307392,3.096381634,1.266272694,1.143732242,0.091238467,0.050152616,0.043246976,0.045324424,0.042254154,0.03422726
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Solar","EJ/yr",0.0164592,0.1214136,1.841692688,3.713291488,8.52344672,18.43119155,30.40512,44.91701043,63.33761946,79.85046938,98.8895703
"IMAGE 3.0.1","SSP2-26","World","Secondary Energy|Electricity|Wind","EJ/yr",0.37394642,1.228848788,4.704133696,5.937191552,8.755358592,22.47903693,34.24708173,32.56739994,25.89005619,28.30422682,35.17612544
"© IAMC 1.5°C Scenario Explorer hosted by IIASA https://data.ece.iiasa.ac.at/iamc-1.5c-explorer"
