index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type
0,84008d58-09de-44eb-b6fc-556d671e18ac,Use & Collection,Z2: Packaging Economy,,62f214a9-e781-47ea-8d20-c2b9d7617bae,packaging use,,kg,product
1,ab7f18b8-9e1b-4efc-a690-5d9ffe6e0cc1,"Electricity, at grid","22: Utilities/2211: Electric Power Generation, Transmission and Distribution",CN,5f9e4330-20e4-4f3f-94c6-f8fedf7b5ff5,"Electricity, at grid","Technosphere flows/22: Utilities/2211: Electric Power Generation, Transmission and Distribution",MJ,product
2,d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment","22: Utilities/2213: Water, Sewage and Other Systems",RNA,d815ff18-015c-3afb-be18-be03bdf325da,"Diesel, combusted in industrial equipment","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product
3,a6f27abc-a259-4bf7-a968-849fc8bffe36,"Reclaiming, sorted mixed plastics, PVC Other Food Rigid",Z2: Packaging Economy/A5: EOL/A1: Reclaiming,,894fde88-22cc-4d9e-8e13-bffee40e240e,"sorted mixed plastics, PVC Other Food Rigid",,kg,waste
4,1e4fd434-9cd2-402a-8ebf-43891d0dd591,"Steam, purchased by containerboard mills","22: Utilities/2213: Water, Sewage and Other Systems",RNA,caca451d-e5df-4bf4-91f8-2c4be75af6dc,"Steam, purchased by containerboard mills","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",MJ,product
5,a8b6bb7c-0274-41de-8385-ef5f8a03f9bf,"Natural gas, processed, for material use, at plant","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",,c837f7c6-1f8d-4f62-ade8-4f2a73b41b1a,"Natural gas, production mixture, to material use","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product
6,7068192a-999c-39b6-bf66-234a294bdf92,Electricity; at user; consumption mix - US - US,"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",US,3bca3bc6-2443-3184-8976-72dc98d258f6,"Electricity, AC, 120 V","Technosphere flows/22: Utilities/2211: Electric Power Generation, Transmission and Distribution",MJ,product
7,34156f3c-28ef-33db-9ad0-6293a2aa0d52,"Transport, combination truck, diesel powered",48-49: Transportation and Warehousing/4841: General Freight Trucking,US,628c07ec-0802-39c1-ab88-1c62848ef436,"Transport, combination truck, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking,t*km,product
8,7de9c230-fd0f-3478-be87-f80181132faa,"Transport, train, diesel powered",48-49: Transportation and Warehousing/4821: Rail Transportation,US,73c7494d-4e93-3769-896b-8bb82f0dfccc,"Transport, train, diesel powered",Technosphere flows/48-49: Transportation and Warehousing/4821: Rail Transportation,t*km,product
9,57cdac3b-a289-330e-8e55-6b7e2c6885fb,"Transport, pipeline, natural gas",48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,RNA,057a281a-908b-3adf-8f51-ed79fe5c5a9b,"Transport, pipeline, natural gas",Technosphere flows/48-49: Transportation and Warehousing/4862: Pipeline Transportation of Natural Gas,t*km,product
10,f347daea-82be-4e62-8872-a0dc0ca24ca3,"Natural gas, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,ea8515c5-e3d4-4f42-a856-67a9b85b30a0,"Natural gas, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product
11,d549cd32-3e84-327e-86e8-452772ff7c56,"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)","31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",RNA,4c536a81-63c3-3f13-9e03-4dae3da1a6df,"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)","Technosphere flows/31-33: Manufacturing/3221: Pulp, Paper, and Paperboard Mills",m3,product
12,0d4adbb3-81bb-45c5-bf26-734c76ff3108,"Hydrochloric acid, HCl; MDI coproduct; at plant, 100% HCl",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,c3019f2c-8e84-4f0d-9529-093d2d0ae5e1,"Hydrochloric acid, at plant, kg",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product
13,a3e150d0-770e-4e2a-9b19-f7daa8cda38b,Chlorine; chlor-alkali electrolysis; at plant,31-33: Manufacturing/3251: Basic Chemical Manufacturing,US,d12c4a32-12a8-4673-9b14-5d227d2a128e,Sodium hydroxide; at plant,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product
14,bbb59026-6f14-46f6-9e3d-bc60ed8d45c5,"Sodium hypochlorite, 15% in H2O, at plant Bridge; USLCI to USEEIO",Bridge Processes/USLCI to USEEIO,,4b455c7c-4815-3015-bf95-1e4db4959a2e,"Sodium hypochlorite, 15% in H2O, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product
15,7509b8fa-8b80-4e74-aa02-0555088add91,Process water (cut-off),Z1: Background,,113ceccf-60f5-32ee-952a-39d70ecb38c6,"Water, process",Technosphere flows/CUTOFF Flows,kg,product
16,a31afbfe-8689-48ef-b8d3-7f567862fa21,"Polypropylene, PP, virgin resin, non-food bottle grade",Z2: Packaging Economy/A3: Polymers,,d0477b6a-115f-350d-bbb4-7f62243e3476,"Polypropylene, PP, virgin resin, at plant","Technosphere flows/31-33: Manufacturing/3252: Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",kg,product
17,063f4c92-8583-49bf-9d5e-ca6795b52ece,"Solid waste treatment, sanitary landfill (cut-off)",Z1: Background,,b6b68953-2753-4660-b084-44d07e1bde58,"Disposal, solid waste to sanitary landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste
