index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
0,true,73c55a19-ecdc-3918-8dcb-8e6f7f1bf9bd,Other basic organic chemicals,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,USD,product,,,
1,true,21b680dd-c1f7-3f23-a1f6-5d21826b609e,Other basic inorganic chemicals,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,USD,product,,,
2,true,50a0d929-36b0-3e1e-b44f-76b9ce75988c,Solid waste landfilling,Technosphere flows/56: Administrative and Support and Waste Management and Remediation Services/5622: Waste Treatment and Disposal,USD,product,,,
3,true,bf8686ae-c7db-3a2d-aa68-834c42aa6c10,Other nonresidential structures,Technosphere flows/23: Construction/2362: Nonresidential Building Construction,USD,product,,,
4,true,954c1b67-38a3-34e4-b2e5-3cad9eda6627,Ready-mix concrete,Technosphere flows/31-33: Manufacturing/3273: Cement and Concrete Product Manufacturing,USD,product,,,
5,true,eebfbb7a-3b71-3a98-9907-b38a49a6f756,Clay and ceramic products,Technosphere flows/31-33: Manufacturing/3271: Clay Product and Refractory Manufacturing,USD,product,,,
6,true,b9605c43-5ba8-3edb-8a05-5df2ac9d05bb,"Sand, gravel, clay, phosphate, other nonmetallic minerals","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",USD,product,,,
7,true,583bfc0a-5269-3196-bda3-41809ae1d4a5,Construction machinery,"Technosphere flows/31-33: Manufacturing/3331: Agriculture, Construction, and Mining Machinery Manufacturing",USD,product,,,
8,true,f27b71ac-d4aa-3fae-9544-203037df3a67,"Copper, gold and silver concentrates",Technosphere flows/31-33: Manufacturing/3314: Nonferrous Metal (except Aluminum) Production and Processing,USD,product,,,
9,false,03693fb0-a5af-31a1-97a0-0ea691142d41,Sulfamethoxazole,Elementary flows/emission/ground,kg,elementary,,,
10,false,230ba5f8-952d-3149-8aab-3f0775cf3714,Chromium(III),Elementary flows/emission/ground,kg,elementary,,,
11,false,e27c743e-5c58-368b-8e34-3ed14e22204d,2-(4-chlorophenoxy)-2-methylpropanoic acid,Elementary flows/emission/ground,kg,elementary,,,
12,false,fc58ffbc-611b-32e7-8f39-05c03adca463,Estrone,Elementary flows/emission/ground,kg,elementary,,,
13,false,2fcab589-5082-352f-a334-dca1b13f4c23,"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",Elementary flows/emission/ground,kg,elementary,,,
14,false,4a53bf56-8b19-3e0b-b1d6-62baeffa84b1,Tris(2-chloroethyl) phosphate,Elementary flows/emission/ground,kg,elementary,,,
15,false,cda864bc-6be5-3d8e-9612-1e67ca303b3e,"N,N-Diethyl-m-toluamide",Elementary flows/emission/ground,kg,elementary,,,
16,false,5f14eca3-d275-3e16-ad4b-196b497db71b,"(3R,5R)-7-[2-(4-fluorophenyl)-4-[(2-hydroxyphenyl)carbamoyl]-3-phenyl-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",Elementary flows/emission/ground,kg,elementary,,,
17,false,aab83476-ec6c-3742-af85-15d320b7ce80,Methane,Elementary flows/emission/air,kg,elementary,,,
18,false,a7cfafd1-9f72-3032-a73e-2f27aabe2dfd,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,Elementary flows/emission/ground,kg,elementary,,,
19,false,8dc131b3-0bc6-3bf2-b840-04a967065886,[2-(carbamoyloxymethyl)-2-methylpentyl] carbamate,Elementary flows/emission/ground,kg,elementary,,,
20,false,53f94d64-97d8-3b6b-be56-1f2c77b3727d,Diclofenac,Elementary flows/emission/ground,kg,elementary,,,
21,false,b056350f-5990-35d9-92f7-e72f9f67aa3b,Di-n-octyl phthalate,Elementary flows/emission/ground,kg,elementary,,,
22,false,c07513e0-da07-3572-8fba-b1f722e87a94,3-[bis(2-carboxyethyl)phosphanyl]propanoic acid,Elementary flows/emission/ground,kg,elementary,,,
23,false,5b817c0c-b187-3a20-8c63-d51522daaa77,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",Elementary flows/emission/ground,kg,elementary,,,
24,false,0e63906d-fa11-39b4-9347-7056a43bfe6a,"(3R,5R)-7-[2-(4-fluorophenyl)-4-[(4-hydroxyphenyl)carbamoyl]-3-phenyl-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",Elementary flows/emission/ground,kg,elementary,,,
