Scenario,Year,Value
SSP1,2025,7.0
SSP1,2026,6.72
SSP1,2027,6.4399999999999995
SSP1,2028,6.16
SSP1,2029,5.88
SSP1,2030,5.6
SSP1,2031,5.32
SSP1,2032,5.04
SSP1,2033,4.76
SSP1,2034,4.4799999999999995
SSP1,2035,4.199999999999999
SSP1,2036,3.92
SSP1,2037,3.6399999999999997
SSP1,2038,3.3599999999999994
SSP1,2039,3.0799999999999996
SSP1,2040,2.8
SSP1,2041,2.5199999999999996
SSP1,2042,2.2399999999999993
SSP1,2043,1.959999999999999
SSP1,2044,1.6799999999999997
SSP1,2045,1.3999999999999995
SSP1,2046,1.1199999999999992
SSP1,2047,0.8399999999999999
SSP1,2048,0.5599999999999996
SSP1,2049,0.27999999999999936
SSP1,2050,0.0
SSP1,2051,-0.08
SSP1,2052,-0.16
SSP1,2053,-0.24
SSP1,2054,-0.32
SSP1,2055,-0.4
SSP1,2056,-0.48
SSP1,2057,-0.56
SSP1,2058,-0.64
SSP1,2059,-0.72
SSP1,2060,-0.8
SSP1,2061,-0.88
SSP1,2062,-0.96
SSP1,2063,-1.04
SSP1,2064,-1.12
SSP1,2065,-1.2
SSP1,2066,-1.28
SSP1,2067,-1.36
SSP1,2068,-1.44
SSP1,2069,-1.52
SSP1,2070,-1.6
SSP1,2071,-1.68
SSP1,2072,-1.76
SSP1,2073,-1.84
SSP1,2074,-1.92
SSP1,2075,-2.0
SSP1,2076,-2.02
SSP1,2077,-2.04
SSP1,2078,-2.06
SSP1,2079,-2.08
SSP1,2080,-2.1
SSP1,2081,-2.12
SSP1,2082,-2.14
SSP1,2083,-2.16
SSP1,2084,-2.18
SSP1,2085,-2.2
SSP1,2086,-2.22
SSP1,2087,-2.24
SSP1,2088,-2.26
SSP1,2089,-2.2800000000000002
SSP1,2090,-2.3
SSP1,2091,-2.32
SSP1,2092,-2.34
SSP1,2093,-2.36
SSP1,2094,-2.38
SSP1,2095,-2.4
SSP1,2096,-2.42
SSP1,2097,-2.44
SSP1,2098,-2.46
SSP1,2099,-2.48
SSP1,2100,-2.5
SSP2,2025,6.0
SSP2,2026,5.96
SSP2,2027,5.92
SSP2,2028,5.88
SSP2,2029,5.84
SSP2,2030,5.8
