Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
Ethylene,Ethylene,output,,,,,,,,,,,,,,,,,,,,,,,
Ethylene,"Ethylene production, from bio-ethanol dehydration",input,,,,,,,,,,,,,,,,,,,,,,,
Ethylene,"Ethylene production, fossil, steam cracker",input,,,,,,,,,,,,,,,,,,,,,,,
Ethylene dichloride-vinyl chloride,Ethylene dichloride-vinyl chloride,output,,,,,,,,,,,,,,,,,,,,,,,
Ethylene dichloride-vinyl chloride,"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; from fossil ethylene",input,,,,,,,,,,,,,,,,,,,,,,,
Ethylene dichloride-vinyl chloride,"Ethylene dichloride-vinyl chloride monomer, EDC-VCM; from bio-ethylene",input,,,,,,,,,,,,,,,,,,,,,,,
Ethylene glycol,Ethylene glycol,output,,,,,,,,,,,,,,,,,,,,,,,
Ethylene glycol,"Ethylene glycol, hydration of bio-ethanol",input,,,,,,,,,,,,,,,,,,,,,,,
Ethylene glycol,"Ethylene glycol, fossil",input,,,,,,,,,,,,,,,,,,,,,,,
Propylene,Propylene,output,,,,,,,,,,,,,,,,,,,,,,,Propylene
Propylene,"Propylene production, ethanol dehydration and metathesis",input,,,,,,,,,,,,,,,,,,,,,,,
Propylene,"Propylene production, fossil, steam cracker",input,,,,,,,,,,,,,,,,,,,,,,,
PTA,PTA,output,,,,,,,,,,,,,,,,,,,,,,,
PTA,"PTA Production, from cyclohexa",input,,,,,,,,,,,,,,,,,,,,,,,
PTA,"Purified terephthalic acid, PTA, fossil",input,,,,,,,,,,,,,,,,,,,,,,,
Styrene,Styrene,output,,,,,,,,,,,,,,,,,,,,,,,
Styrene,"Styrene production, fossil",input,,,,,,,,,,,,,,,,,,,,,,,
Styrene,"Styrene production, corn stover",input,,,,,,,,,,,,,,,,,,,,,,,
Fermentation CO2,Fermentation CO2,input,,,,,,,,,,,,,,,,,,,,,,,
Fermentation CO2,Fermentation CO2 to the atmosphere,output,,,,,,,,,,,,,,,,,,,,,,,
Fermentation CO2,Fermentation CO2 Capture,output,,,,,,,,,,,,,,,,,,,,,,,
Plastic Incineration CO2,Plastic Incineration CO2,input,,,,,,,,,,,,,,,,,,,,,,,
Plastic Incineration CO2,Plastic Incineration CO2 Capture,output,,,,,,,,,,,,,,,,,,,,,,,
Plastic Incineration CO2,Plastic Incineration CO2 to the atmosphere,output,,,,,,,,,,,,,,,,,,,,,,,
Steam Cracker CO2,Steam Cracker CO2,input,,,,,,,,,,,,,,,,,,,,,,,
Steam Cracker CO2,Steam Cracker CO2 Capture,output,,,,,,,,,,,,,,,,,,,,,,,
Steam Cracker CO2,Steam Cracker CO2 to the atmosphere,output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, HDPE","Microplastics, HDPE",input,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, HDPE","Microplastics, HDPE, Filtration",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, HDPE","Microplastics, HDPE, Marine Environment",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, LDPE","Microplastics, LDPE",input,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, LDPE","Microplastics, LDPE, Filtration",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, LDPE","Microplastics, LDPE, Marine Environment",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, multimaterial food bottles","Microplastics, multimaterial food bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, multimaterial food bottles","Microplastics, multimaterial food bottles, Filtration",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, multimaterial food bottles","Microplastics, multimaterial food bottles, Marine Environment",output,,,,,,,,,,,,,,,,,,,,,,,
