Year,Packaging_Plastic_kg
2025,220000000000.0
2026,228000000000.0
2027,236000000000.0
2028,244000000000.0
2029,252000000000.0
2030,260000000000.0
2031,274000000000.0
2032,288000000000.0
2033,302000000000.0
2034,316000000000.0
2035,330000000000.0
2036,344000000000.0
2037,358000000000.0
2038,372000000000.0
2039,386000000000.0
2040,400000000000.0
2041,420000000000.0
2042,440000000000.0
2043,460000000000.0
2044,480000000000.0
2045,500000000000.0
2046,520000000000.0
2047,540000000000.0
2048,560000000000.0
2049,580000000000.0
2050,600000000000.0
2051,620000000000.0
2052,640000000000.0
2053,660000000000.0
2054,680000000000.0
2055,700000000000.0
2056,720000000000.0
2057,740000000000.0
2058,760000000000.0
2059,780000000000.0
2060,800000000000.0
2061,810000000000.0
2062,820000000000.0
2063,830000000000.0
2064,840000000000.0
2065,850000000000.0
2066,860000000000.0
2067,870000000000.0
2068,880000000000.0
2069,890000000000.0
2070,900000000000.0
2071,907000000000.0
2072,914000000000.0
2073,921000000000.0
2074,928000000000.0
2075,935000000000.0
2076,942000000000.0
2077,949000000000.0
2078,956000000000.0
2079,963000000000.0
2080,970000000000.0
2081,975000000000.0
2082,980000000000.0
2083,985000000000.0
2084,990000000000.0
2085,995000000000.0
2086,1000000000000.0
2087,1005000000000.0
2088,1010000000000.0
2089,1015000000000.0
2090,1020000000000.0
2091,1023000000000.0
2092,1026000000000.0
2093,1029000000000.0
2094,1032000000000.0
2095,1035000000000.0
2096,1038000000000.0
2097,1041000000000.0
2098,1044000000000.0
2099,1047000000000.0
2100,1050000000000.0
