provider ID,provider name,flow ID,flow name,flow unit,flow type
84008d58-09de-44eb-b6fc-556d671e18ac,Use & Collection,62f214a9-e781-47ea-8d20-c2b9d7617bae,packaging use,kg,product
a6f27abc-a259-4bf7-a968-849fc8bffe36,"Reclaiming, sorted mixed plastics, PVC Other Food Rigid",894fde88-22cc-4d9e-8e13-bffee40e240e,"sorted mixed plastics, PVC Other Food Rigid",kg,waste
a31afbfe-8689-48ef-b8d3-7f567862fa21,"Polypropylene, PP, virgin resin, non-food bottle grade",d0477b6a-115f-350d-bbb4-7f62243e3476,"Polypropylene, PP, virgin resin, at plant",kg,product
5b259c03-5126-4131-a797-e09e724dc492,Plastic Incineration CO2 Capture,229111f4-2107-408d-9fb4-d10f0d62db55,plastic incineration CO2,kg,waste
7e743818-c332-41ac-8688-70df65139011,Plastic Incineration CO2 to the atmosphere,229111f4-2107-408d-9fb4-d10f0d62db55,plastic incineration CO2,kg,waste
9beebc6b-d1a1-4a1d-8767-fc95f79cb593,"Reclaiming, sorted mixed plastics, PET Other Non-food Rigid",a50fa6d7-f28d-471f-bcb3-09658ae32c49,"sorted mixed plastics, PET Other Non-food Rigid",kg,waste
1aaaa135-c0c8-4d9f-8db0-3a8f8b362228,"Microplastics, PP, Marine Environment",e15944ad-614d-4d2a-b755-e33b6e6fdf6b,"Microplastics, PP",kg,waste
3dbccdda-2014-4239-ad1f-4e15c034942b,"Polyvinyl chloride resin, suspension grade PVC; non-food grade",2bb0cd6b-941b-38da-856c-1b7bd0cc5f49,"Polyvinyl chloride resin, suspension grade PVC; at plant",kg,product
1eb8adfd-3a6d-403a-8be7-38720c93c7dc,"Microplastics, PP, Filtration",e15944ad-614d-4d2a-b755-e33b6e6fdf6b,"Microplastics, PP",kg,waste
51a19473-08cf-4a51-a45f-e999e26eb887,"Incineration, multi-material food packaging film",34e58e66-a015-4c3c-ac1a-d6475e4ab736,"Incineration, multi-material food packaging film",kg,waste
94b1ba5a-8c2a-4363-ba22-cf9f32555cdd,"Landfill, Sanitary (Controlled) - mixed plastic waste",8abedbc1-c13d-429c-a46f-bdc079fc6790,mixed waste to landfill,kg,waste
332a5f52-0504-48e8-8f88-5e5b7d2b9571,"Open Burning, multi-material food packaging film",d3d88443-a5e0-4252-8119-a53566e99a91,"Open Burning, multi-material food packaging film",kg,waste
7d718aa8-7af9-48cf-901a-0bfaf5749ea1,"Disposal, HDPE Other Food Rigid",18a0fe20-82b0-431d-9eed-f59409bf7fd6,"Disposal, HDPE Other Food Rigid",kg,waste
0c7f8e64-e791-4a1f-a065-5f31b2a138a9,"Reclaiming, Sorted HDPE Other Food Rigid",964afc9c-9ec8-48b3-b5c5-60208f96b68d,Sorted HDPE Other Food Rigid,kg,waste
