Recycling Process,Substitutable Virgin Process,S1 - no limit,S1 - Substitution rate
"Mechanical Recycling, HDPE Drinking Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food bottle grade",0,0
"Mechanical Recycling, HDPE Drinking Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",0,0
"Mechanical Recycling, HDPE Drinking Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",0,0
"Mechanical Recycling, HDPE Drinking Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food bottle grade",1,1
"Mechanical Recycling, HDPE Food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food bottle grade",0,0
"Mechanical Recycling, HDPE Food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",0,0
"Mechanical Recycling, HDPE Food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",0,0
"Mechanical Recycling, HDPE Food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food bottle grade",1,1
"Mechanical Recycling, HDPE Non-food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food bottle grade",1,1
"Mechanical Recycling, HDPE Non-food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",0,0
"Mechanical Recycling, HDPE Non-food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",0,0
"Mechanical Recycling, HDPE Non-food Bottles (Flakes)","Polyethylene, high density, HDPE, virgin resin, food bottle grade",0,0
"Mechanical Recycling, HDPE Other Food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food bottle grade",0,0
"Mechanical Recycling, HDPE Other Food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",0,0
"Mechanical Recycling, HDPE Other Food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",1,1
"Mechanical Recycling, HDPE Other Food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, food bottle grade",0,0
"Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food bottle grade",0,0
"Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, non-food non-bottle grade",1,1
"Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, food non-bottle grade",0,0
"Mechanical Recycling, HDPE Other Non-food Rigid (Flakes)","Polyethylene, high density, HDPE, virgin resin, food bottle grade",0,0
"Mechanical Recycling, LDPE Food Packaging Film (med-large format) (Flakes)","Polyethylene, low-density, LDPE, virgin resin, non-food grade",0,0
"Mechanical Recycling, LDPE Food Packaging Film (med-large format) (Flakes)","Polyethylene, low-density, LDPE, virgin resin, food grade",1,1
"Mechanical Recycling, LDPE Food Packaging Film (small format) (Flakes)","Polyethylene, low-density, LDPE, virgin resin, non-food grade",0,0
