Year,Biomass,Fossil,Sum
2025,0.0,1.0,1.0
2026,0.0,1.0,1.0
2027,0.0,1.0,1.0
2028,0.0,1.0,1.0
2029,0.0,1.0,1.0
2030,0.0,1.0,1.0
2031,0.0,1.0,1.0
2032,0.01,0.99,1.0
2033,0.01,0.99,1.0
2034,0.01,0.99,1.0
2035,0.01,0.99,1.0
2036,0.01,0.99,1.0
2037,0.02,0.98,1.0
2038,0.02,0.98,1.0
2039,0.02,0.98,1.0
2040,0.02,0.98,1.0
2041,0.03,0.97,1.0
2042,0.03,0.97,1.0
2043,0.03,0.97,1.0
2044,0.04,0.96,1.0
2045,0.04,0.96,1.0
2046,0.05,0.95,1.0
2047,0.05,0.95,1.0
2048,0.05,0.95,1.0
2049,0.05,0.95,1.0
2050,0.06,0.94,1.0
2051,0.06,0.94,1.0
2052,0.06,0.94,1.0
2053,0.07,0.93,1.0
2054,0.07,0.93,1.0
2055,0.07,0.93,1.0
2056,0.08,0.92,1.0
2057,0.08,0.92,1.0
2058,0.08,0.92,1.0
2059,0.09,0.91,1.0
2060,0.09,0.91,1.0
2061,0.09,0.91,1.0
2062,0.09,0.91,1.0
2063,0.08,0.92,1.0
2064,0.08,0.92,1.0
2065,0.08,0.92,1.0
2066,0.08,0.92,1.0
2067,0.08,0.92,1.0
2068,0.08,0.92,1.0
2069,0.08,0.92,1.0
2070,0.08,0.92,1.0
2071,0.08,0.92,1.0
2072,0.07,0.93,1.0
2073,0.07,0.93,1.0
2074,0.07,0.93,1.0
2075,0.07,0.93,1.0
2076,0.07,0.93,1.0
2077,0.07,0.93,1.0
2078,0.07,0.93,1.0
2079,0.07,0.93,1.0
2080,0.07,0.93,1.0
2081,0.07,0.93,1.0
2082,0.08,0.92,1.0
2083,0.08,0.92,1.0
2084,0.08,0.92,1.0
2085,0.08,0.92,1.0
2086,0.09,0.91,1.0
2087,0.09,0.91,1.0
2088,0.09,0.91,1.0
2089,0.09,0.91,1.0
2090,0.1,0.9,1.0
2091,0.1,0.9,1.0
2092,0.11,0.89,1.0
2093,0.11,0.89,1.0
2094,0.12,0.88,1.0
2095,0.12,0.88,1.0
2096,0.13,0.87,1.0
2097,0.13,0.87,1.0
2098,0.14,0.86,1.0
2099,0.14,0.86,1.0
2100,0.15,0.85,1.0
