Year,Oil,NaturalGas,Sum
2025,0.86,0.14,1.0
2026,0.85,0.15,1.0
2027,0.85,0.15,1.0
2028,0.85,0.15,1.0
2029,0.84,0.16,1.0
2030,0.84,0.16,1.0
2031,0.84,0.16,1.0
2032,0.84,0.16,1.0
2033,0.84,0.16,1.0
2034,0.84,0.16,1.0
2035,0.84,0.16,1.0
2036,0.84,0.16,1.0
2037,0.85,0.15,1.0
2038,0.85,0.15,1.0
2039,0.85,0.15,1.0
2040,0.85,0.15,1.0
2041,0.84,0.16,1.0
2042,0.84,0.16,1.0
2043,0.83,0.17,1.0
2044,0.83,0.17,1.0
2045,0.82,0.18,1.0
2046,0.82,0.18,1.0
2047,0.82,0.18,1.0
2048,0.81,0.19,1.0
2049,0.81,0.19,1.0
2050,0.81,0.19,1.0
2051,0.8,0.2,1.0
2052,0.79,0.21,1.0
2053,0.78,0.22,1.0
2054,0.77,0.22,0.99
2055,0.77,0.23,1.0
2056,0.76,0.24,1.0
2057,0.75,0.25,1.0
2058,0.75,0.25,1.0
2059,0.74,0.26,1.0
2060,0.74,0.26,1.0
2061,0.73,0.27,1.0
2062,0.72,0.28,1.0
2063,0.71,0.29,1.0
2064,0.7,0.3,1.0
2065,0.7,0.3,1.0
2066,0.69,0.31,1.0
2067,0.68,0.32,1.0
2068,0.68,0.32,1.0
2069,0.67,0.33,1.0
2070,0.67,0.33,1.0
2071,0.66,0.34,1.0
2072,0.66,0.34,1.0
2073,0.66,0.34,1.0
2074,0.65,0.35,1.0
2075,0.65,0.35,1.0
2076,0.65,0.35,1.0
2077,0.65,0.35,1.0
2078,0.65,0.35,1.0
2079,0.64,0.36,1.0
2080,0.64,0.36,1.0
2081,0.64,0.36,1.0
2082,0.63,0.37,1.0
2083,0.63,0.37,1.0
2084,0.63,0.37,1.0
2085,0.62,0.38,1.0
2086,0.62,0.38,1.0
2087,0.62,0.38,1.0
2088,0.61,0.39,1.0
2089,0.61,0.39,1.0
2090,0.61,0.39,1.0
2091,0.59,0.41,1.0
2092,0.57,0.43,1.0
2093,0.56,0.44,1.0
2094,0.54,0.46,1.0
2095,0.52,0.48,1.0
2096,0.5,0.5,1.0
2097,0.48,0.52,1.0
2098,0.47,0.53,1.0
2099,0.45,0.55,1.0
2100,0.43,0.57,1.0
