Year,Oil,Natural Gas,Sum
2025,0.86,0.14,1
2026,0.85,0.15,1
2027,0.85,0.15,1
2028,0.85,0.15,1
2029,0.84,0.16,1
2030,0.84,0.16,1
2031,0.84,0.16,1
2032,0.84,0.16,1
2033,0.84,0.16,1
2034,0.84,0.16,1
2035,0.84,0.16,1
2036,0.84,0.16,1
2037,0.85,0.15,1
2038,0.85,0.15,1
2039,0.85,0.15,1
2040,0.85,0.15,1
2041,0.84,0.16,1
2042,0.84,0.16,1
2043,0.83,0.17,1
2044,0.83,0.17,1
2045,0.82,0.18,1
2046,0.82,0.18,1
2047,0.82,0.18,1
2048,0.81,0.19,1
2049,0.81,0.19,1
2050,0.81,0.19,1
2051,0.8,0.2,1
2052,0.79,0.21,1
2053,0.78,0.22,1
2054,0.77,0.22,0.99
2055,0.77,0.23,1
2056,0.76,0.24,1
2057,0.75,0.25,1
2058,0.75,0.25,1
2059,0.74,0.26,1
2060,0.74,0.26,1
2061,0.73,0.27,1
2062,0.72,0.28,1
2063,0.71,0.29,1
2064,0.7,0.3,1
2065,0.7,0.3,1
2066,0.69,0.31,1
2067,0.68,0.32,1
2068,0.68,0.32,1
2069,0.67,0.33,1
2070,0.67,0.33,1
2071,0.66,0.34,1
2072,0.66,0.34,1
2073,0.66,0.34,1
2074,0.65,0.35,1
2075,0.65,0.35,1
2076,0.65,0.35,1
2077,0.65,0.35,1
2078,0.65,0.35,1
2079,0.64,0.36,1
2080,0.64,0.36,1
2081,0.64,0.36,1
2082,0.63,0.37,1
2083,0.63,0.37,1
2084,0.63,0.37,1
2085,0.62,0.38,1
2086,0.62,0.38,1
2087,0.62,0.38,1
2088,0.61,0.39,1
2089,0.61,0.39,1
2090,0.61,0.39,1
2091,0.59,0.41,1
2092,0.57,0.43,1
2093,0.56,0.44,1
2094,0.54,0.46,1
2095,0.52,0.48,1
2096,0.5,0.5,1
2097,0.48,0.52,1
2098,0.47,0.53,1
2099,0.45,0.55,1
2100,0.43,0.57,1
