Year,Oil (Mt),Natural Gas (Mt),Biomass (Mt)
2000,0.0,0.0,0.0
2010,227.22772277227722,26.73267326732673,0.0
2020,311.8811881188119,44.554455445544555,0.0
2030,374.25742574257424,71.2871287128713,0.0
2040,516.8316831683169,93.56435643564356,13.366336633663366
2050,654.950495049505,155.94059405940595,49.00990099009901
2060,744.059405940594,267.3267326732673,98.01980198019803
2070,833.1683168316831,418.81188118811883,102.47524752475248
2080,913.3663366336634,512.3762376237623,111.38613861386139
2090,895.5445544554456,579.2079207920792,155.94059405940595
2100,565.8415841584158,761.8811881188119,227.22772277227722
