year,packaging_demand_kg,g_total
2025,220000000000.0,-6.759849536638412e+19
2026,228000000000.0,-6.966298990510329e+19
2027,236000000000.0,-7.170012068276497e+19
2028,244000000000.0,-7.370984908379305e+19
2029,252000000000.0,-7.569175634949408e+19
2030,260000000000.0,-7.76462926087427e+19
2031,274000000000.0,-8.162211801619384e+19
2032,288000000000.0,-8.557690115530437e+19
2033,302000000000.0,-8.95107986083248e+19
2034,316000000000.0,-9.342330730995832e+19
2035,330000000000.0,-9.73155239668024e+19
2036,344000000000.0,-1.0118605145076325e+20
2037,358000000000.0,-1.050361983730726e+20
2038,372000000000.0,-1.0886502998666304e+20
2039,386000000000.0,-1.1267313686424252e+20
2040,400000000000.0,-1.1646058692992157e+20
2041,420000000000.0,-1.2216523229968766e+20
2042,440000000000.0,-1.2785936751472335e+20
2043,460000000000.0,-1.3354213388239148e+20
2044,480000000000.0,-1.3921377579321701e+20
2045,500000000000.0,-1.4487339944573898e+20
2046,520000000000.0,-1.505218657915648e+20
2047,540000000000.0,-1.561605406147707e+20
2048,560000000000.0,-1.617864184468619e+20
2049,580000000000.0,-1.6740193833481925e+20
2050,600000000000.0,-1.730062485481983e+20
2051,620000000000.0,-1.7895597880282618e+20
2052,640000000000.0,-1.849184675215344e+20
2053,660000000000.0,-1.9089078092199412e+20
2054,680000000000.0,-1.9687632722585253e+20
2055,700000000000.0,-2.0287428055720988e+20
2056,720000000000.0,-2.0888303691989608e+20
2057,740000000000.0,-2.1490344431620388e+20
2058,760000000000.0,-2.2093588328131274e+20
2059,780000000000.0,-2.269805185249469e+20
2060,800000000000.0,-2.3303764391587283e+20
2061,810000000000.0,-2.3630389048312657e+20
2062,820000000000.0,-2.3958121795498928e+20
2063,830000000000.0,-2.42866344144223e+20
2064,840000000000.0,-2.4615910267514542e+20
2065,850000000000.0,-2.4946320456130868e+20
2066,860000000000.0,-2.527731489766083e+20
2067,870000000000.0,-2.5609359672151707e+20
2068,880000000000.0,-2.594232260852415e+20
2069,890000000000.0,-2.6275970029265296e+20
2070,900000000000.0,-2.6610738806436076e+20
2071,907000000000.0,-2.686076101048023e+20
2072,914000000000.0,-2.7111382635155816e+20
2073,921000000000.0,-2.7362711623837657e+20
2074,928000000000.0,-2.7614734249659974e+20
2075,935000000000.0,-2.7867476471946235e+20
2076,942000000000.0,-2.8120831186078053e+20
2077,949000000000.0,-2.837484811226594e+20
2078,956000000000.0,-2.862957433969719e+20
2079,963000000000.0,-2.888492077222271e+20
2080,970000000000.0,-2.914090105811555e+20
2081,975000000000.0,-2.933077390850538e+20
2082,980000000000.0,-2.952129394113077e+20
2083,985000000000.0,-2.971181038082075e+20
2084,990000000000.0,-2.99031194916641e+20
2085,995000000000.0,-3.009447928522159e+20
2086,1000000000000.0,-3.028660062388314e+20
2087,1005000000000.0,-3.0479054949493375e+20
2088,1010000000000.0,-3.067171437227695e+20
2089,1015000000000.0,-3.086497667424543e+20
2090,1020000000000.0,-3.105859059487214e+20
2091,1023000000000.0,-3.114453741953726e+20
2092,1026000000000.0,-3.12305982918066e+20
2093,1029000000000.0,-3.1316620695863316e+20
2094,1032000000000.0,-3.140246987158111e+20
2095,1035000000000.0,-3.1488430173524047e+20
2096,1038000000000.0,-3.157437131217586e+20
2097,1041000000000.0,-3.166012572018714e+20
2098,1044000000000.0,-3.174599291224384e+20
2099,1047000000000.0,-3.1831685054698743e+20
2100,1050000000000.0,-3.1917522539229997e+20
