Year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-rigid-large,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro PET-rigid-large,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small
2025,586316562.421691,3133187863.1656055,375806595.40039,360326012.93735373,90766091.8196494,898973778.196494,321244575.641605,1160019271.0895777,789335484.149674,116141076.257305,112955466.7270124,663913273.90696,76757406.92565
2030,692919573.7710893,3702858383.7411704,444135067.29137003,425839833.471418,107269017.6050402,1062423556.0504019,379652680.303715,1370931865.8331373,932851026.722342,137257635.576815,133492824.31374192,784624778.25368,90713299.09395
2035,879474843.6325364,4699781794.748408,563709893.1005851,540489019.4060307,136149137.7294741,1348460667.294741,481866863.46240747,1740028906.6343663,1184003226.2245111,174211614.3859575,169433200.0905186,995869910.86044,115136110.388475
2040,1066030113.4939836,5696705205.755647,683284718.9098,655138205.3406432,165029257.853908,1634497778.5390801,584081046.6211,2109125947.4355958,1435155425.7266803,211165593.1951,205373575.86729527,1207115043.4672,139558921.683
2045,1332537641.8674793,7120881507.194558,854105898.6372501,818922756.6758039,206286572.31738502,2043122223.17385,730101308.276375,2636407434.2944946,1793944282.15835,263956991.49387503,256716969.83411908,1508893804.334,174448652.10375
2050,1599045170.2409754,8545057808.63347,1024927078.3647001,982707308.0109648,247543886.78086197,2451746667.80862,876121569.9316499,3163688921.1533937,2152733138.59002,316748389.79265,308060363.8009429,1810672565.2008,209338382.5245
2055,1231700576.3655913,7073482196.99207,1195748258.0921502,821076686.3357266,207405720.16532233,2860371112.44339,731443684.8761512,2379617453.0248213,1607541831.7097967,248971741.59617788,244620456.83540928,1495856741.6333947,244228112.94525
2060,1407657801.5606759,8083979653.705223,1366569437.8196,938373355.8122588,237035108.7603684,3268995557.0781603,835935639.8584585,2719562803.4569387,1837190664.8111963,284539133.2527747,279566236.3833249,1709550561.866737,279117843.366
2065,1495636414.1582181,8589228382.0618,1451980027.6833253,997021690.5505251,251849803.05789143,3473307779.395545,888181617.3496122,2889535478.672997,1952015081.361896,302322829.08107316,297039126.1572827,1816397471.983408,296562708.576375
2070,1583615026.7557602,9094477110.418377,1537390617.54705,1055670025.2887913,266664497.35541445,3677620001.7129297,940427594.8407658,3059508153.8890557,2066839497.9125957,320106524.90937155,314512015.9312405,1923244382.100079,314007573.78675
2075,1645200055.5740397,9448151220.26798,1597178030.4516578,1096723859.6055775,277034783.36368054,3820638557.335099,976999779.0845734,3178489026.540297,2147216589.4980855,332555111.98918045,326743038.77301097,1998037219.1817486,326218979.43401253
2080,1706785084.3923192,9801825330.117584,1656965443.356265,1137777693.922364,287405069.3719467,3963657112.9572687,1013571963.3283811,3297469899.191538,2227593681.0835752,345003699.0689894,338974061.6147814,2072830056.2634184,338430385.081275
2085,1750774390.6910906,10054449694.295872,1699670738.2881277,1167101861.291497,294812416.5207082,4065813224.115961,1039694952.0739578,3382456236.799567,2285005889.3589253,353895546.98313856,347710506.50176036,2126253511.321754,347152817.6864625
2090,1794763696.9898617,10307074058.47416,1742376033.21999,1196426028.6606302,302219763.6694697,4167969335.274654,1065817940.8195347,3467442574.4075966,2342418097.634275,362787394.8972878,356446951.3887392,2179676966.3800898,355875250.29165
2095,1821157280.7691243,10458648676.981133,1767999210.1791077,1214020529.08211,306664171.95872664,4229263001.9698696,1081491734.0668807,3518434376.972414,2376865422.599485,368122503.6457773,361688818.32092655,2211731039.4150906,361108709.85476255
2100,1847550864.5483868,10610223295.488106,1793622387.138225,1231615029.5035899,311108580.2479835,4290556668.665085,1097165527.3142269,3569426179.537232,2411312747.5646954,373457612.39426684,366930685.2531139,2243785112.4500923,366342169.41787505
