Year,Terrestrial Macro HDPE-rigid-large,Terrestrial Macro LDPE-flexible-large,Terrestrial Macro LDPE-flexible-small,Terrestrial Macro Multilayer-flexible-large (food packaging film),Terrestrial Macro Multilayer-flexible-small (food packaging film),Terrestrial Macro Multilayer-flexible-large (non-food packaging film),Terrestrial Macro PET-rigid-large,Terrestrial Macro PP-rigid-large,Terrestrial Macro PS-rigid-large,Terrestrial Macro PVC-rigid-large,Terrestrial Macro PP-flexible-large,Terrestrial Macro Multilayer-rigid-large,Terrestrial Macro PP-flexible-small
2025,1208329432.8833904,10836188548.676899,1425002956.4576302,453214065.222402,4488764110.22402,1604041302.93715,2390663201.866544,2508797085.5208797,239353111.2764,232787900.42534316,1521947621.32105,1129769498.0,183191954.0
2030,1428025693.4076433,12806404648.436337,1684094403.08629,535616622.535566,5304903039.3556595,1895685176.19845,2825329238.5695515,2964942010.1610403,282871858.7812,275112973.229951,1798665370.65215,1335182134.0,216499582.0
2035,1812494149.3250856,16254282823.01535,2137504434.686445,679821097.8336029,6733146165.336029,2406061954.405725,3585994802.799815,3763195628.28132,359029666.9146,349181850.63801473,2282921431.981575,1694654247.0000002,274787931.0
2040,2196962605.242528,19702160997.594364,2590914466.2866,824025573.13164,8161389291.3164,2916438732.613,4346660367.030079,4561449246.401601,435187475.048,423250728.04607844,2767177493.311,2054126360.0000002,333076280.0
2045,2746203256.5531597,24627701246.99295,3238643082.85825,1030031966.41455,10201736614.1455,3645548415.7662497,5433325458.7876,5701811558.002001,543984343.81,529063410.0575981,3458971866.63875,2567657950.0,416345350.0
2050,3295443907.8637924,29553241496.39154,3886371699.4299,1236038359.69746,12242083936.9746,4374658098.9195,6519990550.545118,6842173869.6024,652781212.572,634876092.0691177,4150766239.9665,3081189540.0000005,499614420.0
2055,2538389946.1244664,24463769882.7557,4534100316.00155,1035620091.4497833,14282431259.8037,3652251133.749226,4904111561.784963,3987035631.1719093,513101529.6047036,504133902.0324896,4842560613.2942505,3594721130.0000005,582883490.0
2060,2901017081.2851043,27958594151.7208,5181828932.5732,1183565818.7997522,16322778582.6328,4174001295.7134013,5604698927.754242,4556612149.910754,586401748.1196612,576153030.8942739,5534354986.622,4108252720.0000005,666152560.0
2065,3082330648.865423,29706006286.203346,5505693240.859025,1257538682.474737,17342952244.047348,4434876376.695489,5954992610.738882,4841400409.280176,623051857.37714,612162595.325166,5880252173.285875,4365018515.0,707787095.0
2070,3263644216.445742,31453418420.685898,5829557549.14485,1331511546.1497214,18363125905.4619,4695751457.677576,6305286293.723522,5126188668.649598,659701966.6346189,648172159.756058,6226149359.94975,4621784310.0,749421630.0
2075,3390563713.7519655,32676606914.823685,6056262564.944927,1383292550.7222106,19077247468.452084,4878364014.365038,6550491871.812771,5325540450.208194,685357043.1148541,673378854.8576825,6468277390.614463,4801520366.5,778565804.5
2080,3517483211.058189,33899795408.961468,6282967580.745005,1435073555.2946997,19791369031.44227,5060976571.052499,6795697449.902019,5524892231.7667885,711012119.5950893,698585549.959307,6710405421.279175,4981256423.0,807709979.0
2085,3608139994.848348,34773501476.20274,6444899734.8879175,1472059987.1321921,20301455862.149544,5191414111.543543,6970844291.394339,5667286361.451499,729337174.2238287,716590332.1747532,6883354014.611113,5109639320.5,828527246.5
2090,3698796778.6385083,35647207543.444016,6606831889.03083,1509046418.9696844,20811542692.85682,5321851652.034587,7145991132.886659,5809680491.13621,747662228.8525681,734595114.3901992,7056302607.94305,5238022218.0,849344514.0
2095,3753190848.9126034,36171431183.78878,6703991181.516578,1531238278.0721796,21117594791.281185,5400114176.329213,7251079237.782051,5895116968.947037,758657261.6298118,745397983.7194668,7160071763.942213,5315051956.5,861834874.5
2100,3807584919.186699,36695654824.133545,6801150474.002325,1553430137.174675,21423646889.70555,5478376700.623839,7356167342.6774435,5980553446.757864,769652294.4070554,756200853.0487344,7263840919.941375,5392081695.0,874325235.0
