year,MaP_stock_kg
2025,6160606634.610231
2026,12378790500.983845
2027,18654069422.189137
2028,24985960903.67638
2029,31373982731.115036
2030,37817653521.868835
2031,44484509777.483444
2032,51369533857.11534
2033,58467862274.02304
2034,65774780555.05377
2035,73285718283.78745
2036,80996244320.26741
2037,88902062190.54031
2038,96999005639.50746
2039,105283034340.85655
2040,113750229758.10014
2041,122564807695.57011
2042,131718541951.16055
2043,141203468465.1719
2044,151011876197.7742
2045,161136298348.66986
2046,171569503905.1258
2047,182304489505.1394
2048,193334471603.07532
2049,204652878925.6534
2050,216253345206.68616
2051,228129702189.46356
2052,240275972886.15314
2053,252686365084.03778
2054,265355265088.84518
2055,278277231695.835
2056,291446990379.7049
2057,304859427694.75134
2058,318509585877.0834
2059,332392657641.029
2060,346503981162.2016
2061,360559007665.71277
2062,374560917583.7953
2063,388512769610.1684
2064,402417505582.15875
2065,416277955153.7597
2066,430096840269.07263
2067,443876779445.1354
2068,457620291872.7137
2069,471329801343.2364
2070,485007640009.6691
2071,498572043716.4682
2072,512027441697.0544
2073,525378105945.7515
2074,538628157151.8391
2075,551781570392.6464
2076,564842180596.1283
2077,577813687782.8951
2078,590699662097.2045
2079,603503548636.0001
2080,616228672084.6688
2081,628822235652.9275
2082,641288849512.9869
2083,653632965614.3252
2084,665858883469.7559
2085,677970755713.5297
2086,689972593441.0968
2087,701868271339.7379
2088,713661532618.8523
2089,725355993748.2974
2090,736955149012.8145
2091,748406369375.3413
2092,759714430850.7849
2093,770883949264.0482
2094,781919385986.4844
2095,792825053451.0376
2096,803605120455.2458
2097,814263617260.884
2098,824804440498.6337
2099,835231357885.8013
2100,845548012764.7535
