year,MaP_stock_kg
2025,8593376627.236828
2026,17268015566.51873
2027,26023240186.68743
2028,34858373598.75541
2029,43772739477.80079
2030,52765662820.879295
2031,62070835461.92048
2032,71681280966.71985
2033,81590237010.0391
2034,91791148239.47592
2035,102277659394.13591
2036,113043608668.30345
2037,124083021310.71498
2038,135390103450.42451
2039,146959236140.62305
2040,158784969612.12708
2041,171096382545.6974
2042,183882040975.0295
2043,197130874911.66833
2044,210832165686.23746
2045,224975533764.20825
2046,239550927017.03906
2047,254548609430.34668
2048,269959150231.55615
2049,285773413420.2341
2050,301982547685.0261
2051,318577976691.8102
2052,335551389728.3287
2053,352894732691.1942
2054,370600199401.7578
2055,388660223237.9036
2056,407067469069.3767
2057,425814825484.77496
2058,444895397298.83167
2059,464302498329.09564
2060,484029644431.5659
2061,503679938756.76385
2062,523257791517.5514
2063,542767444095.2248
2064,562212975806.0637
2065,581598310378.2949
2066,600927222152.5446
2067,620203342018.2443
2068,639430163097.8733
2069,658611046190.3541
2070,677749224984.4016
2071,696730628643.5587
2072,715561404462.9984
2073,734247481558.166
2074,752794579093.4733
2075,771208214177.0739
2076,789493709436.1863
2077,807656200286.7666
2078,825700641910.7074
2079,843631815953.1465
2080,861454336951.8888
2081,879094536904.7095
2082,896558816445.6581
2083,913853356607.971
2084,930984126849.767
2085,947956892763.7471
2086,964777223484.2391
2087,981450498804.3365
2088,997981916015.31
2089,1014376496479.9242
2090,1030639091950.7848
2091,1046696269038.6335
2092,1062554660300.929
2093,1078220675927.5659
2094,1093700511699.2097
2095,1109000156638.7979
2096,1124125400368.93
2097,1139081840187.3
2098,1153874887871.7986
2099,1168509776226.3916
2100,1182991565378.4106
