year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2025,559604786.8983078,3133777523.92804,376629544.2800001,90723155.356372,321091231.12990004,898544413.56372,360222965.425488,1094844694.6805851,663913273.90696,76936308.856,788292741.4700801,115987731.7456,112808255.995776
2026,1123093558.3294501,6289305296.812569,755873117.8871971,182240340.9456094,644992727.6658435,1804953097.5790055,723598686.3299571,2174644882.9686937,1350158163.47934,156460473.90890598,1603100769.2376552,232990615.19404495,226603836.18046066
2027,1690352035.6166258,9465943359.95915,1137653808.1021647,274529632.47900826,971626894.2373437,2719008908.5056114,1090040110.711515,3240154367.759076,2058673763.8856597,238565437.31982574,2444351768.3807864,350980620.58262527,341359479.14804447
2028,2261269302.5104227,12663070584.21095,1521896965.212378,367569711.0282341,1300918277.9909544,3640500698.441078,1459462590.1961699,4292089182.757564,2789399336.3996835,323244160.49865294,3311973621.2014265,469930492.08970374,457048676.21818376
2029,2835737706.2559433,15880084115.926285,1908530135.9276462,461339846.3104731,1632793509.4323692,4569223149.57276,1831783813.670292,5331129484.901014,3542274307.947404,410489624.0515701,4205894406.6875315,589813726.4651167,573645650.6523893
2030,3413652761.570839,19116398839.257195,2297482998.754664,555819880.4351028,1967181244.9019516,5504976613.200864,2206923742.745577,6357921351.957813,4317238270.655259,500294827.7286948,5126042399.976641,710604552.2506201,691125337.4440845
2031,4010175006.1821895,22456913513.99292,2698959016.117043,653464479.9724972,2312769144.2148685,6472072709.939853,2594628811.6993318,7402937890.823877,5132337707.051591,594751053.3406682,6093844964.770105,835441211.3489677,812539952.4665741
2032,4624756959.801696,25898562259.600563,3112589718.594379,754186266.8319232,2669247955.1342797,7469646025.717791,2994552079.3914104,8465265956.859739,5987463155.989566,693845616.1936735,7109172133.147546,964211992.6263418,937780846.8309486
2033,5256867250.681758,29438369403.107944,3538017478.2609863,857900275.5543193,3036316964.3114653,8496855041.759388,3406356184.213283,9544038158.410751,6882505454.854835,797565866.1887544,8171894291.649021,1096808269.4500535,1066742371.5965493
2034,5905990141.653053,33073446824.921875,3974895189.696043,964523886.6961496,3413683761.5151453,9552881474.80334,3829713079.583728,10638430564.360157,7817355738.751345,905899187.7274657,9281882180.308311,1233124414.5211382,1199321794.9381876
2035,6571625070.107533,36800991382.74061,4422885960.379387,1073976762.052624,3801064010.3707585,10636929635.53719,4264303776.747859,11747660526.544903,8791905439.689383,1018832999.61778,10439006891.688839,1373057717.0585449,1335419221.6004946
2036,7253286201.516529,40618282411.2626,4881662810.196816,1186180781.6694963,4198181225.429952,11748225804.746693,4709818094.677835,12870984611.279001,9806046285.775814,1136354754.9802508,11643139869.922215,1516508302.2699838,1474937514.5762491
2037,7950501996.085713,44522679295.4615,5350908379.786858,1301059982.5940545,4604766555.3954935,12886017626.690594,5165954416.87916,14007696634.517624,10859670300.40655,1258451941.154433,12894152909.749413,1663379053.046298,1617782218.9472766
2038,8662814788.160395,48511619115.262764,5830314647.468863,1418540499.3172822,5020558572.331647,14049573519.225159,5632419454.911894,15157125795.469028,11952669801.461203,1385112079.6055572,14191918155.564556,1813575533.817964,1763861487.8282073
2039,9389780378.005993,52582614359.52112,6319582654.499945,1538550505.8604953,5445303066.694752,15238182100.216007,6108928018.441393,16318634903.721596,13084937400.499947,1516322725.831459,15536308100.461304,1967005916.5140202,1913086010.355032
2040,10130967635.599579,56733250707.259735,6818422238.415697,1661020159.4610488,5878752848.023287,16451151629.787516,6595202791.638258,17491618695.200417,14256366001.96256,1652071469.2697625,16927195585.28185,2123580908.565373,2065368941.6619942
