year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2025,586316562.421691,3133187863.1656055,375806595.40039,90766091.8196494,321244575.641605,898973778.196494,360326012.93735373,1160019271.0895777,663913273.90696,76757406.92565,789335484.149674,116141076.257305,112955466.7270124
2030,1261984913.8015332,6743858299.157568,808884285.8941953,195528930.29042596,692027242.5259025,1936575407.027171,776216739.6768179,2472828533.1162186,1446727366.956716,167261366.17586717,1720033762.707077,250191893.78002405,243329432.13499975
2035,2104328310.3665197,11245215204.09338,1348794335.0212283,326279239.93977916,1154786262.951435,3231564510.4402885,1295273325.9170628,4088956710.9491453,2438651630.18453,281941306.0179386,2899345955.0167885,417495358.9752101,406043965.2283684
2040,3108442663.684142,16611051864.157627,1992393408.7952354,482299470.2296794,1706982040.759885,4776834259.164173,1914647217.5420537,5993206052.611474,3639115759.1455097,420731291.49911,4326594018.399422,617133319.589251,600206097.5615408
2045,4349520437.080282,23243185537.455894,2787877013.6258492,675269077.5381737,2389951180.1023426,6688061386.844209,2680703878.411791,8329324733.427378,5138084633.04142,594032486.6167055,6108738416.325303,864050394.3299998,840350534.9905475
2050,5820589443.650515,31104357901.797108,3730776243.1389685,904167837.7281244,3200082845.000044,8955141296.832209,3589393191.4807186,11075674000.385263,6934744142.3398905,801750769.2329189,8244811242.944167,1156941140.5267916,1125207641.561408
2055,7514882639.504529,40158406888.52154,4816753679.822731,1168003696.482131,4133865899.7213774,11568248394.569557,4636776869.116969,14211699307.175531,9028282397.822775,1043792273.9084749,10733847232.1674,1494536160.6125531,1453542837.7500505
2060,9425832087.832668,50370234427.37673,6041599526.223954,1465811991.494286,5187886155.918182,14517828383.948097,5819025365.3353615,17717875990.164974,11417889724.530703,1320063391.2025378,13574883750.468647,1875601106.8679228,1824155632.5051005
2065,11413809336.381302,60993686989.71817,7315817260.112854,1776026038.90657,6285813564.944846,17590278554.061905,7050522597.620396,21312016922.83945,13951869275.29075,1613025901.764154,16587566361.488195,2272540014.4963956,2210206985.0339136
2070,13476547992.220264,72016653311.29529,8637954209.90293,2098303298.4907246,7426435788.712759,20782206286.841736,8329908739.27639,24989714668.73562,16629827304.925316,1922634283.2939353,19771426936.251057,2684914581.1542897,2611270615.0970297
2075,15571872217.359188,83213752032.99307,9980977269.079414,2426122090.865234,8586670924.240482,24029018972.467655,9631293827.630207,28667690402.350655,19406104327.984756,2243609678.0819736,23072180294.04179,3104379896.895727,3019230503.5554214
2080,17698823244.915527,94579859648.24094,11344271904.570915,2759329406.535334,9765977431.518646,27329201160.39144,10954070440.900381,32345930195.14867,22280432199.888054,2575921084.9666286,26489507634.135975,3530740176.1906357,3433896235.0397773
2085,19829819765.016712,105967585769.52193,12710159546.771482,3093650729.3667274,10949226697.051754,30640416799.317116,12281269473.93949,35971692667.79524,25222365631.27603,2916048614.2933974,29987212139.628613,3958525899.592226,3849948312.419592
2090,21964742746.92739,117376294314.42044,14078563901.511265,3429055300.0588074,12136309855.752947,33962361240.18328,13612768817.533337,39547607189.09828,28231720242.063103,3263970949.215918,33565074598.5385,4387697708.588904,4267348456.7397366
2095,24076825909.32232,128662950285.8626,15432328801.454952,3761387477.172065,13312519022.287617,37253875801.253044,14932071278.940924,43023443235.022385,31278134278.935303,3616177857.983012,37186997511.0963,4812938191.582921,4680925106.584052
2100,26166741269.38657,139831144842.99872,16771884984.034437,4090732093.8035855,14478154442.835007,40515800694.19879,16239513631.19087,46404215223.61989,34361506670.025085,3972657655.311721,40852860711.58966,5234355898.000613,5090783833.999139
