index,provider name
79,"Disposal, PET Non-food Bottles"
99,"Disposal, PET Food Bottles"
101,"Disposal, PET Other Food Rigid"
143,"Low-tech Sorting, Collected PET Drinking Bottles"
147,"Disposal, PET Other Non-food Rigid"
157,"Reclaiming, Sorted PS Other Food Rigid"
173,"Disposal, PET Drinking Bottles"
174,"High-tech Sorting, Collected PET Drinking Bottles"
213,"Winter wheat straw, ground and stored"
237,"Fuels, burned at bleached kraft market pulp mill, average production, at mill"
285,"Open Burning, PET"
303,"Enzyme, Alpha-amylase, Novozyme Liquozyme"
310,"Wastewater treatment; Anaerobic/anoxic/oxic, Level 2-1; at plant"
332,"Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)"
339,"Reclaiming, Sorted PET Drinking Bottles"
355,"Fuels, burned at unbleached kraft bag sack paper, average production, at mill"
365,"Heat, onsite boiler, hardwood mill, average, SE"
366,"Heat, onsite boiler, hardwood mill, average, SE"
402,"Ethanol, denatured, corn dry mill"
560,Wastewater treatment; U.S. Average Treatment; at plant
578,"Wood fuel, hardwood, purchased, combusted in industrial boiler, SE"
579,"Winter wheat straw, carted"
632,"Ethanol production, corn dry mill"
659,"Flakes, PS Other Food Rigid"
