Year,"LDPE, Primary Microplastic to Marine Environment","multilayer food bottles, Primary Microplastic to Marine Environment","multilayer food packaging film, Primary Microplastic to Marine Environment","multilayer non-food packaging film, Primary Microplastic to Marine Environment","PET, Primary Microplastic to Marine Environment","PP, Primary Microplastic to Marine Environment","PS, Primary Microplastic to Marine Environment","PVC, Primary Microplastic to Marine Environment"
2025,104689200.0,0.0,0.0,0.0,132610852.0,133326908.00000001,11330000.0,10876800.0
2030,123723600.0,0.0,0.0,0.0,156721916.0,157568164.0,13390000.0,12854400.0
2035,157033800.0,0.0,0.0,0.0,198916278.0,199990362.0,16995000.0,16315200.0
2040,190344000.0,0.0,0.0,0.0,241110640.0,242412560.00000003,20600000.0,19776000.0
2045,237930000.0,0.0,0.0,0.0,301388300.0,303015700.0,25750000.0,24720000.0
2050,285516000.0,0.0,0.0,0.0,361665960.0,363618840.0,30900000.0,29664000.0
2055,1063470162.6352937,100402820.63437426,25113567.42103711,89691312.2179897,1465715412.0069785,786209461.3619912,263686205.88235298,149624188.23529312
2060,1215394471.5831928,114746080.72499914,28701219.909756705,102504356.82055967,1675103328.0079753,898525098.6994184,301355663.8655462,170999072.26890644
2065,1291356626.0571423,121917710.7703116,30495046.1541165,108910879.12184463,1779797286.0084739,954682917.3681319,320190392.85714287,181686514.28571308
2070,1367318780.531092,129089340.81562404,32288872.39847629,115317401.42312962,1884491244.0089724,1010840736.0368458,339025121.8487395,192373956.30251977
2075,1420492288.6628566,134109481.84734276,33544550.769528147,119801967.0340291,1957777014.6093214,1050151209.1049451,352209432.1428572,199855165.71428442
2080,1473665796.7946212,139129622.87906146,34800229.140580006,124286532.64492859,2031062785.2096708,1089461682.1730447,365393742.4369748,207336375.12604904
2085,1511646874.0315962,142715437.9017177,35697142.2627599,127489793.79557107,2083409764.2099195,1117540591.5074015,374811106.9327731,212680096.1344524
2090,1549627951.268571,146301252.92437392,36594055.3849398,130693054.94621357,2135756743.2101688,1145619500.8417583,384228471.42857146,218023817.1428557
2095,1572416597.6107557,148452741.93796766,37132203.25824773,132615011.63659906,2167164930.610319,1162466846.4423723,389878890.1260505,221230049.74789768
2100,1595205243.9529405,150604230.9515614,37670351.13155568,134536968.32698455,2198573118.010468,1179314192.0429864,395529308.8235294,224436282.35293972
