year,MiP_stock_kg,MiP_stock_Mt
2025,632299482.4515303,0.6322994824515303
2026,1512664534.3102136,1.5126645343102136
2027,2643255251.1534367,2.6432552511534366
2028,4026213428.116502,4.026213428116502
2029,5663662575.751116,5.663662575751116
2030,7557707956.285113,7.557707956285113
2031,9727681170.003847,9.727681170003848
2032,12181789515.627337,12.181789515627337
2033,14928057957.975706,14.928057957975707
2034,17974334706.079323,17.974334706079322
2035,21328296605.848583,21.328296605848582
2036,24997454353.905224,24.997454353905223
2037,28989157538.92373,28.989157538923727
2038,33310599516.588776,33.31059951658877
2039,37968822124.041794,37.96882212404179
2040,42970720239.46652,42.97072023946652
2041,48340290723.58901,48.340290723589014
2042,54090285973.71733,54.09028597371733
2043,60233159930.07516,60.23315993007516
2044,66781077543.77014,66.78107754377014
2045,73745923916.43268,73.74592391643267
2046,81139313123.79489,81.13931312379489
2047,88972596734.98589,88.97259673498588
2048,97256872038.84602,97.25687203884603
2049,106002989988.1108,106.0029899881108
2050,115221562871.88129,115.22156287188129
2051,124922971726.38405,124.92297172638405
2052,135117373493.62564,135.11737349362565
2053,145814707937.16748,145.81470793716747
2054,157024704323.8824,157.0247043238824
2055,168756887880.2055,168.7568878802055
2056,181020586031.05905,181.02058603105905
2057,193824934429.30936,193.82493442930937
2058,207178882783.30942,207.1788827833094
2059,221091200489.78622,221.09120048978622
2060,235570482079.05017,235.57048207905018
2061,250596411593.66937,250.59641159366936
2062,266167018864.73337,266.1670188647334
2063,282280447967.3747,282.2804479673747
2064,298934952854.01776,298.93495285401775
2065,316128893162.139,316.128893162139
2066,333860730189.0877,333.8607301890877
2067,352129023026.8545,352.1290230268545
2068,370932424849.9929,370.9324248499929
2069,390269679350.20605,390.26967935020605
2070,410139617311.3994,410.13961731139943
2071,430532531053.6102,430.5325310536102
2072,451444346627.45917,451.44434662745914
2073,472871149836.35913,472.8711498363591
2074,494809180579.06915,494.80918057906916
2075,517254827404.97217,517.2548274049722
2076,540204622273.4695,540.2046222734695
2077,563655235509.2563,563.6552355092564
2078,587603470945.5991,587.6034709455992
2079,612046261248.0734,612.0462612480734
2080,636980663411.5427,636.9806634115428
2081,662398106246.3604,662.3981062463604
2082,688293836438.7103,688.2938364387103
2083,714663267233.8528,714.6632672338528
2084,741501972734.7089,741.5019727347088
2085,768805682408.1896,768.8056824081896
2086,796570275791.1127,796.5702757911126
2087,824791777387.8975,824.7917773878975
2088,853466351752.5546,853.4663517525546
2089,882590298747.7991,882.5902987477991
2090,912160048974.4202,912.1600489744202
2091,942166411187.2079,942.1664111872079
2092,972604018282.6626,972.6040182826627
2093,1003467675907.5322,1003.4676759075322
2094,1034752356680.8792,1034.752356680879
2095,1066453194622.3268,1066.4531946223267
2096,1098565479778.5614,1098.5654797785614
2097,1131084653040.4915,1131.0846530404915
2098,1164006301143.7803,1164.0063011437803
2099,1197326151845.7688,1197.326151845769
2100,1231040069272.0896,1231.0400692720896
