year,MiP_stock_kg,MiP_stock_Mt
2025,672623021.434581,0.6726230214345811
2026,1594776436.095091,1.5947764360950911
2027,2768620285.552287,2.768620285552287
2028,4196296310.9368305,4.19629631093683
2029,5879927968.79778,5.87992796879778
2030,7821620467.362314,7.821620467362314
2031,10041805085.798473,10.041805085798474
2032,12548689028.283518,12.548689028283517
2033,15350297165.0983,15.3502971650983
2034,18454477610.737404,18.454477610737403
2035,21868907116.578922,21.86890711657892
2036,25601096284.715775,25.601096284715773
2037,29658394609.297115,29.658394609297115
2038,34047995351.48577,34.047995351485774
2039,38776940253.904816,38.77694025390482
2040,43852124100.22311,43.85212410022311
2041,49298643389.53666,49.29864338953666
2042,55129250384.099556,55.12925038409956
2043,61356398889.086464,61.356398889086464
2044,67992253720.561005,67.99225372056101
2045,75048699845.11452,75.04869984511451
2046,82537351203.44504,82.53735120344504
2047,90469559229.6526,90.4695592296526
2048,98856421077.55344,98.85642107755343
2049,107708787564.8639,107.70878756486391
2050,117037270845.67094,117.03727084567095
2051,126852251821.1919,126.8522518211919
2052,137163887298.42911,137.1638872984291
2053,147982116905.9448,147.9821169059448
2054,159316669775.6175,159.3166697756175
2055,171177070998.89316,171.17707099889316
2056,183572647865.70963,183.57264786570963
2057,196512535893.9539,196.5125358939539
2058,210005684657.00467,210.00568465700468
2059,224060863416.61957,224.06086341661955
2060,238686666568.14462,238.68666656814463
2061,253860945131.0529,253.8609451310529
2062,269581728869.0563,269.5817288690563
2063,285847161789.9122,285.84716178991215
2064,302655497778.67236,302.6554977786724
2065,320005096405.443,320.005096405443
2066,337894418900.2058,337.89441890020584
2067,356322024287.5862,356.3220242875862
2068,375286565674.77484,375.28656567477486
2069,394786786686.1146,394.7867866861146
2070,414821518038.1533,414.82151803815333
2071,435380502117.13226,435.38050211713227
2072,456459664926.5922,456.4596649265922
2073,478055092222.8682,478.0550922228682
2074,500163023857.64294,500.16302385764294
2075,522779848333.2248,522.7798483332248
2076,545902097561.94226,545.9020975619422
2077,569526441821.4194,569.5264418214194
2078,593649684897.8535,593.6496848978535
2079,618268759409.7523,618.2687594097523
2080,643380722304.9137,643.3807223049137
2081,668976635768.9994,668.9766357689994
2082,695051746454.6466,695.0517464546466
2083,721601467573.5697,721.6014675735697
2084,748621373195.1453,748.6213731951452
2085,776107192752.7407,776.1071927527407
2086,804054805749.632,804.054805749632
2087,832460236656.6974,832.4602366566974
2088,861319649994.4077,861.3196499944078
2089,890629345591.9401,890.62934559194
2090,920385754016.5464,920.3857540165463
2091,950579317411.8538,950.5793174118537
2092,981204668654.3431,981.2046686543431
2093,1012256613370.7437,1012.2566133707437
2094,1043730124160.1001,1043.7301241601
2095,1075620335022.0188,1075.6203350220187
2096,1107922535983.1694,1107.9225359831694
2097,1140632167914.445,1140.632167914445
2098,1173744817531.4941,1173.7448175314942
2099,1207256212571.6433,1207.2562125716433
2100,1241162217140.5117,1241.1622171405118
