year,MiP_stock_kg,MiP_stock_Mt
2025,446241299.1885977,0.4462412991885977
2026,1070046639.1023159,1.070046639102316
2027,1872946383.429884,1.872946383429884
2028,2856457851.432239,2.856457851432239
2029,4022085325.966533,4.0220853259665335
2030,5371320076.35469,5.3713200763546896
2031,6917810612.173796,6.9178106121737954
2032,8667422400.165321,8.667422400165322
2033,10625889773.29851,10.62588977329851
2034,12798819946.819778,12.798819946819778
2035,15191696900.723206,15.191696900723205
2036,17809885133.400414,17.809885133400414
2037,20658633291.04564,20.65863329104564
2038,23743077677.21665,23.743077677216647
2039,27068245646.784264,27.068245646784263
2040,30639058888.342354,30.639058888342355
2041,34472506816.246254,34.47250681624625
2042,38577709309.348145,38.577709309348144
2043,42963571530.12697,42.96357153012697
2044,47638790743.50719,47.63879074350719
2045,52611862899.07307,52.61186289907307
2046,57891088985.52645,57.89108898552645
2047,63484581165.87926,63.484581165879256
2048,69400268701.5309,69.4002687015309
2049,75645903673.05417,75.64590367305416
2050,82229066505.20068,82.22906650520068
2051,89157171303.33754,89.15717130333753
2052,96437471008.24089,96.43747100824089
2053,104077062375.89731,104.07706237589731
2054,112082890788.7018,112.0828907887018
2055,120461754904.18944,120.46175490418943
2056,129220311147.19676,129.22031114719675
2057,138365078051.1188,138.36507805111881
2058,147902440453.7058,147.90244045370582
2059,157838653552.6327,157.83865355263268
2060,168179846825.87085,168.17984682587084
2061,178911744126.28027,178.91174412628027
2062,190032901232.9051,190.0329012329051
2063,201541956313.32642,201.5419563133264
2064,213437626775.03183,213.43762677503182
2065,225718706242.69257,225.71870624269258
2066,238384061655.97034,238.38406165597033
2067,251432630482.71814,251.43263048271814
2068,264863418042.67075,264.86341804267073
2069,278675494936.94104,278.67549493694105
2070,292867994578.8477,292.86799457884774
2071,307434025713.17596,307.43402571317597
2072,322370640303.13763,322.37064030313763
2073,337675005416.0958,337.6750054160958
2074,353344399146.4238,353.3443991464238
2075,369376206691.7639,369.3762066917639
2076,385767916576.475,385.767916576475
2077,402517117016.3264,402.51711701632644
2078,419621492418.75256,419.62149241875255
2079,437078820013.2268,437.0788200132268
2080,454886966606.5467,454.8869666065467
2081,473039828718.9629,473.0398287189629
2082,491533976351.9463,491.5339763519463
2083,510366099473.002,510.366099473002
2084,529533003907.8877,529.5330039078877
2085,549031607382.5991,549.0316073825991
2086,568858935709.2394,568.8589357092394
2087,589012119110.1378,589.0121191101379
2088,609488388674.8193,609.4883886748194
2089,630285072944.6545,630.2850729446545
2090,651399594620.232,651.399594620232
2091,672825410647.6244,672.8254106476244
2092,694558655934.5585,694.5586559345585
2093,716595589782.1096,716.5955897821096
2094,738932591722.4645,738.9325917224645
2095,761566157505.2979,761.5661575052978
2096,784492895227.0452,784.4928952270452
2097,807709521597.5929,807.7095215975929
2098,831212858339.1321,831.212858339132
2099,854999828712.1388,854.9998287121388
2100,879067454163.6499,879.0674541636499
