year,process_index,process_name,gwp_contribution,coef_gwp,s
2051,543,"Forest residue, processed and loaded, at landing system",-66712735126.35553,-71.03120253494431,939203233.8680415
2051,614,"Switchgrass, production, US, 2022",-62543014.79898869,-1184.0,52823.492228875584
2052,543,"Forest residue, processed and loaded, at landing system",-145067726569.53265,-151.0312025349443,960514940.8511671
2052,614,"Switchgrass, production, US, 2022",-127924389.51236546,-2368.0,54022.12394947866
2053,543,"Forest residue, processed and loaded, at landing system",-226702850193.53976,-231.0312025349443,981265074.6136775
2053,614,"Switchgrass, production, US, 2022",-196031936.01838693,-3552.0,55189.17117634767
2054,543,"Forest residue, processed and loaded, at landing system",-311482465650.9527,-311.0312025349443,1001450861.2394208
2054,614,"Switchgrass, production, US, 2022",-266752727.31761965,-4736.0,56324.477896456854
2055,543,"Forest residue, processed and loaded, at landing system",-403117255097.8976,-391.0312025349443,1030908153.8368366
2055,614,"Switchgrass, production, US, 2022",-343248945.4719782,-5920.0,57981.240789185504
2056,543,"Forest residue, processed and loaded, at landing system",-494702571590.3301,-471.0312025349443,1050254354.5480506
2056,614,"Switchgrass, production, US, 2022",-419628497.4574309,-7104.0,59069.326781732954
2057,543,"Forest residue, processed and loaded, at landing system",-589073835829.5275,-551.0312025349443,1069038982.0387179
2057,614,"Switchgrass, production, US, 2022",-498322864.78920025,-8288.0,60125.828280550224
2058,543,"Forest residue, processed and loaded, at landing system",-692829304511.2949,-631.0312025349443,1097931927.4991453
2058,614,"Switchgrass, production, US, 2022",-584904057.5131506,-9472.0,61750.8506665066
2059,543,"Forest residue, processed and loaded, at landing system",-793421370861.6116,-711.0312025349443,1115874195.1589925
2059,614,"Switchgrass, production, US, 2022",-668770298.1259074,-10656.0,62759.975424728545
2060,543,"Forest residue, processed and loaded, at landing system",-905324416896.814,-791.0312025349443,1144486354.0093043
2060,614,"Switchgrass, production, US, 2022",-762131393.8757321,-11840.0,64369.20556382872
2061,543,"Forest residue, processed and loaded, at landing system",-999439123881.2915,-871.0312025349443,1147420575.7183487
2061,614,"Switchgrass, production, US, 2022",-840493871.8906662,-13024.0,64534.23463533985
2062,543,"Forest residue, processed and loaded, at landing system",-1093756269511.5975,-951.0312025349443,1150074010.8171256
2062,614,"Switchgrass, production, US, 2022",-919022762.5034842,-14208.0,64683.47145998622
2063,543,"Forest residue, processed and loaded, at landing system",-1188208465001.1692,-1031.0312025349442,1152446659.3055391
2063,614,"Switchgrass, production, US, 2022",-997661971.6532393,-15392.0,64816.91603776243
2064,543,"Forest residue, processed and loaded, at landing system",-1282728321563.8164,-1111.0312025349442,1154538521.1838567
2064,614,"Switchgrass, production, US, 2022",-1076355405.2792976,-16576.0,64934.5683686835
2065,543,"Forest residue, processed and loaded, at landing system",-1391461539011.4966,-1191.0312025349442,1168283027.3883374
2065,614,"Switchgrass, production, US, 2022",-1166966957.2542515,-17760.0,65707.59894449615
2066,543,"Forest residue, processed and loaded, at landing system",-1487047670106.821,-1271.0312025349442,1169953709.3511581
2066,614,"Switchgrass, production, US, 2022",-1246544807.6744928,-18944.0,65801.5629051147
2067,543,"Forest residue, processed and loaded, at landing system",-1582521758844.5776,-1351.0312025349442,1171343604.70379
2067,614,"Switchgrass, production, US, 2022",-1326027298.4086735,-20128.0,65879.73461887288
2068,543,"Forest residue, processed and loaded, at landing system",-1695496250062.509,-1431.0312025349442,1184807324.2980926
2068,614,"Switchgrass, production, US, 2022",-1420167167.464063,-21312.0,66636.97294782578
2069,543,"Forest residue, processed and loaded, at landing system",-1791744595258.0977,-1511.0312025349442,1185776039.7351303
2069,614,"Switchgrass, production, US, 2022",-1500291000.7285442,-22496.0,66691.45629127597
2070,543,"Forest residue, processed and loaded, at landing system",-1907804506284.6575,-1591.0312025349442,1199099366.0243793
2070,614,"Switchgrass, production, US, 2022",-1596998108.4042478,-23680.0,67440.798496801
2071,543,"Forest residue, processed and loaded, at landing system",-1998038676800.741,-1671.0312025349442,1195692021.6508994
2071,614,"Switchgrass, production, US, 2022",-1672083105.4215567,-24864.0,67249.15964533288
2072,543,"Forest residue, processed and loaded, at landing system",-2109852647429.9856,-1751.0312025349442,1204920074.7397194
2072,614,"Switchgrass, production, US, 2022",-1765225341.7239864,-26048.0,67768.17190279432
2073,543,"Forest residue, processed and loaded, at landing system",-2223143106553.4326,-1831.0312025349442,1214148127.8285344
2073,614,"Switchgrass, production, US, 2022",-1859596599.052077,-27232.0,68287.18416025548
2074,543,"Forest residue, processed and loaded, at landing system",-2313012186601.1406,-1911.0312025349442,1210347682.2005715
2074,614,"Switchgrass, production, US, 2022",-1934374762.0126557,-28416.0,68073.4361631706
2075,543,"Forest residue, processed and loaded, at landing system",-2428017673600.0547,-1991.0312025349442,1219477459.9758894
2075,614,"Switchgrass, production, US, 2022",-2030172865.5733407,-29600.0,68586.92113423448
2076,543,"Forest residue, processed and loaded, at landing system",-2470767490777.751,-2011.0312025349442,1228607237.75111
2076,614,"Switchgrass, production, US, 2022",-2065825740.923837,-29896.0,69100.40610529292
2077,543,"Forest residue, processed and loaded, at landing system",-2513882499066.4565,-2031.0312025349442,1237737015.5263307
2077,614,"Switchgrass, production, US, 2022",-2101782599.3772006,-30192.0,69613.89107635137
2078,543,"Forest residue, processed and loaded, at landing system",-2557362698465.967,-2051.0312025349444,1246866793.301452
2078,614,"Switchgrass, production, US, 2022",-2138043440.9332604,-30488.0,70127.37604740424
2079,543,"Forest residue, processed and loaded, at landing system",-2573208005407.7744,-2071.0312025349444,1242476695.7920117
2079,614,"Switchgrass, production, US, 2022",-2151200213.9934573,-30784.0,69880.46433190805
2080,543,"Forest residue, processed and loaded, at landing system",-2616942692776.861,-2091.0312025349444,1251508198.2537405
2080,614,"Switchgrass, production, US, 2022",-2187672156.2749815,-31080.0,70388.42201656954
2081,543,"Forest residue, processed and loaded, at landing system",-2655591273529.0444,-2111.0312025349444,1257959271.440511
2081,614,"Switchgrass, production, US, 2022",-2219891186.5586705,-31376.0,70751.24893417486
2082,543,"Forest residue, processed and loaded, at landing system",-2665178010849.346,-2131.0312025349444,1250651800.7239938
2082,614,"Switchgrass, production, US, 2022",-2227816580.284907,-31672.000000000004,70340.25575539614
2083,543,"Forest residue, processed and loaded, at landing system",-2703916511388.8706,-2151.0312025349444,1257032677.2584064
2083,614,"Switchgrass, production, US, 2022",-2260109935.2539425,-31968.000000000004,70699.13461129699
2084,543,"Forest residue, processed and loaded, at landing system",-2742910246989.533,-2171.0312025349444,1263413553.792709
2084,614,"Switchgrass, production, US, 2022",-2292615746.505474,-32264.000000000004,71058.01346719172
2085,543,"Forest residue, processed and loaded, at landing system",-2751552409489.5303,-2191.0312025349444,1255825296.4659212
2085,614,"Switchgrass, production, US, 2022",-2299752785.0328035,-32560.000000000004,70631.228041548
2086,543,"Forest residue, processed and loaded, at landing system",-2790622025546.5747,-2211.0312025349444,1262135976.3476562
2086,614,"Switchgrass, production, US, 2022",-2332321234.706629,-32856.0,70986.15883572647
2087,543,"Forest residue, processed and loaded, at landing system",-2829944068798.905,-2231.0312025349444,1268446656.2293987
2087,614,"Switchgrass, production, US, 2022",-2365099803.410622,-33152.0,71341.08962990534
2088,543,"Forest residue, processed and loaded, at landing system",-2837599538487.045,-2251.0312025349444,1260577612.2923355
2088,614,"Switchgrass, production, US, 2022",-2371413427.9509964,-33448.0,70898.51195739645
2089,543,"Forest residue, processed and loaded, at landing system",-2876983422865.238,-2271.0312025349444,1266818095.5215077
2089,614,"Switchgrass, production, US, 2022",-2404242948.8145995,-33744.0,71249.49468985893
2090,543,"Forest residue, processed and loaded, at landing system",-2916616926572.3467,-2291.0312025349444,1273058578.7505705
2090,614,"Switchgrass, production, US, 2022",-2437280251.455611,-34040.0,71600.47742231525
2091,543,"Forest residue, processed and loaded, at landing system",-2884348122044.4775,-2311.0312025349444,1248078398.4572203
2091,614,"Switchgrass, production, US, 2022",-2410233381.8446846,-34336.0,70195.52020749896
2092,543,"Forest residue, processed and loaded, at landing system",-2850687396894.754,-2331.0312025349444,1222929746.1976035
2092,614,"Switchgrass, production, US, 2022",-2382026627.3063273,-34632.0,68781.08764455785
2093,543,"Forest residue, processed and loaded, at landing system",-2849588747124.661,-2351.0312025349444,1212059093.0703764
2093,614,"Switchgrass, production, US, 2022",-2381030961.4746323,-34928.0,68169.6908347066
2094,543,"Forest residue, processed and loaded, at landing system",-2813502648271.892,-2371.0312025349444,1186615614.869972
2094,614,"Switchgrass, production, US, 2022",-2350803137.955911,-35224.0,66738.67641255709
2095,543,"Forest residue, processed and loaded, at landing system",-2775995988563.249,-2391.0312025349444,1161003664.7034004
2095,614,"Switchgrass, production, US, 2022",-2319391589.5340815,-35520.0,65298.18664228833
2096,543,"Forest residue, processed and loaded, at landing system",-2737058659680.772,-2411.0312025349444,1135223242.570666
2096,614,"Switchgrass, production, US, 2022",-2286787902.100024,-35816.0,63848.221523900604
2097,543,"Forest residue, processed and loaded, at landing system",-2696680553306.2236,-2431.0312025349444,1109274348.4716587
2097,614,"Switchgrass, production, US, 2022",-2252983661.544383,-36112.0,62388.781057387656
2098,543,"Forest residue, processed and loaded, at landing system",-2690776475108.802,-2451.0312025349444,1097814043.4629736
2098,614,"Switchgrass, production, US, 2022",-2247983581.0244284,-36408.0,61744.22052912624
2099,543,"Forest residue, processed and loaded, at landing system",-2647883704889.402,-2471.0312025349444,1071570323.423286
2099,614,"Switchgrass, production, US, 2022",-2212083946.857996,-36704.0,60268.19820341097
2100,543,"Forest residue, processed and loaded, at landing system",-2603521516943.9546,-2491.0312025349444,1045158131.4174374
2100,614,"Switchgrass, production, US, 2022",-2174959919.594341,-37000.0,58782.70052957678
