Year,"LDPE, Primary Microplastic to Marine Environment","multilayer food bottles, Primary Microplastic to Marine Environment","multilayer food packaging film, Primary Microplastic to Marine Environment","multilayer non-food packaging film, Primary Microplastic to Marine Environment","PET, Primary Microplastic to Marine Environment","PP, Primary Microplastic to Marine Environment","PS, Primary Microplastic to Marine Environment","PVC, Primary Microplastic to Marine Environment"
2025,104689200.0,0.0,0.0,0.0,132610852.0,133326908.00000001,11330000.0,10876800.0
2030,123723600.0,0.0,0.0,0.0,156721916.0,157568164.0,13390000.0,12854400.0
2035,157033800.0,0.0,0.0,0.0,198916278.0,199990362.0,16995000.0,16315200.0
2040,190344000.0,0.0,0.0,0.0,241110640.0,242412560.00000003,20600000.0,19776000.0
2045,237930000.0,0.0,0.0,0.0,301388300.0,303015700.0,25750000.0,24720000.0
2050,285516000.0,0.0,0.0,0.0,361665960.0,363618840.0,30900000.0,29664000.0
2055,333102000.0,0.0,0.0,0.0,421943620.0,424221980.00000006,36050000.0,34608000.0
2060,380688000.0,0.0,0.0,0.0,482221280.0,484825120.00000006,41200000.0,39552000.0
2065,404481000.0,0.0,0.0,0.0,512360110.0,515126690.00000006,43775000.0,42024000.0
2070,428274000.0,0.0,0.0,0.0,542498940.0,545428260.0,46350000.0,44496000.0
2075,444929100.0,0.0,0.0,0.0,563596121.0,566639359.0,48152500.0,46226400.0
2080,461584200.0,0.0,0.0,0.0,584693302.0,587850458.0,49955000.0,47956800.0
2085,473480700.0,0.0,0.0,0.0,599762717.0,603001243.0,51242500.0,49192800.0
2090,485377200.0,0.0,0.0,0.0,614832132.0,618152028.0,52530000.0,50428800.0
2095,492515100.0,0.0,0.0,0.0,623873781.0,627242499.0,53302500.0,51170400.0
2100,499653000.0,0.0,0.0,0.0,632915430.0,636332970.0,54075000.0,51912000.0
