Year,Biomass_over_(Oil+Gas)_fraction,Biomass_over_(Oil+Gas)_percent
2025,0.0,0.0
2026,0.0,0.0
2027,0.0,0.0
2028,0.0,0.0
2029,0.0,0.0
2030,0.0,0.0
2031,0.0029,0.2893
2032,0.0056,0.5587
2033,0.0081,0.8101
2034,0.0105,1.0453
2035,0.0127,1.2658
2036,0.0147,1.473
2037,0.0167,1.668
2038,0.0185,1.8519
2039,0.0203,2.0255
2040,0.0219,2.1898
2041,0.0269,2.6855
2042,0.0315,3.1507
2043,0.0359,3.588
2044,0.04,4.0
2045,0.0439,4.3887
2046,0.0476,4.7561
2047,0.051,5.1039
2048,0.0543,5.4335
2049,0.0575,5.7465
2050,0.0604,6.044
2051,0.0649,6.4879
2052,0.0691,6.911
2053,0.0731,7.3146
2054,0.077,7.7
2055,0.0807,8.0685
2056,0.0842,8.4211
2057,0.0876,8.7588
2058,0.0908,9.0826
2059,0.0939,9.3933
2060,0.0969,9.6916
2061,0.0951,9.5095
2062,0.0934,9.3356
2063,0.0917,9.1694
2064,0.0901,9.0105
2065,0.0886,8.8583
2066,0.0871,8.7124
2067,0.0857,8.5725
2068,0.0844,8.4382
2069,0.0831,8.3091
2070,0.0819,8.1851
2071,0.0814,8.1432
2072,0.081,8.1025
2073,0.0806,8.0629
2074,0.0802,8.0243
2075,0.0799,7.9867
2076,0.0795,7.9501
2077,0.0791,7.9144
2078,0.0788,7.8796
2079,0.0785,7.8456
2080,0.0781,7.8125
2081,0.081,8.0972
2082,0.0838,8.3799
2083,0.0866,8.6607
2084,0.0894,8.9396
2085,0.0922,9.2166
2086,0.0949,9.4917
2087,0.0977,9.765
2088,0.1004,10.0365
2089,0.1031,10.3062
2090,0.1057,10.574
2091,0.1117,11.1688
2092,0.1178,11.7756
2093,0.1239,12.3949
2094,0.1303,13.0271
2095,0.1367,13.6725
2096,0.1433,14.3316
2097,0.15,15.0049
2098,0.1569,15.6927
2099,0.164,16.3956
2100,0.1711,17.1141
