Year,Biomass_%,Fossil_%,Sum_%
2025,0.0,100.0,100.0
2026,0.0,100.0,100.0
2027,0.0,100.0,100.0
2028,0.0,100.0,100.0
2029,0.0,100.0,100.0
2030,0.0,100.0,100.0
2031,0.29,99.71,100.0
2032,0.56,99.44,100.0
2033,0.8,99.2,100.0
2034,1.03,98.97,100.0
2035,1.25,98.75,100.0
2036,1.45,98.55,100.0
2037,1.64,98.36,100.0
2038,1.82,98.18,100.0
2039,1.99,98.01,100.0
2040,2.14,97.86,100.0
2041,2.62,97.38,100.0
2042,3.05,96.95,100.0
2043,3.46,96.54,100.0
2044,3.85,96.15,100.0
2045,4.2,95.8,100.0
2046,4.54,95.46,100.0
2047,4.86,95.14,100.0
2048,5.15,94.85,100.0
2049,5.43,94.57,100.0
2050,5.7,94.3,100.0
2051,6.09,93.91,100.0
2052,6.46,93.54,100.0
2053,6.82,93.18,100.0
2054,7.15,92.85,100.0
2055,7.47,92.53,100.0
2056,7.77,92.23,100.0
2057,8.05,91.95,100.0
2058,8.33,91.67,100.0
2059,8.59,91.41,100.0
2060,8.84,91.16,100.0
2061,8.68,91.32,100.0
2062,8.54,91.46,100.0
2063,8.4,91.6,100.0
2064,8.27,91.73,100.0
2065,8.14,91.86,100.0
2066,8.01,91.99,100.0
2067,7.9,92.1,100.0
2068,7.78,92.22,100.0
2069,7.67,92.33,100.0
2070,7.57,92.43,100.0
2071,7.53,92.47,100.0
2072,7.5,92.5,100.0
2073,7.46,92.54,100.0
2074,7.43,92.57,100.0
2075,7.4,92.6,100.0
2076,7.36,92.64,100.0
2077,7.33,92.67,100.0
2078,7.3,92.7,100.0
2079,7.27,92.73,100.0
2080,7.25,92.75,100.0
2081,7.49,92.51,100.0
2082,7.73,92.27,100.0
2083,7.97,92.03,100.0
2084,8.21,91.79,100.0
2085,8.44,91.56,100.0
2086,8.67,91.33,100.0
2087,8.9,91.1,100.0
2088,9.12,90.88,100.0
2089,9.34,90.66,100.0
2090,9.56,90.44,100.0
2091,10.05,89.95,100.0
2092,10.54,89.46,100.0
2093,11.03,88.97,100.0
2094,11.53,88.47,100.0
2095,12.03,87.97,100.0
2096,12.54,87.46,100.0
2097,13.05,86.95,100.0
2098,13.56,86.44,100.0
2099,14.09,85.91,100.0
2100,14.61,85.39,100.0
