Year,Oil_over_(Oil+Gas)_fraction,Oil_over_(Oil+Gas)_percent
2025,0.8556,85.5556
2026,0.8522,85.2174
2027,0.8489,84.8936
2028,0.8458,84.5833
2029,0.8429,84.2857
2030,0.84,84.0
2031,0.8409,84.0887
2032,0.8417,84.1713
2033,0.8425,84.2484
2034,0.8432,84.3206
2035,0.8439,84.3882
2036,0.8445,84.4517
2037,0.8451,84.5115
2038,0.8457,84.5679
2039,0.8462,84.6212
2040,0.8467,84.6715
2041,0.8417,84.1696
2042,0.837,83.6986
2043,0.8326,83.2558
2044,0.8284,82.8387
2045,0.8245,82.4451
2046,0.8207,82.0732
2047,0.8172,81.7211
2048,0.8139,81.3873
2049,0.8107,81.0704
2050,0.8077,80.7692
2051,0.7989,79.8928
2052,0.7906,79.0576
2053,0.7826,78.2609
2054,0.775,77.5
2055,0.7677,76.7726
2056,0.7608,76.0766
2057,0.7541,75.4098
2058,0.7477,74.7706
2059,0.7416,74.1573
2060,0.7357,73.5683
2061,0.7272,72.7194
2062,0.7191,71.9092
2063,0.7113,71.1349
2064,0.7039,70.3942
2065,0.6969,69.685
2066,0.6901,69.0054
2067,0.6835,68.3535
2068,0.6773,67.7276
2069,0.6713,67.1263
2070,0.6655,66.548
2071,0.6627,66.2689
2072,0.66,65.9972
2073,0.6573,65.7328
2074,0.6548,65.4754
2075,0.6522,65.2246
2076,0.6498,64.9803
2077,0.6474,64.7421
2078,0.6451,64.5099
2079,0.6428,64.2835
2080,0.6406,64.0625
2081,0.6372,63.7185
2082,0.6338,63.3768
2083,0.6304,63.0374
2084,0.627,62.7004
2085,0.6237,62.3656
2086,0.6203,62.0331
2087,0.617,61.7028
2088,0.6137,61.3747
2089,0.6105,61.0488
2090,0.6073,60.7251
2091,0.5908,59.0784
2092,0.574,57.3983
2093,0.5568,55.6836
2094,0.5393,53.9333
2095,0.5215,52.1463
2096,0.5032,50.3213
2097,0.4846,48.4573
2098,0.4655,46.5529
2099,0.4461,44.6067
2100,0.4262,42.6174
