Year,Oil_%,NaturalGas_%,Sum_%
2025,85.56,14.44,100.0
2026,85.22,14.78,100.0
2027,84.89,15.11,100.0
2028,84.58,15.42,100.0
2029,84.29,15.71,100.0
2030,84.0,16.0,100.0
2031,84.09,15.91,100.0
2032,84.17,15.83,100.0
2033,84.25,15.75,100.0
2034,84.32,15.68,100.0
2035,84.39,15.61,100.0
2036,84.45,15.55,100.0
2037,84.51,15.49,100.0
2038,84.57,15.43,100.0
2039,84.62,15.38,100.0
2040,84.67,15.33,100.0
2041,84.17,15.83,100.0
2042,83.7,16.3,100.0
2043,83.26,16.74,100.0
2044,82.84,17.16,100.0
2045,82.45,17.55,100.0
2046,82.07,17.93,100.0
2047,81.72,18.28,100.0
2048,81.39,18.61,100.0
2049,81.07,18.93,100.0
2050,80.77,19.23,100.0
2051,79.89,20.11,100.0
2052,79.06,20.94,100.0
2053,78.26,21.74,100.0
2054,77.5,22.5,100.0
2055,76.77,23.23,100.0
2056,76.08,23.92,100.0
2057,75.41,24.59,100.0
2058,74.77,25.23,100.0
2059,74.16,25.84,100.0
2060,73.57,26.43,100.0
2061,72.72,27.28,100.0
2062,71.91,28.09,100.0
2063,71.13,28.87,100.0
2064,70.39,29.61,100.0
2065,69.69,30.31,100.0
2066,69.01,30.99,100.0
2067,68.35,31.65,100.0
2068,67.73,32.27,100.0
2069,67.13,32.87,100.0
2070,66.55,33.45,100.0
2071,66.27,33.73,100.0
2072,66.0,34.0,100.0
2073,65.73,34.27,100.0
2074,65.48,34.52,100.0
2075,65.22,34.78,100.0
2076,64.98,35.02,100.0
2077,64.74,35.26,100.0
2078,64.51,35.49,100.0
2079,64.28,35.72,100.0
2080,64.06,35.94,100.0
2081,63.72,36.28,100.0
2082,63.38,36.62,100.0
2083,63.04,36.96,100.0
2084,62.7,37.3,100.0
2085,62.37,37.63,100.0
2086,62.03,37.97,100.0
2087,61.7,38.3,100.0
2088,61.37,38.63,100.0
2089,61.05,38.95,100.0
2090,60.73,39.27,100.0
2091,59.08,40.92,100.0
2092,57.4,42.6,100.0
2093,55.68,44.32,100.0
2094,53.93,46.07,100.0
2095,52.15,47.85,100.0
2096,50.32,49.68,100.0
2097,48.46,51.54,100.0
2098,46.55,53.45,100.0
2099,44.61,55.39,100.0
2100,42.62,57.38,100.0
