year,MaP_stock_kg
2025,8685743458.638968
2026,17452067306.533394
2027,26298334290.96079
2028,35223904812.11812
2029,44228137853.00708
2030,53310391839.82844
2031,62706909349.53414
2032,72410633704.94183
2033,82414725817.45703
2034,92712556892.29268
2035,103297701395.97957
2036,114163930276.0031
2037,125305204422.82565
2038,136715668364.95709
2039,148389644188.12442
2040,160321625669.95926
2041,172743156534.48553
2042,185642640855.00922
2043,199008853954.1901
2044,212830929405.4331
2045,227098346525.12823
2046,241800918335.77393
2047,256928779980.88867
2048,272472377573.43784
2049,288422457460.2967
2050,304770055886.0205
2051,320047610662.6544
2052,334286600640.6041
2053,347517351739.3581
2054,359769082960.48236
2055,371069950435.9339
2056,382697556780.7106
2057,394643863711.0569
2058,406901103345.6762
2059,419461768178.2206
2060,432318601451.4413
2061,445173986993.3058
2062,458028986594.23285
2063,470884627260.58655
2064,483741902303.0875
2065,496601772389.7791
2066,509465166564.7813
2067,522332983234.0083
2068,535206091118.99225
2069,548085330179.90674
2070,560971512508.845
2071,573778242917.6294
2072,586508633649.8043
2073,599165693923.011
2074,611752333494.7449
2075,624271366095.5585
2076,636725512735.0238
2077,649117404885.5416
2078,661449587548.8644
2079,673724522209.9937
2080,685944589682.9149
2081,698053972667.9481
2082,710056467643.9202
2083,721955746569.2487
2084,733755361190.4192
2085,745458747190.2413
2086,757069228182.3107
2087,768590019557.8226
2088,780024232190.6292
2089,791374876006.1671
2090,802644863419.6577
2091,813778892464.2451
2092,824781259233.1392
2093,835656120110.6672
2094,846407496591.5037
2095,857039279921.2113
2096,867555235565.2452
2097,877959007513.2518
2098,888254122425.2152
2099,898443993625.7137
2100,908531924952.2943
