year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2025,586316562.421691,3133187863.1656055,375806595.40039,90766091.8196494,321244575.641605,898973778.196494,360326012.93735373,1160019271.0895777,663913273.90696,76757406.92565,789335484.149674,116141076.257305,112955466.7270124
2030,1261984913.8015332,6743858299.157568,808884285.8941953,195528930.29042596,692027242.5259025,1936575407.027171,776216739.6768179,2472828533.1162186,1446727366.956716,167261366.17586717,1720033762.707077,250191893.78002405,243329432.13499975
2035,2104328310.3665197,11245215204.09338,1348794335.0212283,326279239.93977916,1154786262.951435,3231564510.4402885,1295273325.9170628,4088956710.9491453,2438651630.18453,281941306.0179386,2899345955.0167885,417495358.9752101,406043965.2283684
2040,3108442663.684142,16611051864.157627,1992393408.7952354,482299470.2296794,1706982040.759885,4776834259.164173,1914647217.5420537,5993206052.611474,3639115759.1455097,420731291.49911,4326594018.399422,617133319.589251,600206097.5615408
2045,4349520437.080282,23243185537.455894,2787877013.6258492,675269077.5381737,2389951180.1023426,6688061386.844209,2680703878.411791,8329324733.427378,5138084633.04142,594032486.6167055,6108738416.325303,864050394.3299998,840350534.9905475
2050,5820589443.650515,31104357901.797108,3730776243.1389685,904167837.7281244,3200082845.000044,8955141296.832209,3589393191.4807186,11075674000.385263,6934744142.3398905,801750769.2329189,8244811242.944167,1156941140.5267916,1125207641.561408
2055,6881030517.255649,37262654975.44123,4816753679.822731,1086608215.4031143,3843167753.0106034,11568248394.569557,4311361696.10657,12900346352.18806,8411687813.388569,1043792273.9084749,9829867068.855507,1373968114.117306,1338759536.8176932
2060,8086227403.770984,44250253614.06043,6041599526.223954,1293640546.8931584,4572988139.485584,14517828383.948097,5130692306.91979,14973539100.697086,10098297248.360676,1320063391.2025378,11640248818.168789,1620570060.1483772,1581360744.1939783
2065,9343942332.86578,51537504506.671394,7315817260.112854,1509771119.554934,5334903138.689004,17590278554.061905,5986048384.837362,17112827490.876936,11887153717.428402,1613025901.764154,13560517544.798208,1878146676.3107948,1834736281.654313
2070,10652630063.470352,59115590969.58316,8637954209.90293,1734748718.185429,6128026573.336705,20782206286.841736,6876435216.17107,19314899809.819115,13777978363.097767,1922634283.2939353,15590373554.895561,2146394936.5654602,2098588654.8293686
2075,11984397236.443272,66824381114.33577,9980977269.079414,1963884655.696569,6935822941.495252,24029018972.467655,7783291052.251667,21525618474.963757,15738439015.365538,2243609678.0819736,17695070647.0,2419685073.0988507,2367386716.654532
2080,13338564784.163937,74660029239.77167,11344271904.570915,2197064114.517971,7757887102.885204,27329201160.39144,8706161160.753113,23744550262.340164,17768345756.52444,2575921084.9666286,19874404707.64496,2697877872.633475,2640993909.7276835
2085,14696877896.733791,82517753051.32509,12710159546.771482,2431212508.4939475,8583375908.220397,30640416799.317116,9632873698.199198,25937289119.561077,19846139804.804867,2916048614.2933974,22105207296.730705,2977281226.600081,2915782869.233366
2090,16059214598.98492,90396903014.94727,14078563901.511265,2666303083.965526,9412194798.276941,33962361240.18328,10563322569.736073,28105147439.739174,21971690557.548504,3263970949.215918,24387338044.563522,3257861709.8924704,3191720964.9424324
2095,17407860782.11155,98195798962.19186,15432328801.454952,2899346887.120287,10233802629.24555,37253875801.253044,11485674942.989996,30215377323.670036,24123498386.265266,3616177857.983012,26697692080.96866,3536030081.1528597,3465281889.6373506
2100,18743219262.962467,105916802211.11307,16771884984.034437,3130400432.21339,11048398508.584305,40515800694.19879,12400154373.63744,32270866236.11522,26301491680.2481,3972657655.311721,29036192432.803642,3811852942.1784945,3736531280.3448424
