year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2025,586316562.421691,3133187863.1656055,375806595.40039,90766091.8196494,321244575.641605,898973778.196494,360326012.93735373,1160019271.0895777,663913273.90696,76757406.92565,789335484.149674,116141076.257305,112955466.7270124
2026,1176702504.7220147,6288121882.697117,754221508.3814113,182326589.6621133,645300758.7962146,1805815584.7440445,723805683.2495666,2304098457.321371,1350158163.47934,156096652.44122717,1605221328.6489427,233298646.32441604,226899546.06561613
2027,1771038093.3273692,9464162220.3166,1135167994.2806506,274659558.8626001,972090917.0358858,2720308172.34153,1090351934.0321355,3433036234.4242415,2058673763.8856597,238010695.11960927,2447585122.9186935,351444643.3811675,341804941.03464377
2028,2369207117.5912504,12660687863.740707,1518571566.4978461,367743670.40318596,1301539561.4729252,3642240292.1905956,1459880092.6960542,4547591260.591036,2789399336.3996835,322492512.7377003,3316354653.8645906,470551775.57167435,457645108.36087394
2029,2971096786.1389885,15877096072.762459,1904359930.0558095,461558184.19005525,1633573287.573734,4571406528.36858,1832307824.5812893,5648484181.551648,3542274307.947404,409535102.22405535,4211457905.3384757,590593504.6064816,574394237.6680974
2030,3576597626.262334,19112801841.63101,2292462917.1161866,556082932.7924796,1968120717.6068685,5507607136.774631,2207555068.403281,6736399535.182174,4317238270.655259,499131479.6066488,5132823057.601237,711544024.9555372,692027231.2408023
2031,4201593837.976576,22452687955.33616,2693061695.1761894,653773744.4985955,2313873660.379505,6475165355.200834,2595371046.561968,7843624449.895424,5132337707.051591,593368063.7860291,6101905818.173048,836545727.5136044,813600287.9846221
2032,4845511807.960056,25893689110.230083,3105788599.934133,754543199.8643223,2670522715.964276,7473215356.0417795,2995408718.669168,8969191422.826178,5987463155.989566,692232199.5644164,7118576047.213769,965486753.4563382,939004617.2277415
2033,5507794800.345399,29432830193.251938,3530286784.894003,858306293.2190745,3037767027.3998766,8500915218.406939,3407330626.6086955,10112181427.705355,6882505454.854835,795711266.2584472,8182703959.812576,1098258332.5384645,1068134432.16142
2034,6187902460.133308,33067223628.24559,3966209903.0726023,964980366.0180893,3415314044.807787,9557446268.022738,3830808629.956383,11271721485.946924,7817355738.751346,903792677.605044,9294160125.019966,1234754697.8137798,1200886866.899119
2035,6885310331.217442,36794066800.35676,4413221798.071846,1074485042.0349894,3802879296.0220633,10642012435.36084,4265523648.705536,12446982359.435163,8791905439.689383,1016463881.6675408,10452815464.882393,1374873002.709849,1337161895.8257418
2036,7599509388.590466,40610639556.21226,4870996204.24065,1186742164.3437703,4200186163.5523586,11753839631.489428,4711165413.096093,13637176358.914497,9806046285.775814,1133712360.7420652,11658541253.479555,1518513240.3923898,1476862255.1737535
2037,8330005584.3140335,44514301777.651596,5339216455.658974,1301675734.040804,4606965667.705313,12892175141.158083,5167432220.351358,14841555262.189655,10859670300.406548,1255525631.2641754,12911209115.964293,1665578165.3561168,1619893366.7646966
2038,9076319406.847717,48502491026.84679,5817575203.684439,1419211850.6588135,5022956255.69426,14056287032.640467,5634030698.131569,16059408336.634113,11952669801.4612,1381891243.7157521,14210691027.605106,1815973217.1805754,1766163263.8563075
2039,9837985453.343819,52572720260.70994,6305774142.80959,1539278654.226101,5447903596.571916,15245463583.872059,6110675574.5188465,17290060460.780483,13084937400.499945,1512796782.5321443,15556859312.831293,1969606446.3911822,1915582519.0371003
2040,10614552014.52658,56722575612.54993,6803523744.58527,1661806268.9256017,5881560381.825262,16459012724.433039,6597089454.353185,18532870340.028355,14256366001.962559,1648229866.0095682,16949586644.280685,2126388442.3673463,2068064174.111881
2041,11421571123.487923,61035164817.08585,7320792270.15643,1789202187.177401,6332447347.1756,17720778959.6169,7102829674.824222,19818865700.965374,15484955528.021673,1790271530.0380034,18410273373.235878,2289399747.1390753,2226604275.5612316
2042,12258146773.347301,65505699747.79466,7857005413.223682,1921331988.2904959,6800088743.17759,19029430947.795547,7627362608.553336,21145882741.05397,16770550084.158413,1938903751.090142,19938734154.591766,2458468360.7511945,2391035541.181131
2043,13123409320.480728,70129533159.4464,8411605765.331444,2058064963.1177454,7284021956.495529,20383674107.551033,8170169362.362477,22511866074.780964,18112994201.023746,2094108554.794093,21534784148.733433,2633427032.4085975,2561195307.6638966
2044,14016514708.833319,74902154542.94669,8984052318.681808,2199274011.5749383,7783797147.196926,21782249602.67457,8730745370.442215,23914863301.437683,19512132833.278908,2255868015.7993217,23198239020.15751,2814113129.345273,2736925403.063978
2045,14936643717.054937,79819186102.14238,9573819983.57715,2344835542.9895024,8298976896.0609255,23223933355.191166,9308599998.752989,25353019845.080685,20967811358.43901,2424164257.642955,24928914936.09733,3000368509.3140416,2918072022.7851467
2046,15883001227.787392,84876378849.00183,10180399120.061039,2494629379.200724,8829135861.62503,24707535085.63602,9903256160.349405,26824574053.035545,22479875575.7198,2598979452.6164494,26726628565.15182,3192039396.5970335,3104485608.9918547
2047,16854815518.451437,90069608813.68692,10803295083.339714,2648538660.3355103,9373860446.701252,26231897379.830254,10514249941.325947,28327852539.989418,24048171704.88755,2780295821.6326237,28591197075.918133,3388976261.439687,3296020733.350213
2048,17851337572.901005,95394873366.13635,11442027782.578638,2806449753.18581,9932748474.100212,27795894781.424225,11141130237.09088,29861265765.367188,25672546385.1121,2968095634.0930557,30522438135.62799,3591033702.8137436,3492535983.006658
2049,18871840413.330627,100848287645.87909,12096131252.680605,2968252162.115868,10505408871.30896,29398432909.49707,11783458398.683113,31423303832.302593,27352846673.823013,3162361207.755837,32520169908.787773,3798070334.4173245,3693893849.7149067
2050,19915618451.840233,106426081096.89369,12765153238.663446,3133838442.4294505,11091461363.875277,31038447600.520485,12440807888.85477,33012532497.10129,29088920045.56887,3363074908.6036925,34584211055.82231,4009948673.8227015,3899960622.024272
2051,20981986861.078846,112124594104.42258,13448654792.26661,3303104116.1291246,11690536177.258072,32714904074.01414,13112763947.649792,34627589378.64923,30880614390.87966,3570219150.712458,36714380731.72235,4226535034.684855,4110606280.444808
