year,MiP_stock_kg,MiP_stock_Mt
2025,626640499.3861613,0.6266404993861613
2030,1594666306.6051965,1.5946663066051965
2035,3024754852.0938215,3.0247548520938214
2040,4982239917.108142,4.982239917108142
2045,7616191782.241219,7.616191782241218
2050,11019588093.91129,11.01958809391129
2055,17780601759.858376,17.780601759858374
2060,25655508549.457726,25.655508549457725
2065,34387278544.93056,34.38727854493056
2070,44000010527.726746,44.000010527726744
2075,54420985742.127525,54.42098574212753
2080,65661764638.70134,65.66176463870134
2085,77669513942.3649,77.6695139423649
2090,90447732479.90707,90.44773247990707
2095,103935742712.17392,103.93574271217392
2100,117255486818.35715,117.25548681835714
