year,MiP_stock_kg,MiP_stock_Mt
2025,626640499.3861613,0.6266404993861613
2026,1503518597.603573,1.503518597603573
2027,2632777013.8518066,2.6327770138518067
2028,4016541171.2959957,4.016541171295995
2029,5656919159.555827,5.6569191595558275
2030,7556001720.356395,7.556001720356395
2031,9732952450.01873,9.73295245001873
2032,12196030635.51823,12.19603063551823
2033,14953311161.66318,14.95331116166318
2034,18012690178.676537,18.012690178676536
2035,21381890580.265053,21.381890580265054
2036,25068467298.96957,25.06846729896957
2037,29079812425.32785,29.07981242532785
2038,33423160157.129753,33.42316015712975
2039,38105591584.80344,38.105591584803435
2040,43134039318.73999,43.13403931873999
2041,48532382159.58012,48.532382159580116
2042,54313472235.21896,54.31347223521897
2043,60489859048.80546,60.48985904880546
2044,67073799133.45411,67.0737991334541
2045,74077265369.9113,74.0772653699113
2046,81511955979.86404,81.51195597986404
2047,89389303207.06453,89.38930320706453
2048,97720481697.95155,97.72048169795156
2049,106516416592.97897,106.51641659297897
2050,115787791339.41057,115.78779133941057
2051,126044581999.28555,126.04458199928555
2052,137258795688.06079,137.2587956880608
2053,149403256879.97052,149.4032568799705
2054,162451577581.3778,162.45157758137782
2055,176378128690.93802,176.378128690938
2056,190729846698.84732,190.72984669884733
2057,205515294854.9666,205.5152948549666
2058,220742826994.12433,220.74282699412433
2059,236420594552.72675,236.42059455272675
2060,252556553325.99725,252.55655332599724
2061,269094305834.04034,269.09430583404037
2062,286033826874.1801,286.03382687418014
2063,303375118890.08795,303.37511889008795
2064,321118211063.7289,321.1182110637289
2065,339263158435.6853,339.2631584356853
2066,357810041052.9368,357.8100410529368
2067,376758963143.20526,376.7589631432053
2068,396110052315.00574,396.11005231500576
2069,415863458782.57324,415.8634587825732
2070,436019354614.86383,436.01935461486386
2071,456558683765.2074,456.5586837652074
2072,477479377151.1244,477.47937715112437
2073,498779446769.891,498.77944676989097
2074,520456983018.2367,520.4569830182367
2075,542510152104.55774,542.5101521045577
2076,564937193550.2169,564.9371935502169
2077,587736417776.6389,587.7364177766389
2078,610906203775.0406,610.9062037750407
2079,634444996855.7615,634.4449968557615
2080,658351306474.2799,658.3513064742799
2081,682610871302.6836,682.6108713026836
2082,707220801057.412,707.220801057412
2083,732178304404.8899,732.1783044048899
2084,757480685721.962,757.480685721962
2085,783125341968.1093,783.1253419681093
2086,809109759665.3055,809.1097596653055
2087,835431511981.5376,835.4315119815376
2088,862088255914.1652,862.0882559141652
2089,889077729569.4554,889.0777295694554
2090,916397749534.769,916.397749534769
2091,944033375511.5813,944.0333755115813
2092,971981051719.5964,971.9810517195964
2093,1000237334393.0348,1000.2373343930348
2094,1028798888145.4828,1028.7988881454828
2095,1057662482459.7936,1057.6624824597936
2096,1086650203773.7389,1086.650203773739
2097,1115774947260.8933,1115.7749472608932
2098,1145049245705.278,1145.049245705278
2099,1174485279586.652,1174.485279586652
2100,1204094886891.7214,1204.0948868917214
