Year,Oil_share_%,NaturalGas_share_%,Biomass_share_%
2025,85.56,14.44,0.0
2026,85.22,14.78,0.0
2027,84.89,15.11,0.0
2028,84.58,15.42,0.0
2029,84.29,15.71,0.0
2030,84.0,16.0,0.0
2031,83.85,15.87,0.29
2032,83.7,15.74,0.56
2033,83.57,15.62,0.8
2034,83.45,15.52,1.03
2035,83.33,15.42,1.25
2036,83.23,15.32,1.45
2037,83.12,15.23,1.64
2038,83.03,15.15,1.82
2039,82.94,15.07,1.99
2040,82.86,15.0,2.14
2041,81.97,15.42,2.62
2042,81.14,15.8,3.05
2043,80.37,16.16,3.46
2044,79.65,16.5,3.85
2045,78.98,16.82,4.2
2046,78.35,17.11,4.54
2047,77.75,17.39,4.86
2048,77.19,17.65,5.15
2049,76.66,17.9,5.43
2050,76.17,18.13,5.7
2051,75.03,18.88,6.09
2052,73.95,19.59,6.46
2053,72.93,20.26,6.82
2054,71.96,20.89,7.15
2055,71.04,21.49,7.47
2056,70.17,22.07,7.77
2057,69.34,22.61,8.05
2058,68.54,23.13,8.33
2059,67.79,23.62,8.59
2060,67.07,24.1,8.84
2061,66.4,24.91,8.68
2062,65.77,25.69,8.54
2063,65.16,26.44,8.4
2064,64.58,27.16,8.27
2065,64.01,27.85,8.14
2066,63.48,28.51,8.01
2067,62.96,29.15,7.9
2068,62.46,29.76,7.78
2069,61.98,30.35,7.67
2070,61.51,30.92,7.57
2071,61.28,31.19,7.53
2072,61.05,31.45,7.5
2073,60.83,31.71,7.46
2074,60.61,31.96,7.43
2075,60.4,32.2,7.4
2076,60.19,32.44,7.36
2077,59.99,32.67,7.33
2078,59.8,32.9,7.3
2079,59.61,33.12,7.27
2080,59.42,33.33,7.25
2081,58.95,33.56,7.49
2082,58.48,33.79,7.73
2083,58.01,34.02,7.97
2084,57.56,34.24,8.21
2085,57.1,34.46,8.44
2086,56.66,34.68,8.67
2087,56.21,34.89,8.9
2088,55.78,35.1,9.12
2089,55.34,35.31,9.34
2090,54.92,35.52,9.56
2091,53.14,36.81,10.05
2092,51.35,38.11,10.54
2093,49.54,39.43,11.03
2094,47.72,40.76,11.53
2095,45.87,42.1,12.03
2096,44.01,43.45,12.54
2097,42.13,44.82,13.05
2098,40.24,46.2,13.56
2099,38.32,47.59,14.09
2100,36.39,49.0,14.61
