year,row_r,col_c,A_rct,s_ct,A_rct_times_s,f_rt,difference,ratio
2025,460,615,0.0,19786.108116244628,0.0,0.0,0.0,
2026,460,615,0.0,20325.57134257316,0.0,0.0,0.0,
2027,460,615,0.0,21038.74928441788,0.0,0.0,0.0,
2028,460,615,0.0,21751.927226264,0.0,0.0,0.0,
2029,460,615,0.0,22266.122857608443,0.0,0.0,0.0,
2030,460,615,0.0,22972.983900707153,0.0,0.0,0.0,
2031,460,615,0.0,24209.990726128224,0.0,0.0,0.0,
2032,460,615,0.0,25446.997551552566,0.0,0.0,0.0,
2033,460,615,0.0,26684.00437697348,0.0,0.0,0.0,
2034,460,615,0.0,27921.011202396032,0.0,0.0,0.0,
2035,460,615,0.0,29158.01802782068,0.0,0.0,0.0,
2036,460,615,0.0,30395.024853243325,0.0,0.0,0.0,
2037,460,615,0.0,31914.71289754921,0.0,0.0,0.0,
2038,460,615,0.0,33162.77429577727,0.0,0.0,0.0,
2039,460,615,0.0,34410.83569400552,0.0,0.0,0.0,
2040,460,615,0.0,35658.897092236075,0.0,0.0,0.0,
2041,460,615,0.0,37110.204762680834,0.0,0.0,0.0,
2042,460,615,0.0,38877.35737042493,0.0,0.0,0.0,
2043,460,615,0.0,40281.28830027418,0.0,0.0,0.0,
2044,460,615,0.0,42032.648661158535,0.0,0.0,0.0,
2045,460,615,0.0,43389.202850409776,0.0,0.0,0.0,
2046,460,615,0.0,45124.77096442905,0.0,0.0,0.0,
2047,460,615,0.0,46860.33907844256,0.0,0.0,0.0,
2048,460,615,0.0,48153.72428023955,0.0,0.0,0.0,
2049,460,615,0.0,49873.50014738746,0.0,0.0,0.0,
2050,460,615,0.0,51593.27601453876,0.0,0.0,0.0,
2051,460,615,0.0,52823.492228875584,0.0,0.0,0.0,
2052,460,615,0.0,54022.12394947866,0.0,0.0,0.0,
2053,460,615,0.0,55189.17117634767,0.0,0.0,0.0,
2054,460,615,0.0,56324.477896456854,0.0,0.0,0.0,
2055,460,615,0.0,57981.240789185504,0.0,0.0,0.0,
2056,460,615,0.0,59069.326781732954,0.0,0.0,0.0,
2057,460,615,0.0,60125.828280550224,0.0,0.0,0.0,
2058,460,615,0.0,61750.8506665066,0.0,0.0,0.0,
2059,460,615,0.0,62759.975424728545,0.0,0.0,0.0,
2060,460,615,0.0,64369.20556382872,0.0,0.0,0.0,
2061,460,615,0.0,64534.23463533985,0.0,0.0,0.0,
2062,460,615,0.0,64683.47145998622,0.0,0.0,0.0,
2063,460,615,0.0,64816.91603776243,0.0,0.0,0.0,
2064,460,615,0.0,64934.5683686835,0.0,0.0,0.0,
2065,460,615,0.0,65707.59894449615,0.0,0.0,0.0,
2066,460,615,0.0,65801.5629051147,0.0,0.0,0.0,
2067,460,615,0.0,65879.73461887288,0.0,0.0,0.0,
2068,460,615,0.0,66636.97294782578,0.0,0.0,0.0,
2069,460,615,0.0,66691.45629127597,0.0,0.0,0.0,
2070,460,615,0.0,67440.798496801,0.0,0.0,0.0,
2071,460,615,0.0,67249.15964533288,0.0,0.0,0.0,
2072,460,615,0.0,67768.17190279432,0.0,0.0,0.0,
2073,460,615,0.0,68287.18416025548,0.0,0.0,0.0,
2074,460,615,0.0,68073.4361631706,0.0,0.0,0.0,
2075,460,615,0.0,68586.92113423448,0.0,0.0,0.0,
2076,460,615,0.0,69100.40610529292,0.0,0.0,0.0,
2077,460,615,0.0,69613.89107635137,0.0,0.0,0.0,
2078,460,615,0.0,70127.37604740424,0.0,0.0,0.0,
2079,460,615,0.0,69880.46433190805,0.0,0.0,0.0,
2080,460,615,0.0,70388.42201656954,0.0,0.0,0.0,
2081,460,615,0.0,70751.24893417486,0.0,0.0,0.0,
2082,460,615,0.0,70340.25575539614,0.0,0.0,0.0,
2083,460,615,0.0,70699.13461129699,0.0,0.0,0.0,
2084,460,615,0.0,71058.01346719172,0.0,0.0,0.0,
2085,460,615,0.0,70631.228041548,0.0,0.0,0.0,
2086,460,615,0.0,70986.15883572647,0.0,0.0,0.0,
2087,460,615,0.0,71341.08962990534,0.0,0.0,0.0,
2088,460,615,0.0,70898.51195739645,0.0,0.0,0.0,
2089,460,615,0.0,71249.49468985893,0.0,0.0,0.0,
2090,460,615,0.0,71600.47742231525,0.0,0.0,0.0,
2091,460,615,0.0,70195.52020749896,0.0,0.0,0.0,
2092,460,615,0.0,68781.08764455785,0.0,0.0,0.0,
2093,460,615,0.0,68169.6908347066,0.0,0.0,0.0,
2094,460,615,0.0,66738.67641255709,0.0,0.0,0.0,
2095,460,615,0.0,65298.18664228833,0.0,0.0,0.0,
2096,460,615,0.0,63848.221523900604,0.0,0.0,0.0,
2097,460,615,0.0,62388.781057387656,0.0,0.0,0.0,
2098,460,615,0.0,61744.22052912624,0.0,0.0,0.0,
2099,460,615,0.0,60268.19820341097,0.0,0.0,0.0,
2100,460,615,0.0,58782.70052957678,0.0,0.0,0.0,
