year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2025,543,"Forest residue, processed and loaded, at landing system",2465738260603.1616,2465738260603.1616,7008.968797465056,351797579.9086092
2025,358,"Electricity, coal (life cycle)",163547339016.2414,163547339016.2414,1000.9430000000001,163393259.1728414
2025,227,"Heat, Natural Gas",134450902458.07504,134450902458.07504,0.0602,2233403695316.8613
2025,522,Plastic Incineration CO2 to the atmosphere,98094961913.87444,98094961913.87444,1.0,98094961913.87444
2025,541,Steam Cracker CO2 to the atmosphere,95709206602.24,95709206602.24,1.0,95709206602.24
2026,543,"Forest residue, processed and loaded, at landing system",2431776999242.0557,2431776999242.0557,6728.968797465056,361389251.82089674
2026,358,"Electricity, coal (life cycle)",168802661611.86133,168802661611.86133,1000.9430000000001,168643630.66814125
2026,227,"Heat, Natural Gas",139482760494.42706,139482760494.42706,0.0602,2316989376983.8384
2026,522,Plastic Incineration CO2 to the atmosphere,101662051438.0153,101662051438.0153,1.0,101662051438.0153
2026,541,Steam Cracker CO2 to the atmosphere,99189541387.776,99189541387.776,1.0,99189541387.776
2027,543,"Forest residue, processed and loaded, at landing system",2412363026582.462,2412363026582.462,6448.968797465056,374069576.446192
2027,358,"Electricity, coal (life cycle)",174054189005.11902,174054189005.11902,1000.9430000000001,173890210.536583
2027,227,"Heat, Natural Gas",144376892441.59995,144376892441.59995,0.0602,2398287249860.4644
2027,522,Plastic Incineration CO2 to the atmosphere,105229140962.15617,105229140962.15617,1.0,105229140962.15617
2027,541,Steam Cracker CO2 to the atmosphere,102669876173.312,102669876173.312,1.0,102669876173.312
2028,543,"Forest residue, processed and loaded, at landing system",2385848072132.859,2385848072132.859,6168.968797465056,386749901.07151264
2028,358,"Electricity, coal (life cycle)",179259692918.58542,179259692918.58542,1000.9430000000001,179090810.28448713
2028,227,"Heat, Natural Gas",149271024388.77368,149271024388.77368,0.0602,2479585122737.1045
2028,522,Plastic Incineration CO2 to the atmosphere,108796230486.2971,108796230486.2971,1.0,108796230486.2971
2028,541,Steam Cracker CO2 to the atmosphere,106150210958.84799,106150210958.84799,1.0,106150210958.84799
2029,543,"Forest residue, processed and loaded, at landing system",2331397486701.1924,2331397486701.1924,5888.968797465056,395892314.407364
2029,358,"Electricity, coal (life cycle)",184373103955.9043,184373103955.9043,1000.9430000000001,184199403.9180096
2029,227,"Heat, Natural Gas",154322915310.82465,154322915310.82465,0.0602,2563503576591.7715
2029,522,Plastic Incineration CO2 to the atmosphere,112363320010.43796,112363320010.43796,1.0,112363320010.43796
2029,541,Steam Cracker CO2 to the atmosphere,109630545744.384,109630545744.384,1.0,109630545744.384
2030,543,"Forest residue, processed and loaded, at landing system",2291041214497.836,2291041214497.836,5608.968797465056,408460324.3885507
2030,358,"Electricity, coal (life cycle)",189486756799.6861,189486756799.6861,1000.9430000000001,189308239.13018632
2030,227,"Heat, Natural Gas",159222055479.42227,159222055479.42227,0.0602,2644884642515.3203
2030,522,Plastic Incineration CO2 to the atmosphere,115930409534.57887,115930409534.57887,1.0,115930409534.57887
2030,541,Steam Cracker CO2 to the atmosphere,113110880529.91998,113110880529.91998,1.0,113110880529.91998
2031,543,"Forest residue, processed and loaded, at landing system",2293877756481.836,2293877756481.836,5328.968797465056,430454341.85559756
2031,358,"Electricity, coal (life cycle)",197492551369.4248,197492551369.4248,1000.9430000000001,197306491.34808356
2031,227,"Heat, Natural Gas",167795550774.46692,167795550774.46692,0.0602,2787301507881.5103
2031,522,Plastic Incineration CO2 to the atmosphere,122172816201.82541,122172816201.82541,1.0,122172816201.82541
2031,541,Steam Cracker CO2 to the atmosphere,119201466404.60799,119201466404.60799,1.0,119201466404.60799
2032,543,"Forest residue, processed and loaded, at landing system",2284397648684.584,2284397648684.584,5048.968797465056,452448359.3227027
2032,358,"Electricity, coal (life cycle)",205273800400.1724,205273800400.1724,1000.9430000000001,205080409.57394415
2032,227,"Heat, Natural Gas",176369046069.51382,176369046069.51382,0.0602,2929718373247.7383
2032,522,Plastic Incineration CO2 to the atmosphere,128415222869.07198,128415222869.07198,1.0,128415222869.07198
2032,541,Steam Cracker CO2 to the atmosphere,125292052279.29599,125292052279.29599,1.0,125292052279.29599
2033,543,"Forest residue, processed and loaded, at landing system",2262600891105.4624,2262600891105.4624,4768.968797465056,474442376.78974694
2033,358,"Electricity, coal (life cycle)",212830503891.92737,212830503891.92737,1000.9430000000001,212629993.80776662
2033,227,"Heat, Natural Gas",184942541364.55847,184942541364.55847,0.0602,3072135238613.928
2033,522,Plastic Incineration CO2 to the atmosphere,134657629536.3185,134657629536.3185,1.0,134657629536.3185
2033,541,Steam Cracker CO2 to the atmosphere,131382638153.98401,131382638153.98401,1.0,131382638153.98401
2034,543,"Forest residue, processed and loaded, at landing system",2228487483744.9272,2228487483744.9272,4488.968797465056,496436394.2568204
2034,358,"Electricity, coal (life cycle)",220162661844.6911,220162661844.6911,1000.9430000000001,219955244.04955235
2034,227,"Heat, Natural Gas",193516036659.60434,193516036659.60434,0.0602,3214552103980.1387
2034,522,Plastic Incineration CO2 to the atmosphere,140900036203.5651,140900036203.5651,1.0,140900036203.5651
2034,541,Steam Cracker CO2 to the atmosphere,137473224028.672,137473224028.672,1.0,137473224028.672
2035,543,"Forest residue, processed and loaded, at landing system",2182057426602.986,2182057426602.986,4208.968797465055,518430411.7239307
2035,358,"Electricity, coal (life cycle)",227270959329.53918,227270959329.53918,1000.9430000000001,227056844.72496352
2035,227,"Heat, Natural Gas",202089531954.65137,202089531954.65137,0.0602,3356968969346.3687
2035,522,Plastic Incineration CO2 to the atmosphere,147142442870.8116,147142442870.8116,1.0,147142442870.8116
2035,541,Steam Cracker CO2 to the atmosphere,143563809903.36002,143563809903.36002,1.0,143563809903.36002
2036,543,"Forest residue, processed and loaded, at landing system",2123310719679.3252,2123310719679.3252,3928.9687974650556,540424429.1910058
2036,358,"Electricity, coal (life cycle)",230749061030.5785,230749061030.5785,1000.9430000000001,230531669.66608337
2036,227,"Heat, Natural Gas",210663027249.69724,210663027249.69724,0.0602,3499385834712.5786
2036,522,Plastic Incineration CO2 to the atmosphere,153384849538.05817,153384849538.05817,1.0,153384849538.05817
2036,541,Steam Cracker CO2 to the atmosphere,149654395778.048,149654395778.048,1.0,149654395778.048
2037,543,"Forest residue, processed and loaded, at landing system",2070587373249.404,2070587373249.404,3648.9687974650556,567444526.9819365
2037,358,"Electricity, coal (life cycle)",233785211150.26303,233785211150.26303,1000.9430000000001,233564959.3935549
2037,227,"Heat, Natural Gas",219012404635.98633,219012404635.98633,0.0602,3638079811229.009
2037,522,Plastic Incineration CO2 to the atmosphere,159627256205.30472,159627256205.30472,1.0,159627256205.30472
2037,541,Steam Cracker CO2 to the atmosphere,155744981652.73602,155744981652.73602,1.0,155744981652.73602
2038,543,"Forest residue, processed and loaded, at landing system",1986462237202.058,1986462237202.058,3368.968797465055,589635095.0761998
2038,358,"Electricity, coal (life cycle)",236260574168.2552,236260574168.2552,1000.9430000000001,236037990.34336138
2038,227,"Heat, Natural Gas",227577135543.539,227577135543.539,0.0602,3780351088763.1064
2038,522,Plastic Incineration CO2 to the atmosphere,165869662872.55127,165869662872.55127,1.0,165869662872.55127
2038,541,Steam Cracker CO2 to the atmosphere,161835567527.424,161835567527.424,1.0,161835567527.424
2039,543,"Forest residue, processed and loaded, at landing system",1889910383021.937,1889910383021.937,3088.9687974650556,611825663.1704668
2039,358,"Electricity, coal (life cycle)",238234915834.0069,238234915834.0069,1000.9430000000001,238010471.9589496
2039,227,"Heat, Natural Gas",236141866451.09143,236141866451.09143,0.0602,3922622366297.2
2039,522,Plastic Incineration CO2 to the atmosphere,172112069539.79782,172112069539.79782,1.0,172112069539.79782
2039,541,Steam Cracker CO2 to the atmosphere,167926153402.112,167926153402.112,1.0,167926153402.112
2040,543,"Forest residue, processed and loaded, at landing system",1780931810709.1414,1780931810709.1414,2808.9687974650556,634016231.2647749
2040,227,"Heat, Natural Gas",244706597358.64563,244706597358.64563,0.0602,4064893643831.3228
2040,358,"Electricity, coal (life cycle)",239706662162.78238,239706662162.78238,1000.9430000000001,239480831.738453
2040,522,Plastic Incineration CO2 to the atmosphere,178354476207.0444,178354476207.0444,1.0,178354476207.0444
2040,541,Steam Cracker CO2 to the atmosphere,174016739276.80002,174016739276.80002,1.0,174016739276.80002
2041,543,"Forest residue, processed and loaded, at landing system",1668665517154.0862,1668665517154.0862,2528.9687974650556,659820524.0122751
2041,227,"Heat, Natural Gas",257204858851.37436,257204858851.37436,0.0602,4272505960986.285
2041,358,"Electricity, coal (life cycle)",243619121812.6964,243619121812.6964,1000.9430000000001,243389605.41479024
2041,522,Plastic Incineration CO2 to the atmosphere,187272200017.39664,187272200017.39664,1.0,187272200017.39664
2041,541,Steam Cracker CO2 to the atmosphere,182717576240.64,182717576240.64,1.0,182717576240.64
2042,543,"Forest residue, processed and loaded, at landing system",1554578426165.3374,1554578426165.3374,2248.968797465055,691240548.9651942
2042,227,"Heat, Natural Gas",269452709272.8668,269452709272.8668,0.0602,4475958625795.13
2042,358,"Electricity, coal (life cycle)",246829281836.0359,246829281836.0359,1000.9430000000001,246596741.10916993
2042,522,Plastic Incineration CO2 to the atmosphere,196189923827.74887,196189923827.74887,1.0,196189923827.74887
